construct_set,size,includes_anxiety,includes_self_efficacy,candidate_complete_case_studies,positive_definite_complete_case_studies,positive_definite_complete_case_ids,feasibility
"SI,FC,SE,ANX,BI",5,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,SE,TRU,BI",5,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,TRU,ANX,BI",5,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,SE,ANX,BI,UB",5,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,SE,TRU,ANX,BI",5,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,SE,TRU,BI,UB",5,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,TRU,ANX,BI,UB",5,TRUE,FALSE,0,0,,not_complete_case_estimable
"ATT,SE,TRU,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,ATT,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,ATT,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,ATT,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,ATT,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,FC,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,FC,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,FC,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,FC,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,FC,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,FC,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,FC,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,FC,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SE,TRU,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SI,ATT,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SI,FC,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SI,FC,ATT,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SI,FC,ATT,SE,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,FC,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,FC,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,FC,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"EE,SI,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"EE,SI,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"FC,ATT,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"FC,ATT,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"FC,ATT,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"FC,ATT,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"FC,SE,TRU,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,ATT,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,ATT,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,ATT,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,ATT,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,FC,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,FC,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,FC,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SI,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,SI,ATT,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,SI,ATT,SE,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SI,FC,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,SI,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SI,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,EE,SI,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,EE,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,FC,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,FC,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,FC,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,FC,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,FC,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,FC,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,FC,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,FC,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SE,TRU,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SI,ATT,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SI,FC,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SI,FC,ATT,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SI,FC,ATT,SE,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,FC,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,FC,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,FC,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"PE,SI,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"PE,SI,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,ATT,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,ATT,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,ATT,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,ATT,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,FC,ATT,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,FC,ATT,SE,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,ATT,SE,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,ATT,SE,TRU,BI",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,ATT,TRU,ANX,BI",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,FC,SE,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,SE,TRU,ANX,BI",6,TRUE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,SE,TRU,BI,UB",6,FALSE,TRUE,0,0,,not_complete_case_estimable
"SI,FC,TRU,ANX,BI,UB",6,TRUE,FALSE,0,0,,not_complete_case_estimable
"SI,SE,TRU,ANX,BI,UB",6,TRUE,TRUE,0,0,,not_complete_case_estimable
