study_id,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location,flag,notes
S015,BI,SI,0.59,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,BI,UB,0.79,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,EE,FC,0.76,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,EE,PE,0.627,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,EE,SI,0.451,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,EE,UB,0.617,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,FC,PE,0.527,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,FC,SI,0.449,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,FC,UB,0.512,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,PE,SI,0.577,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,PE,UB,0.604,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,SI,UB,0.454,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S156,BI,FC,0.65,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,Path FC->IBL beta=0.23
S156,BI,PE,0.65,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,Path PE->IBL beta=0.24
S156,BI,SI,0.7,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",review,TI mapped to SI (moderate). Path TI->IBL beta=0.18.
S156,BI,UB,0.71,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,Path IBL->AU beta=0.20
S156,FC,PE,0.59,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,
S156,FC,SI,0.65,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",review,TI mapped to SI (moderate).
S156,FC,UB,0.64,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,
S156,PE,SI,0.65,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",review,TI mapped to SI (moderate). Interaction/peer influence construct.
S156,PE,UB,0.57,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",,
S156,SI,UB,0.72,305.0,latest_human_R1_CORRELATIONS,"Table 9 (Fornell-Larcker complete), p.14",review,TI mapped to SI (moderate). Path TI->AU beta=0.39.
S030,ATT,BI,0.613,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,ATT,EE,0.556,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,ATT,FC,0.571,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,ATT,PE,0.504,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,ATT,SI,0.666,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,ATT,TRU,0.619,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,BI,EE,0.555,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,BI,FC,0.57,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,BI,PE,0.581,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,BI,SI,0.703,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,BI,TRU,0.612,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,EE,FC,0.56,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,EE,PE,0.542,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,EE,SI,0.674,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,EE,TRU,0.636,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,FC,PE,0.598,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,FC,SI,0.649,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,FC,TRU,0.594,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,PE,SI,0.635,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,PE,TRU,0.539,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S030,SI,TRU,0.646,226.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.7",,
S201,BI,EE,0.215,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,BI,PE,0.595,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,BI,SE,0.269,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",review,AL mapped to SE (moderate).
S201,BI,SI,0.514,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,EE,PE,0.344,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,EE,SE,0.577,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",review,AL mapped to SE (moderate). Items measure self-reported AI competence.
S201,EE,SI,0.342,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,PE,SE,0.309,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",review,AL mapped to SE (moderate).
S201,PE,SI,0.494,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",,
S201,SE,SI,0.277,238.0,latest_human_R1_CORRELATIONS,"Table 4 (correlation matrix), p.7",review,AL mapped to SE (moderate).
S019,PE,TRU,0.479,572.0,latest_human_R1_CORRELATIONS,"Table 3 (Fornell-Larcker), p.21332",,
S178,BI,EE,0.635,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,BI,PE,0.649,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,BI,SI,0.532,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,BI,TRU,0.532,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,EE,PE,0.664,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,EE,SI,0.506,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,EE,TRU,0.518,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,PE,SI,0.479,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,PE,TRU,0.587,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S178,SI,TRU,0.568,529.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.9",,CB-SEM (AMOS). Teacher sample.
S046,ANX,BI,-0.377,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",review,AI-STB mapped to ANX (moderate confidence).
S046,ANX,EE,-0.423,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",review,AI-STB mapped to ANX (moderate confidence).
S046,ANX,PE,-0.462,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",review,AI-STB mapped to ANX (moderate confidence).
S046,ANX,SE,-0.069,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",review,AI-STB mapped to ANX (moderate confidence).
S046,ANX,SI,-0.032,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",review,AI-STB mapped to ANX (moderate confidence).
S046,BI,EE,0.726,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,BI,PE,0.661,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,BI,SE,0.442,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,BI,SI,0.087,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,EE,PE,0.724,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,EE,SE,0.537,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,EE,SI,0.031,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,PE,SE,0.508,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,PE,SI,0.383,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S046,SE,SI,0.04,361.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.12",,
S053,BI,EE,0.155,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,BI,PE,0.596,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,BI,SE,0.429,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,BI,UB,0.236,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,EE,PE,0.103,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,EE,SE,0.113,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,EE,UB,-0.032,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,PE,SE,0.453,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,PE,UB,0.185,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S053,SE,UB,0.131,445.0,latest_human_R1_CORRELATIONS,"Table 5 (Fornell-Larcker), p.5676",,
S095,EE,FC,0.704,1055.0,latest_human_R1_CORRELATIONS,Text p.14,,Bivariate Pearson r.
S095,EE,PE,0.644,1055.0,latest_human_R1_CORRELATIONS,Text p.14,,Bivariate Pearson r reported in text.
S095,FC,SI,0.692,1055.0,latest_human_R1_CORRELATIONS,Text p.14,,Bivariate Pearson r.
S095,PE,SI,0.672,1055.0,latest_human_R1_CORRELATIONS,Text p.14,,Bivariate Pearson r.
S102,ANX,BI,0.203,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",review,Technostress mapped to ANX (moderate). Emotional/cognitive strain.
S102,ANX,EE,0.108,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",review,Technostress mapped to ANX (moderate). Emotional/cognitive strain.
S102,ANX,PE,0.136,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",review,Technostress mapped to ANX (moderate). Emotional/cognitive strain.
S102,ANX,TRU,0.027,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",review,Technostress mapped to ANX (moderate). Emotional/cognitive strain.
S102,BI,EE,0.712,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S102,BI,PE,0.682,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S102,BI,TRU,0.368,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S102,EE,PE,0.63,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S102,EE,TRU,0.435,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S102,PE,TRU,0.46,284.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.8",,
S018,ATT,BI,0.88,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,ATT,EE,0.847,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,ATT,PE,0.893,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,ATT,SI,0.653,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,BI,EE,0.832,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,BI,PE,0.867,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,BI,SI,0.659,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,EE,PE,0.856,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,EE,SI,0.671,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S018,PE,SI,0.642,748.0,latest_human_R1_CORRELATIONS,"Table 2 (Fornell-Larcker), p.20927",,
S190,ANX,ATT,0.64,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,ANX,BI,0.45,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,"Time & Psychological Risks mapped to ANX (moderate, AVE<0.50)."
S190,ANX,EE,0.49,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,"Time & Psychological Risks mapped to ANX (moderate, AVE<0.50)."
S190,ANX,FC,0.64,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,"Time & Psychological Risks mapped to ANX (moderate, AVE<0.50)."
S190,ANX,PE,0.48,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,"Time & Psychological Risks mapped to ANX (moderate, AVE<0.50)."
S190,ANX,SI,0.39,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,"Time & Psychological Risks mapped to ANX (moderate, AVE<0.50)."
S190,ATT,BI,0.39,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,ATT,EE,0.64,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,ATT,FC,0.6,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,ATT,PE,0.58,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,ATT,SI,0.5,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,Perceived Enjoyment mapped to ATT (moderate).
S190,BI,EE,0.53,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S190,BI,FC,0.64,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,TTF mapped to FC (moderate).
S190,BI,PE,0.54,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S190,BI,SI,0.62,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S190,EE,FC,0.63,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,TTF mapped to FC (moderate).
S190,EE,PE,0.7,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S190,EE,SI,0.51,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S190,FC,PE,0.61,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,TTF mapped to FC (moderate).
S190,FC,SI,0.71,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",review,TTF mapped to FC (moderate).
S190,PE,SI,0.47,330.0,latest_human_R1_CORRELATIONS,"Table 2 (Pearson correlation), p.7",,
S076,ATT,BI,0.815,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,ATT,EE,0.74,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,ATT,FC,0.664,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,ATT,PE,0.743,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,ATT,SI,0.752,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,BI,EE,0.67,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,BI,FC,0.558,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,BI,PE,0.702,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,BI,SI,0.759,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,EE,FC,0.731,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,EE,PE,0.787,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,EE,SI,0.739,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,FC,PE,0.658,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
S076,FC,SI,0.67,526.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.15",,
