coder,study_id,sample_size,title,first_author,year
R1,S030,226.0,The psychology of AI adoption in education: University students' intentions to use Large Language Models for learning from a TAM and TPB perspective,Ngo,2025.0
R1,S201,238.0,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Business Students in Korea,Jang,2024.0
R1,S019,572.0,Exploring user awareness and perceived usefulness of generative AI in higher education: The moderating role of trust,Chiu,2025.0
R1,S211,,"The determinants of ChatGPT usage among accounting students: the role of habit, social influence, and facilitating conditions",,2024.0
R1,S009,490.0,Bridging expectations and reality: Addressing the price-value paradox in teachers' AI integration,Elyakim,2025.0
R1,S038,283.0,ChatGPT in higher education - A Student's perspective,Shuhaiber,2025.0
R1,S178,529.0,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted Teaching Systems,Zhang,2024.0
R1,S046,361.0,"Artificial intelligence, social influence, and AI anxiety: analyzing the intentions of science doctoral students to use ChatGPT with PLS-SEM",Uludag,2025.0
R1,S053,445.0,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk-Coping Paradox in Higher Education Focusing on an Integrated, UTAUT and PMT",Fu,2025.0
R1,S095,1055.0,"Generative artificial intelligence acceptance, anxiety, and behavioral intention in the middle east: a TAM-based structural equation modelling approach",Mohamed,2025.0
R1,S102,284.0,Understanding university students' adoption of ChatGPT: A TAM-based exploration of key factors,Agnihotri,2025.0
R1,S071,720.0,Assessing attitudes and impact of AI integration in higher education,Baca,2025.0
R1,S018,748.0,Extending the TAM framework: Exploring learning motivation and agility in educational adoption of generative AI,Simsek,2025.0
R1,S190,330.0,Factors Affecting Students’ Willingness to Use Artificial Intelligence in University Settings,Jdaitawi,2024.0
R1,S076,526.0,ChatGPT in the classroom: navigating the generative AI wave among international business students - a moderated mediation approach,Kaur,2025.0
R1,S164,2078.0,ChatGPT acceptance and use through UTAUT and TPB: A big survey in five Indonesian Universities,Habibi,2024.0
R1,S091,382.0,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelligence in Academic Writing: A Sequential Exploratory Mixed-Method Study,Feng,2025.0
R1,S187,352.0,Acceptance of artificial intelligence and its effect on entrepreneurial intention in foreign trade students: a mirror analysis,Solorzano Solorzano,2024.0
R1,S079,493.0,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementing AI Applications in Higher Education,Li,2025.0
R1,S223,300.0,Understanding key drivers affecting students' use of artificial intelligence-based voice assistants,Al Shamsi,2022.0
R1,S196,,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationship with Some Variables and Pedagogical Beliefs,,2024.0
R1,S005,230.0,Just learn it? How individual differences and HMSAM impact learners' intention to engage in AI-related education,Wang,2025.0
R1,S168,534.0,To use or not to use ChatGPT in higher education? A study of students' acceptance and use of technology,Strzelecki,2024.0
R1,S054,646.0,A study on behavioral intentions of artificial intelligence learning platform: comparing the perspectives of teachers and students,Lin,2025.0
R1,S220,278.0,"Determinants of Intentions to Use Digital Mental Healthcare Content among University Students, Faculty, and Staff",Park,2023.0
R1,S011,304.0,Modeling Chinese EFL learners' intention to use generative AI for L2 writing through an integrated model of the TAM and TTF,Hu,2025.0
R1,S180,59.0,"Using explainable AI to unravel classroom dialogue analysis: Effects of explanations on teachers' trust, technology acceptance and cognitive load",Wang,2024.0
R1,S044,441.0,The predictive effect of nursing students' attitudes and acceptance towards artificial intelligence on their clinical competencies,Simsek,2025.0
R1,S151,295.0,Perceived Ease of Use and Usefulness in AI-Generated Content Adoption: Gender as a Moderator,Kou,2025.0
R1,S087,620.0,"Impact of technology literacy, information literacy, and user satisfaction on the adoption of GAI-ChatGPT for learning, knowledge acquisition, and knowledge dissemination among Chinese students",Mwakapesa,2025.0
R1,S051,524.0,Technology empowerment or risk avoidance? Investigating the overlooked factors influencing college students' acceptance of generative artificial intelligence,Cui,2025.0
R1,S086,235.0,Investigating the factors influencing the adoption and use of artificial intelligence applications among Pakistani university research scholars,Mirza,2025.0
R1,S074,1260.0,Understanding AI acceptance among Indonesian pre-service teachers: the mediating role of anxiety and self-efficacy in a UTAUT framework,Pratama,2025.0
R1,S189,236.0,"Exploring Indian Students' Perception, Behavioral Intentions, and Motivation for Learning with ChatGPT",Kaur,2024.0
R1,S120,351.0,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantitative study of university students and faculty,Kaya,2025.0
R1,S081,305.0,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UTAUT Model and Self-Determination Theory,Jin,2026.0
R1,S035,622.0,Understanding of ChatGPT adoption among business school students,Al-Okaily,2025.0
R1,S191,331.0,Understanding teachers' intentions and use of AI tools for research,Gupta,2024.0
R1,S041,2098.0,Responsibility and AI: Exploring technology acceptance models,Fel,2025.0
R1,S217,344.0,Examining students' intention to use ChatGPT: Does trust matter?,Rahman,2023.0
R1,S166,104.0,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAUT2 Model,Grassini,2024.0
R1,S033,437.0,"Extending the technology acceptance model: The role of subjective norms, ethics, and trust in AI tool adoption among students",Mustofa,2025.0
R1,S089,322.0,Impact of AI adoption on the digital workplace and accounting education for university students,Tran,2025.0
R1,S075,402.0,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis using structural equation modeling,Rana,2025.0
R1,S058,541.0,The Implications of Generative Artificial Intelligence in Gastronomy and Culinary Arts Education: An Extended TAM Approach,Boz,2025.0
R1,S108,114.0,The impact of artificial intelligence on maker education: Motivation and technology acceptance in teacher training,Quintana-Ordorika,2025.0
R1,S067,598.0,Understanding behavioral intentions of UG and PG students in Tier II Indian cities toward AI-technology adoption in higher education: a mixed-methods approach using the SOR model,Yadav,2025.0
R1,S103,770.0,Antecedents of students' behavioural intention to use generative artificial intelligence: Quantitative research,Lenart,2025.0
R1,S069,597.0,"Dimensions of artificial intelligence acceptance among pre-service EFL teachers: exploring usability, usefulness, social norms, ethics and intentions using ChatGPT",Al-Khresheh,2025.0
R1,S063,388.0,Student utilization and perceptions of AI technology for academic purposes: a mixed-method analysis,Sustaningrum,2025.0
R1,S119,432.0,The moderating role of ethnic culture on adoption intention of generative artificial intelligence among university students,Cao,2025.0
R1,S093,127.0,Assessing ChatGPT adoption in Jordanian medical education: a UTAUT model approach,Alqaisi,2025.0
R1,S153,207.0,Investigating student acceptance of an academic advising chatbot in higher education institutions,Bilquise,2024.0
R1,S132,147.0,ChatGPT or Human Mentors? Student Perceptions of Technology Acceptance and Use and the Future of Mentorship in Higher Education,Lee,2025.0
R1,S049,419.0,Exploring factors influencing L2 learners’ use of GAI-assisted writing technology: based on the UTAUT model,Yang,2025.0
R1,S066,175.0,The role of perceived trust and technology anxiety in intention to use technology tools in HEI: applying the modified UTAUT from user behavior context,Joshi,2025.0
R1,S162,156.0,Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via ubiquitous learning mechanism,Saif,2024.0
R1,S136,105.0,Factors Influencing the Reported Intention of Higher Vocational Computer Science Students in China to Use AI After Ethical Training: A Study in Guangdong Province,Zou,2025.0
R1,S188,147.0,New Challenges of Learning Accounting With Artificial Intelligence: The Role of Innovation and Trust in Technology,Musyaffi,2024.0
R1,S080,251.0,Determinants of Generative AI Adoption Through the UTAUT Model: Insights From Postgraduate Business Students,Lazarte-Aguirre,2025.0
R1,S216,348.0,Understanding the Factors Influencing Higher Education Students' Intention to Adopt Artificial Intelligence-Based Robots,AlGerafi,2023.0
R1,S088,353.0,Generative AI in Higher Education Assessments: Examining Risk and Tech-Savviness on Student's Adoption,Oc,2025.0
R1,S192,693.0,"Utilization of, Perceptions on, and Intention to Use AI Chatbots Among Medical Students in China: National Cross-Sectional Study",Tao,2024.0
R1,S006,1167.0,Exploring the adoption of AI-enabled English learning applications among university students using extended UTAUT2 model,Liu,2025.0
R1,S003,195.0,The moderating role of technology proficiency and academic discipline in AI-chatbot adoption within higher education: Insights from a PLS-SEM analysis,Saihi,2025.0
R1,S037,635.0,"Factors influencing intention to adopt an AI chatbot for learning in higher education: An integrated PLS-SEM, IPMA, and ANN approach",Guo,2025.0
R1,S112,500.0,Determinants of Generative AI Adoption in Higher Education: A Social Science Perspective on Thai Faculty Behavioral Intentions,Liang,2025.0
R1,S040,290.0,Integrating AI chatbots for enhancing academic support in business education: A SEM-Based study toward sustainable learning,Alwakid,2025.0
R1,S224,301.0,"Adoption, use and enhancement of virtual learning during COVID-19",Zhou,2022.0
R1,S116,8496.0,Higher education students' ChatGPT use behavior: Structural equation modelling of contributing factors through a modified UTAUT model,Owan,2025.0
R1,S172,330.0,An exploratory study of artificial intelligence adoption in higher education,Nagy,2024.0
R1,S159,483.0,"Integrating the adapted UTAUT model with moral obligation, trust and perceived risk to predict ChatGPT adoption for assessment support: A survey with students",Lai,2024.0
R1,S134,506.0,Learners' Acceptance of ChatGPT in School,Conrad,2025.0
R1,S082,308.0,What Drives University Students to Use ChatGPT for Translation? Disciplinary and Experiential Influences,Wang,2025.0
R1,S182,380.0,Factors Influencing University Students' Behavioural Intention to Use Generative Artificial Intelligence for Educational Purposes Based on a Revised UTAUT2 Model,Tang,2024.0
R1,S199,197.0,Determinants of Humanities and Social Sciences Students' Intentions to Use Artificial Intelligence Applications for Academic Purposes,Lavidas,2024.0
R1,S148,603.0,"Student acceptance of ChatGPT in higher education: A mixed-method study of attitudes, intentions, and concerns",Stroud,2025.0
R1,S122,842.0,Adoption intention of generative artificial intelligence among Chinese college students: an extended TAM-UTAUT2 model from the four-helix perspective,Jiang,2025.0
R1,S034,148.0,What influences college students using AI for academic writing? - A quantitative analysis based on HISAM and TRI theory,Cui,2025.0
R1,S062,729.0,Factors influencing the acceptance and usage of ChatGPT as an emerging learning tool among higher education students in Bangladesh: a structural equation modeling,Howlader,2025.0
R1,S129,300.0,Examining the Influence of AI on Python Programming Education: An Empirical Study and Analysis of Student Acceptance Through TAM3,Alanazi,2025.0
R1,S205,136.0,Factors Affecting the Adoption and Use of ChatGPT in Higher Education,Alshammari,2024.0
R1,S126,194.0,Prediction of the Use of Generative Artificial Intelligence Through ChatGPT Among Costa Rican University Students: A PLS Model Based on UTAUT2,Cabero-Almenara,2025.0
R1,S115,112.0,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabulary Acquisition Based on The Technology Acceptance Model,Alsakaker,2025.0
R1,S029,411.0,Key factors influencing intention to use ChatGPT: An empirical study of U. S. students,Pham,2025.0
R1,S139,435.0,Determinants of ChatGPT Adoption Intention in Higher Education: Expanding on TAM with the Mediating Roles of Trust and Risk,Balaskas,2025.0
R1,S014,750.0,The role of perceived utility and ethical concerns in the adoption of AI-based data analysis tools: A multi-group structural equation model analysis among academic researchers,Zhang,2025.0
R1,S036,480.0,Factors affecting acceptance of ChatGPT-4o by English language instructors: The extended TAM approach,Kilic,2025.0
R1,S061,473.0,Leveraging AI in academia: university students' adoption of ChatGPT for writing coursework (take home) assignments through the lens of UTAUT2,Namatovu,2025.0
R1,S203,251.0,Exploring the Key Factors Influencing College Students' Willingness to Use AI Coding Assistant Tools: An Expanded Technology Acceptance Model,Pan,2024.0
R1,S179,928.0,Investigation of the moderation effect of gender and study level on the acceptance and use of generative AI by higher education students: Comparative evidence from Poland and Egypt,Strzelecki,2024.0
R1,S138,200.0,Modeling Student Acceptance of AI Technologies in Higher Education: A Hybrid SEM-ANN Approach,Saflor,2025.0
R1,S195,74.0,Impact and Perspectives of Generative Artificial Intelligence in Higher Education: A Study on Lecturers' Perception and Adoption using the AETGE/GATE Model; Impacto y Perspectivas de la Inteligencia Artificial Generativa en la Educación Superior: Un Estudio sobre la Percepción y Adopción Docente usando el modelo AETGE/GATE,Patterson,2024.0
R1,S128,395.0,Examining the Acceptance and Use of AI-Based Assistive Technology Among University Students with Visual Disability: The Moderating Role of Physical Self-Esteem,Alnajdi,2025.0
R1,S152,604.0,Mapping Edifying Territories: A Cross-Sectional Study on the Dynamics Influencing Students' Readiness and Intention to Clinch Artificial Intelligence,Lim,2025.0
R1,S113,118.0,A MODEL FOR THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN INCLUSIVE EDUCATION: AN EXPLORATORY STUDY OF KEY FACTORS AND EXPERT INSIGHTS,Ma,2025.0
R1,S070,245.0,Factors affecting intention of academic librarians in Pakistan universities to use AI tools: an extension of the UTAUT model,Ali,2025.0
R1,S140,823.0,"Trust in Generative AI Tools: A Comparative Study of Higher Education Students, Teachers, and Researchers",Deric,2025.0
R1,S200,431.0,Chatbot Technology Use and Acceptance Using Educational Personas,Almahri,2024.0
R2,S222,50.0,Effects and acceptance of precision education in an AI-supported smart learning environment,,2022.0
R2,S218,242.0,To use or not to use? Understanding doctoral students' acceptance of ChatGPT in writing through technology acceptance model,,2023.0
R2,S185,298.0,Factors Influencing the Acceptance of ChatGPT in High Education: An Integrated Model With PLS-SEM and fsQCA Approach,,2024.0
R2,S194,469.0,Exploring Factors Influencing Gen Z's Acceptance and Adoption of AI and Cloud-Based Applications and Tools in Academic Attainment,,2024.0
R2,S208,526.0,"Artificial intelligence in Jordanian education: Assessing acceptance via perceived cybersecurity, novelty value, and perceived trust",,2024.0
R2,S028,508.0,Impact of perceived ease of use and perceived usefulness of humanoid robots on students' intention to use,,2025.0
R2,S059,645.0,Predictors of university students' acceptance of ChatGPT in Chinese academic context,,2025.0
R2,S145,374.0,Determinants of Student Adoption of Generative AI in Higher Education,,2025.0
R2,S110,353.0,Factors Driving ChatGPT Adoption in Higher Education: A UTAUT-Based Analysis of Student Behavioural Intentions,,2025.0
R2,S147,410.0,Battle of AI chatbots: Graduate students’ perceptions of ChatGPT versus Gemini for learning purposes in Egyptian higher education,,2025.0
R2,S023,2009.0,Students’ acceptance and use of generative AI in pharmacy education: international cross-sectional survey based on the extended unified theory of acceptance and use of technology,,2025.0
R2,S064,220.0,AIDUA (artificial intelligence device use and acceptance) model to assess the acceptance of AI in the learning practices of higher education students,,2025.0
R2,S177,283.0,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for learning in Vietnam,,2024.0
R2,S169,250.0,Revolutionizing education: Artificial intelligence empowered learning in higher education,,2024.0
R2,S015,1074.0,Unlocking ChatGPT's potential: a comparative study of student adoption intentions in higher education across India and Poland,,2025.0
R2,S156,305.0,Investigating AI-based academic support acceptance and its impact on students' performance in Malaysian and Pakistani higher education institutions,,2024.0
R2,S104,436.0,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,,2025.0
R2,S042,500.0,Factors affecting Artificial Intelligence usage intention among nursing students: Unified theory of acceptance and use of technology,,2025.0
R2,S030,226.0,The psychology of AI adoption in education: University students' intentions to use Large Language Models for learning from a TAM and TPB perspective,,2025.0
R2,S201,239.0,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Business Students in Korea,,2024.0
R2,S019,572.0,Exploring user awareness and perceived usefulness of generative AI in higher education: The moderating role of trust,,2025.0
R2,S211,237.0,"The determinants of ChatGPT usage among accounting students: the role of habit, social influence, and facilitating conditions",,2024.0
R2,S009,490.0,Bridging expectations and reality: Addressing the price-value paradox in teachers' AI integration,,2025.0
R2,S038,283.0,ChatGPT in higher education - A Student's perspective,,2025.0
R2,S178,529.0,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted Teaching Systems,,2024.0
R2,S046,361.0,"Artificial intelligence, social influence, and AI anxiety: analyzing the intentions of science doctoral students to use ChatGPT with PLS-SEM",,2025.0
R2,S053,445.0,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk-Coping Paradox in Higher Education Focusing on an Integrated, UTAUT and PMT",,2025.0
R2,S095,1055.0,"Generative artificial intelligence acceptance, anxiety, and behavioral intention in the middle east: a TAM-based structural equation modelling approach",,2025.0
R2,S102,284.0,Understanding university students' adoption of ChatGPT: A TAM-based exploration of key factors,,2025.0
R2,S071,720.0,Assessing attitudes and impact of AI integration in higher education,,2025.0
R2,S018,748.0,Extending the TAM framework: Exploring learning motivation and agility in educational adoption of generative AI,,2025.0
R2,S190,330.0,Factors Affecting Students’ Willingness to Use Artificial Intelligence in University Settings,,2024.0
R2,S076,526.0,ChatGPT in the classroom: navigating the generative AI wave among international business students - a moderated mediation approach,,2025.0
R2,S164,2078.0,ChatGPT acceptance and use through UTAUT and TPB: A big survey in five Indonesian Universities,,2024.0
R2,S091,451.0,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelligence in Academic Writing: A Sequential Exploratory Mixed-Method Study,,2025.0
R2,S187,352.0,Acceptance of artificial intelligence and its effect on entrepreneurial intention in foreign trade students: a mirror analysis,,2024.0
R2,S079,493.0,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementing AI Applications in Higher Education,,2025.0
R2,S223,300.0,Understanding key drivers affecting students' use of artificial intelligence-based voice assistants,,2022.0
R2,S196,425.0,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationship with Some Variables and Pedagogical Beliefs,,2024.0
R2,S005,230.0,Just learn it? How individual differences and HMSAM impact learners' intention to engage in AI-related education,,2025.0
R2,S168,534.0,To use or not to use ChatGPT in higher education? A study of students' acceptance and use of technology,,2024.0
R2,S054,299.0,A study on behavioral intentions of artificial intelligence learning platform: Comparing the perspectives of teachers and students,,2025.0
R2,S220,278.0,"Determinants of Intentions to Use Digital Mental Healthcare Content among University Students, Faculty, and Staff: Motivation, Perceived Usefulness, Perceived Ease of Use, and Parasocial Interaction with AI Chatbot",,2023.0
R2,S011,304.0,Modeling Chinese EFL learners' intention to use generative AI for L2 writing through an integrated model of the TAM and TTF,,2025.0
R2,S180,,"Using explainable AI to unravel classroom dialogue analysis: Effects of explanations on teachers' trust, technology acceptance and cognitive load",,2024.0
R2,S044,441.0,The predictive effect of nursing students' attitudes and acceptance towards artificial intelligence on their clinical competencies,,2025.0
R2,S151,295.0,Perceived Ease of Use and Usefulness in AI-Generated Content Adoption: Gender as a Moderator,,2025.0
R2,S087,620.0,"Impact of technology literacy, information literacy, and user satisfaction on the adoption of GAI-ChatGPT for learning, knowledge acquisition, and knowledge dissemination among Chinese students",,2025.0
R2,S051,524.0,Technology empowerment or risk avoidance? - investigating the overlooked factors influencing college students' acceptance of generative artificial intelligence,,2025.0
R2,S086,235.0,Investigating the factors influencing the adoption and use of artificial intelligence applications among Pakistani university research scholars: An empirical study,,2025.0
R2,S074,1260.0,Understanding AI acceptance among Indonesian pre-service teachers: the mediating role of anxiety and self-efficacy in a UTAUT framework,,2025.0
R2,S189,236.0,"Exploring indian students’ perception, behavioral intentions, and motivation for learning with chatgpt",,2024.0
R2,S120,320.0,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantitative study of university students and faculty,,2025.0
R2,S081,305.0,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UTAUT Model and Self-Determination Theory,,2025.0
R2,S035,622.0,Understanding of ChatGPT adoption among business school students,,2025.0
R2,S191,331.0,Understanding teachers' intentions and use of AI tools for research,,2024.0
R2,S041,2098.0,Responsibility and AI: Exploring technology acceptance models,,2025.0
R2,S217,344.0,Examining students' intention to use ChatGPT: Does trust matter?,,2023.0
R2,S166,104.0,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAUT2 Model,,2024.0
R2,S033,437.0,"Extending the technology acceptance model: The role of subjective norms, ethics, and trust in AI tool adoption among students",,2025.0
R2,S204,140.0,Understanding Chinese University EFL Learners' Perceptions of AI in English Writing,,2024.0
R2,S161,315.0,Do in-service teachers accept artificial intelligence-driven technology? The mediating role of school support and resources,,2024.0
R2,S135,302.0,Exploring Generation Z's Acceptance of Artificial Intelligence in Higher Education: A TAM and UTAUT-Based PLS-SEM and Cluster Analysis,,2025.0
R2,S175,639.0,Second language writing anxiety and ChatGPT adoption as an automated writing evaluation tool,,2024.0
R2,S032,804.0,A cross-national assessment of artificial intelligence (AI) Chatbot user perceptions in collegiate physics education,,2025.0
R2,S133,611.0,Habit Predicting Higher Education EFL Students' Intention and Use of AI: A Nexus of UTAUT-2 Model and Metacognition Theory,,2025.0
R2,S149,254.0,Measuring Graduate Students' Use of ChatGPT in Academic Writing Based on the Technology Acceptance Model,,2025.0
R2,S157,620.0,Examining the moderating effect of motivation on technology acceptance of generative AI for English as a foreign language learning,,2024.0
R2,S107,400.0,Integrating AI in Academia: A SEM Evaluation of Research Scholars’ Usage Intentions on ChatGPT,,2025.0
R2,S025,361.0,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher Education? The Moderating Role of Academic Integrity,,2025.0
R2,S114,255.0,Predicting EFL Students’ Use of Artificial Intelligence Tool in Advancing Their Writing Skills,,2025.0
R2,S124,301.0,Exploring pre-service music teachers' acceptance of generative artificial intelligence: a PLS-SEM-ANN approach,,2025.0
R2,S098,482.0,What is the influence of psychosocial factors on artificial intelligence appropriation in college students?,,2025.0
R2,S099,294.0,Artificial intelligence and communication technologies in academia: faculty perceptions and the adoption of generative AI,,2025.0
R2,S008,289.0,Students' behavioural intention to use content generative AI for learning and research: A UTAUT theoretical perspective,,2025.0
R2,S083,425.0,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based on the Technology Acceptance Model,,2025.0
R2,S155,242.0,Gen-AI integration in higher education: Predicting intentions using SEM-ANN approach,,2024.0
R2,S173,306.0,Economics students' behavioural intention and usage of ChatGPT in higher education: a hybrid structural equation modelling-artificial neural network approach,,2024.0
R2,S039,,Patients' Acceptance and Intentions on Using Artificial Intelligence in Dental Diagnosis: Insights From Unified Theory of Acceptance and Use of Technology 2 Model,,2025.0
R2,S123,711.0,Balancing generative AI integration and faculty well-being: evidence from Chinese higher education,,2025.0
R2,S210,400.0,Artificial Intelligence Powered Pedagogy: Unveiling Higher Educators' Acceptance with Extended TAM,,2024.0
R2,S078,668.0,What Motivates Second Language Majors to Use Generative AI for Informal Learning? Insights From the Theory of Planned Behavior,,2025.0
R2,S143,390.0,Sustainable AI Solutions for Empowering Visually Impaired Students: The Role of Assistive Technologies in Academic Success,,2025.0
R2,S150,124.0,The Use of Artificial Intelligence in Accounting Classes: Behavioral Insights from Students,,2025.0
R2,S024,486.0,Understanding pre-service teachers' acceptance of generative artificial intelligence: an extended technology acceptance model approach,,2025.0
R2,S092,526.0,"Chatting Heavily with ChatGPT: Investigating Usefulness, Privacy, Integrity, Ease, and Intention as Drivers of Technology Acceptance Among Business Communication Students",,2025.0
R2,S021,149.0,Generative AI in Action: Acceptance and Use Among Higher Education Staff Pre- and Post-training,,2025.0
R2,S171,351.0,Investigating the adoption of AI in higher education: a study of public universities in Indonesia,,2024.0
R2,S137,760.0,Responses to the AI Revolution in Hospitality and Tourism Higher Education: The Perception of Students Towards Accepting and Using Microsoft Copilot,,2025.0
R2,S101,322.0,Determining Factors Influencing Indonesian Higher Education Students' Intention to Adopt Artificial Intelligence Tools for Self-Directed Learning Management,,2025.0
R2,S096,264.0,Insights into the relationship between anxiety and attitudes toward artificial intelligence among nursing students,,2025.0
R2,S094,517.0,Using Generative AI in nursing education: Students' perceptions,,2025.0
R2,S068,320.0,Physics instructors' acceptance and implementation of generative AI,,2025.0
R2,S106,353.0,Unleashing the determinants of adoption of ChatGPT in medical education: A student perspective,,2025.0
R2,S056,132.0,Examining the influence of individual-level cultural values on CFL learners’ acceptance of ChatGPT for Chinese learning,,2025.0
R2,S085,156.0,Understanding the Effect of Risk Perception on the Acceptance and Use of Large Language Models Among University Students,,2025.0
R2,S181,347.0,University Learners' Readiness for ChatGPT-Assisted English Learning: Scale Development and Validation,,2024.0
R2,S221,400.0,Use of ChatGPT at University as a Tool for Complex Thinking: Students' Perceived Usefulness,,2023.0
R2,S183,430.0,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model Investigation Using CB-SEM,,2024.0
R2,S004,485.0,Unveiling the drivers of ChatGPT utilization in higher education sectors: the direct role of perceived knowledge and the mediating role of trust in ChatGPT,,2025.0
R2,S121,3094.0,Motivational and appraisal factors shaping generative AI use and intention in Austrian higher education students and teachers,,2025.0
R2,S027,415.0,Factors influencing Chinese college students' intention to use AIGC: a study based on the UTAUT model,,2025.0
R2,S077,308.0,The Influence of Social Support Theory on AI Acceptance: Examining Educational Support and Perceived Usefulness Using SEM Analysis,,2025.0
R2,S031,353.0,Association between Generative AI self-efficacy and Generative AI acceptance: The mediating role of Generative AI trust and the moderating role of Generative AI risk perception,,2025.0
R2,S022,729.0,Instrumental and integrative motivations predict intention to use generative AI chatbots for English learning among undergraduates with non English majors in Chinese private universities,,2025.0
R2,S165,362.0,Impact of AI chatbots on EFL learners' technology adoption,,2024.0
R2,S002,300.0,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence in STEM Higher Education: A UTAUT2 Model Approach,,2025.0
R2,S065,517.0,Examining factors influencing university students' perceptions of AI technologies in academic writing,,2025.0
R2,S118,208.0,Faculty acceptance and use of generative artificial intelligence in their practice,,2025.0
R2,S158,503.0,Students' Acceptance of ChatGPT in Higher Education: An Extended Unified Theory of Acceptance and Use of Technology,,2024.0
R2,S207,880.0,Antecedents of adoption and usage of ChatGPT among Jordanian university students: Empirical study,,2024.0
R2,S202,1991.0,The Use of AI-Driven Automation to Enhance Student Learning Experiences in the KSA: An Alternative Pathway to Sustainable Education,,2024.0
R2,S131,277.0,Generative AI as a Cognitive Co-Pilot in English Language Learning in Higher Education,,2025.0
R2,S206,74.0,Examining generative artificial intelligence adoption in academia: a UTAUT perspective,,2024.0
R2,S209,523.0,Factors affecting ChatGPT use in education employing TAM: A Jordanian universities’ perspective,,2024.0
R2,S197,237.0,"Modeling Teachers' Acceptance of Generative Artificial Intelligence Use in Higher Education: The Role of AI Literacy, Intelligent TPACK, and Perceived Trust",,2024.0
