coder,sheet,study_id,construct_1,construct_2,pair,r_value,original_beta,r_source,source_location,flag,notes,sample_size
R1,CORRELATIONS,S218,ANX,TRU,ANX-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,UB,ANX-UB,,,,,,,242.0
R1,CORRELATIONS,S218,ATT,BI,ATT-BI,0.78,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,ATT,EE,ATT-EE,0.69,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,ATT,FC,ATT-FC,,,,,,,242.0
R1,CORRELATIONS,S218,ATT,PE,ATT-PE,0.7,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,ATT,SE,ATT-SE,,,,,,,242.0
R1,CORRELATIONS,S218,ATT,SI,ATT-SI,,,,,,,242.0
R1,CORRELATIONS,S218,ATT,TRU,ATT-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,ATT,UB,ATT-UB,,,,,,,242.0
R1,CORRELATIONS,S218,BI,EE,BI-EE,0.59,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,BI,FC,BI-FC,,,,,,,242.0
R1,CORRELATIONS,S218,BI,PE,BI-PE,0.63,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,BI,SE,BI-SE,,,,,,,242.0
R1,CORRELATIONS,S218,BI,SI,BI-SI,,,,,,,242.0
R1,CORRELATIONS,S218,BI,TRU,BI-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,BI,UB,BI-UB,,,,,,,242.0
R1,CORRELATIONS,S218,EE,FC,EE-FC,,,,,,,242.0
R1,CORRELATIONS,S218,EE,PE,EE-PE,0.66,,direct,"Table 1, p.5",,,242.0
R1,CORRELATIONS,S218,EE,SE,EE-SE,,,,,,,242.0
R1,CORRELATIONS,S218,EE,SI,EE-SI,,,,,,,242.0
R1,CORRELATIONS,S218,EE,TRU,EE-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,EE,UB,EE-UB,,,,,,,242.0
R1,CORRELATIONS,S218,FC,PE,FC-PE,,,,,,,242.0
R1,CORRELATIONS,S218,FC,SE,FC-SE,,,,,,,242.0
R1,CORRELATIONS,S218,FC,SI,FC-SI,,,,,,,242.0
R1,CORRELATIONS,S218,FC,TRU,FC-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,FC,UB,FC-UB,,,,,,,242.0
R1,CORRELATIONS,S218,PE,SE,PE-SE,,,,,,,242.0
R1,CORRELATIONS,S218,PE,SI,PE-SI,,,,,,,242.0
R1,CORRELATIONS,S218,PE,TRU,PE-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,PE,UB,PE-UB,,,,,,,242.0
R1,CORRELATIONS,S218,SE,SI,SE-SI,,,,,,,242.0
R1,CORRELATIONS,S218,SE,TRU,SE-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,SE,UB,SE-UB,,,,,,,242.0
R1,CORRELATIONS,S218,SI,TRU,SI-TRU,,,,,,,242.0
R1,CORRELATIONS,S218,SI,UB,SI-UB,,,,,,,242.0
R1,CORRELATIONS,S218,TRU,UB,TRU-UB,,,,,,,242.0
R1,CORRELATIONS,S185,ANX,ATT,ANX-ATT,0.46,,direct,"Table 3, p.7",,DIS mapped to ANX,298.0
R1,CORRELATIONS,S185,ANX,BI,ANX-BI,0.47,,direct,"Table 3, p.7",,DIS mapped to ANX,298.0
R1,CORRELATIONS,S185,ANX,EE,ANX-EE,0.47,,direct,"Table 3, p.7",,DIS mapped to ANX,298.0
R1,CORRELATIONS,S185,ANX,FC,ANX-FC,,,,,,,298.0
R1,CORRELATIONS,S185,ANX,PE,ANX-PE,0.44,,direct,"Table 3, p.7",,DIS mapped to ANX,298.0
R1,CORRELATIONS,S185,ANX,SE,ANX-SE,,,,,,,298.0
R1,CORRELATIONS,S185,ANX,SI,ANX-SI,,,,,,,298.0
R1,CORRELATIONS,S185,ANX,TRU,ANX-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,ANX,UB,ANX-UB,,,,,,,298.0
R1,CORRELATIONS,S185,ATT,BI,ATT-BI,0.45,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,ATT,EE,ATT-EE,0.47,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,ATT,FC,ATT-FC,,,,,,,298.0
R1,CORRELATIONS,S185,ATT,PE,ATT-PE,0.5,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,ATT,SE,ATT-SE,,,,,,,298.0
R1,CORRELATIONS,S185,ATT,SI,ATT-SI,,,,,,,298.0
R1,CORRELATIONS,S185,ATT,TRU,ATT-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,ATT,UB,ATT-UB,,,,,,,298.0
R1,CORRELATIONS,S185,BI,EE,BI-EE,0.52,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,BI,FC,BI-FC,,,,,,,298.0
R1,CORRELATIONS,S185,BI,PE,BI-PE,0.46,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,BI,SE,BI-SE,,,,,,,298.0
R1,CORRELATIONS,S185,BI,SI,BI-SI,,,,,,,298.0
R1,CORRELATIONS,S185,BI,TRU,BI-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,BI,UB,BI-UB,,,,,,,298.0
R1,CORRELATIONS,S185,EE,FC,EE-FC,,,,,,,298.0
R1,CORRELATIONS,S185,EE,PE,EE-PE,0.48,,direct,"Table 3, p.7",,,298.0
R1,CORRELATIONS,S185,EE,SE,EE-SE,,,,,,,298.0
R1,CORRELATIONS,S185,EE,SI,EE-SI,,,,,,,298.0
R1,CORRELATIONS,S185,EE,TRU,EE-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,EE,UB,EE-UB,,,,,,,298.0
R1,CORRELATIONS,S185,FC,PE,FC-PE,,,,,,,298.0
R1,CORRELATIONS,S185,FC,SE,FC-SE,,,,,,,298.0
R1,CORRELATIONS,S185,FC,SI,FC-SI,,,,,,,298.0
R1,CORRELATIONS,S185,FC,TRU,FC-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,FC,UB,FC-UB,,,,,,,298.0
R1,CORRELATIONS,S185,PE,SE,PE-SE,,,,,,,298.0
R1,CORRELATIONS,S185,PE,SI,PE-SI,,,,,,,298.0
R1,CORRELATIONS,S185,PE,TRU,PE-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,PE,UB,PE-UB,,,,,,,298.0
R1,CORRELATIONS,S185,SE,SI,SE-SI,,,,,,,298.0
R1,CORRELATIONS,S185,SE,TRU,SE-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,SE,UB,SE-UB,,,,,,,298.0
R1,CORRELATIONS,S185,SI,TRU,SI-TRU,,,,,,,298.0
R1,CORRELATIONS,S185,SI,UB,SI-UB,,,,,,,298.0
R1,CORRELATIONS,S185,TRU,UB,TRU-UB,,,,,,,298.0
R1,CORRELATIONS,S194,ANX,ATT,ANX-ATT,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,BI,ANX-BI,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,EE,ANX-EE,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,FC,ANX-FC,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,PE,ANX-PE,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,SE,ANX-SE,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,SI,ANX-SI,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,TRU,ANX-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,ANX,UB,ANX-UB,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,BI,ATT-BI,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,EE,ATT-EE,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,FC,ATT-FC,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,PE,ATT-PE,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,SE,ATT-SE,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,SI,ATT-SI,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,TRU,ATT-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,ATT,UB,ATT-UB,,,,,,,469.0
R1,CORRELATIONS,S194,BI,EE,BI-EE,0.44,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,BI,FC,BI-FC,0.49,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,BI,PE,BI-PE,-0.08,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,BI,SE,BI-SE,,,,,,,469.0
R1,CORRELATIONS,S194,BI,SI,BI-SI,0.62,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,BI,TRU,BI-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,BI,UB,BI-UB,0.64,,direct,"Table 3, p.825",,e-CloudAC mapped to UB,469.0
R1,CORRELATIONS,S194,EE,FC,EE-FC,0.55,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,EE,PE,EE-PE,-0.1,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,EE,SE,EE-SE,,,,,,,469.0
R1,CORRELATIONS,S194,EE,SI,EE-SI,0.52,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,EE,TRU,EE-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,EE,UB,EE-UB,0.49,,direct,"Table 3, p.825",,e-CloudAC mapped to UB,469.0
R1,CORRELATIONS,S194,FC,PE,FC-PE,-0.12,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,FC,SE,FC-SE,,,,,,,469.0
R1,CORRELATIONS,S194,FC,SI,FC-SI,0.59,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,FC,TRU,FC-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,FC,UB,FC-UB,0.52,,direct,"Table 3, p.825",,e-CloudAC mapped to UB,469.0
R1,CORRELATIONS,S194,PE,SE,PE-SE,,,,,,,469.0
R1,CORRELATIONS,S194,PE,SI,PE-SI,-0.12,,direct,"Table 3, p.825",,,469.0
R1,CORRELATIONS,S194,PE,TRU,PE-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,PE,UB,PE-UB,-0.05,,direct,"Table 3, p.825",,e-CloudAC mapped to UB,469.0
R1,CORRELATIONS,S194,SE,SI,SE-SI,,,,,,,469.0
R1,CORRELATIONS,S194,SE,TRU,SE-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,SE,UB,SE-UB,,,,,,,469.0
R1,CORRELATIONS,S194,SI,TRU,SI-TRU,,,,,,,469.0
R1,CORRELATIONS,S194,SI,UB,SI-UB,0.56,,direct,"Table 3, p.825",,e-CloudAC mapped to UB,469.0
R1,CORRELATIONS,S194,TRU,UB,TRU-UB,,,,,,,469.0
R1,CORRELATIONS,S208,ANX,ATT,ANX-ATT,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,BI,ANX-BI,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,EE,ANX-EE,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,FC,ANX-FC,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,PE,ANX-PE,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,SE,ANX-SE,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,SI,ANX-SI,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,TRU,ANX-TRU,,,,,,,526.0
R1,CORRELATIONS,S208,ANX,UB,ANX-UB,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,BI,ATT-BI,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,EE,ATT-EE,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,FC,ATT-FC,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,PE,ATT-PE,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,SE,ATT-SE,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,SI,ATT-SI,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,TRU,ATT-TRU,,,,,,,526.0
R1,CORRELATIONS,S208,ATT,UB,ATT-UB,,,,,,,526.0
R1,CORRELATIONS,S208,BI,EE,BI-EE,0.43,,direct,"Table 2, p.829",,WA mapped to BI,526.0
R1,CORRELATIONS,S208,BI,FC,BI-FC,,,,,,,526.0
R1,CORRELATIONS,S208,BI,PE,BI-PE,0.24,,direct,"Table 2, p.829",,WA mapped to BI,526.0
R1,CORRELATIONS,S208,BI,SE,BI-SE,,,,,,,526.0
R1,CORRELATIONS,S208,BI,SI,BI-SI,0.46,,direct,"Table 2, p.829",,WA mapped to BI,526.0
R1,CORRELATIONS,S208,BI,TRU,BI-TRU,0.52,,direct,"Table 2, p.829",,WA mapped to BI,526.0
R1,CORRELATIONS,S208,BI,UB,BI-UB,,,,,,,526.0
R1,CORRELATIONS,S208,EE,FC,EE-FC,,,,,,,526.0
R1,CORRELATIONS,S208,EE,PE,EE-PE,0.4,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,EE,SE,EE-SE,,,,,,,526.0
R1,CORRELATIONS,S208,EE,SI,EE-SI,0.36,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,EE,TRU,EE-TRU,0.4,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,EE,UB,EE-UB,,,,,,,526.0
R1,CORRELATIONS,S208,FC,PE,FC-PE,,,,,,,526.0
R1,CORRELATIONS,S208,FC,SE,FC-SE,,,,,,,526.0
R1,CORRELATIONS,S208,FC,SI,FC-SI,,,,,,,526.0
R1,CORRELATIONS,S208,FC,TRU,FC-TRU,,,,,,,526.0
R1,CORRELATIONS,S208,FC,UB,FC-UB,,,,,,,526.0
R1,CORRELATIONS,S208,PE,SE,PE-SE,,,,,,,526.0
R1,CORRELATIONS,S208,PE,SI,PE-SI,0.3,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,PE,TRU,PE-TRU,0.3,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,PE,UB,PE-UB,,,,,,,526.0
R1,CORRELATIONS,S208,SE,SI,SE-SI,,,,,,,526.0
R1,CORRELATIONS,S208,SE,TRU,SE-TRU,,,,,,,526.0
R1,CORRELATIONS,S208,SE,UB,SE-UB,,,,,,,526.0
R1,CORRELATIONS,S208,SI,TRU,SI-TRU,0.24,,direct,"Table 2, p.829",,,526.0
R1,CORRELATIONS,S208,SI,UB,SI-UB,,,,,,,526.0
R1,CORRELATIONS,S208,TRU,UB,TRU-UB,,,,,,,526.0
R1,CORRELATIONS,S028,ANX,ATT,ANX-ATT,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,BI,ANX-BI,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,EE,ANX-EE,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,FC,ANX-FC,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,PE,ANX-PE,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,SE,ANX-SE,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,SI,ANX-SI,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,TRU,ANX-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,ANX,UB,ANX-UB,,,,,,,508.0
R1,CORRELATIONS,S028,ATT,BI,ATT-BI,0.88,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,ATT,EE,ATT-EE,0.63,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,ATT,FC,ATT-FC,,,,,,,508.0
R1,CORRELATIONS,S028,ATT,PE,ATT-PE,0.81,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,ATT,SE,ATT-SE,0.72,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,ATT,SI,ATT-SI,,,,,,,508.0
R1,CORRELATIONS,S028,ATT,TRU,ATT-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,ATT,UB,ATT-UB,,,,,,,508.0
R1,CORRELATIONS,S028,BI,EE,BI-EE,0.63,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,BI,FC,BI-FC,,,,,,,508.0
R1,CORRELATIONS,S028,BI,PE,BI-PE,0.82,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,BI,SE,BI-SE,0.69,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,BI,SI,BI-SI,,,,,,,508.0
R1,CORRELATIONS,S028,BI,TRU,BI-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,BI,UB,BI-UB,,,,,,,508.0
R1,CORRELATIONS,S028,EE,FC,EE-FC,,,,,,,508.0
R1,CORRELATIONS,S028,EE,PE,EE-PE,0.67,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,EE,SE,EE-SE,0.79,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,EE,SI,EE-SI,,,,,,,508.0
R1,CORRELATIONS,S028,EE,TRU,EE-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,EE,UB,EE-UB,,,,,,,508.0
R1,CORRELATIONS,S028,FC,PE,FC-PE,,,,,,,508.0
R1,CORRELATIONS,S028,FC,SE,FC-SE,,,,,,,508.0
R1,CORRELATIONS,S028,FC,SI,FC-SI,,,,,,,508.0
R1,CORRELATIONS,S028,FC,TRU,FC-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,FC,UB,FC-UB,,,,,,,508.0
R1,CORRELATIONS,S028,PE,SE,PE-SE,0.69,,direct,"Table 4, p.7",,,508.0
R1,CORRELATIONS,S028,PE,SI,PE-SI,,,,,,,508.0
R1,CORRELATIONS,S028,PE,TRU,PE-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,PE,UB,PE-UB,,,,,,,508.0
R1,CORRELATIONS,S028,SE,SI,SE-SI,,,,,,,508.0
R1,CORRELATIONS,S028,SE,TRU,SE-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,SE,UB,SE-UB,,,,,,,508.0
R1,CORRELATIONS,S028,SI,TRU,SI-TRU,,,,,,,508.0
R1,CORRELATIONS,S028,SI,UB,SI-UB,,,,,,,508.0
R1,CORRELATIONS,S028,TRU,UB,TRU-UB,,,,,,,508.0
R1,CORRELATIONS,S059,ANX,ATT,ANX-ATT,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,BI,ANX-BI,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,EE,ANX-EE,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,FC,ANX-FC,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,PE,ANX-PE,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,SE,ANX-SE,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,SI,ANX-SI,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,TRU,ANX-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,ANX,UB,ANX-UB,,,,,,,645.0
R1,CORRELATIONS,S059,ATT,BI,ATT-BI,0.9,0.854,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,ATT,EE,ATT-EE,0.26,0.212,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,ATT,FC,ATT-FC,,,,,,,645.0
R1,CORRELATIONS,S059,ATT,PE,ATT-PE,0.29,0.24,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,ATT,SE,ATT-SE,,,,,,,645.0
R1,CORRELATIONS,S059,ATT,SI,ATT-SI,,,,,,,645.0
R1,CORRELATIONS,S059,ATT,TRU,ATT-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,ATT,UB,ATT-UB,,,,,,,645.0
R1,CORRELATIONS,S059,BI,EE,BI-EE,,,,,,,645.0
R1,CORRELATIONS,S059,BI,FC,BI-FC,,,,,,,645.0
R1,CORRELATIONS,S059,BI,PE,BI-PE,,,,,,,645.0
R1,CORRELATIONS,S059,BI,SE,BI-SE,,,,,,,645.0
R1,CORRELATIONS,S059,BI,SI,BI-SI,,,,,,,645.0
R1,CORRELATIONS,S059,BI,TRU,BI-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,BI,UB,BI-UB,,,,,,,645.0
R1,CORRELATIONS,S059,EE,FC,EE-FC,,,,,,,645.0
R1,CORRELATIONS,S059,EE,PE,EE-PE,0.18,0.129,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,EE,SE,EE-SE,,,,,,,645.0
R1,CORRELATIONS,S059,EE,SI,EE-SI,,,,,,,645.0
R1,CORRELATIONS,S059,EE,TRU,EE-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,EE,UB,EE-UB,,,,,,,645.0
R1,CORRELATIONS,S059,FC,PE,FC-PE,,,,,,,645.0
R1,CORRELATIONS,S059,FC,SE,FC-SE,,,,,,,645.0
R1,CORRELATIONS,S059,FC,SI,FC-SI,,,,,,,645.0
R1,CORRELATIONS,S059,FC,TRU,FC-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,FC,UB,FC-UB,,,,,,,645.0
R1,CORRELATIONS,S059,PE,SE,PE-SE,,,,,,,645.0
R1,CORRELATIONS,S059,PE,SI,PE-SI,,,,,,,645.0
R1,CORRELATIONS,S059,PE,TRU,PE-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,PE,UB,PE-UB,,,,,,,645.0
R1,CORRELATIONS,S059,SE,SI,SE-SI,,,,,,,645.0
R1,CORRELATIONS,S059,SE,TRU,SE-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,SE,UB,SE-UB,,,,,,,645.0
R1,CORRELATIONS,S059,SI,TRU,SI-TRU,,,,,,,645.0
R1,CORRELATIONS,S059,SI,UB,SI-UB,,,,,,,645.0
R1,CORRELATIONS,S059,TRU,UB,TRU-UB,,,,,,,645.0
R1,CORRELATIONS,S145,ANX,ATT,ANX-ATT,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,BI,ANX-BI,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,EE,ANX-EE,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,FC,ANX-FC,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,PE,ANX-PE,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,SE,ANX-SE,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,SI,ANX-SI,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,TRU,ANX-TRU,,,,,,,374.0
R1,CORRELATIONS,S145,ANX,UB,ANX-UB,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,BI,ATT-BI,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,EE,ATT-EE,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,FC,ATT-FC,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,PE,ATT-PE,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,SE,ATT-SE,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,SI,ATT-SI,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,TRU,ATT-TRU,,,,,,,374.0
R1,CORRELATIONS,S145,ATT,UB,ATT-UB,,,,,,,374.0
R1,CORRELATIONS,S145,BI,EE,BI-EE,0.2,,direct,"Table 3, p.24",,,374.0
R1,CORRELATIONS,S145,BI,FC,BI-FC,,,,,,,374.0
R1,CORRELATIONS,S145,BI,PE,BI-PE,,,,,,,374.0
R1,CORRELATIONS,S145,BI,SE,BI-SE,,,,,,,374.0
R1,CORRELATIONS,S145,BI,SI,BI-SI,,,,,,,374.0
