record_id,decision,confidence,code,reason,model,timestamp
REC_00838,include,0.93,,"ChatGPT, 교수 불안, PLS-SEM, n=249, PE/EE",claude-opus-4-6,2026-02-26 14:52:08
REC_15354,include,0.9,,"ChatGPT, UTAUT2, n=400 스페인학생, PE/쾌락적동기",claude-opus-4-6,2026-02-26 14:52:08
REC_00835,include,0.9,,"GAI, ECM+TTF, PLS-SEM, n=315 대학원생, 지속사용의도",claude-opus-4-6,2026-02-26 14:52:08
REC_15363,include,0.9,,"AI 간호교육, UTAUT, n=213 간호학생",claude-opus-4-6,2026-02-26 14:52:08
REC_00839,include,0.88,,"AIGC, TPB, n=336 중국 학부생, 태도/주관적규범",claude-opus-4-6,2026-02-26 14:52:08
REC_10820,include,0.95,,"ChatGPT, TAM+신뢰+즐거움, SEM, n=344 학생",claude-opus-4-6,2026-02-26 14:52:08
REC_10822,include,0.88,,"예비유아교사 AI 준비도, SmartPLS, PLS-SEM, n=194",claude-opus-4-6,2026-02-26 14:54:19
REC_00841,include,0.88,,"GAI 고등교육, 사용자인식, PU, 신뢰 조절",claude-opus-4-6,2026-02-26 14:54:19
REC_00840,include,0.9,,"TAM 확장, 예비교사, 학습동기/민첩성, GenAI",claude-opus-4-6,2026-02-26 14:54:19
REC_15381,include,0.93,,"ChatGPT, TAM 확장, SEM, n=200 IT학생",claude-opus-4-6,2026-02-26 14:54:19
REC_15382,include,0.93,,"AI 수용, 교사, SEM, 고등교육",claude-opus-4-6,2026-02-26 14:54:19
REC_07274,include,0.9,,"TAM+UGT, ChatGPT, 베트남학생, PU/PEOU",claude-opus-4-6,2026-02-26 14:54:19
REC_15386,include,0.85,,"TPB, AI 학습의도, 초등학생, n=682",claude-opus-4-6,2026-02-26 14:54:19
REC_00846,include,0.88,,"ChatGPT 지속사용, 학생, 프라이버시 위험 조절",claude-opus-4-6,2026-02-26 14:54:19
REC_10884,include,0.93,,"ChatGPT, TAM 확장, CFA+SEM, n=352, AMOS",claude-opus-4-6,2026-02-26 14:54:19
REC_00847,uncertain,0.6,,"교사 AI 리터러시, SDT, 제도적지원 - TAM/UTAUT 구인 불명확",claude-opus-4-6,2026-02-26 14:54:19
REC_07324,include,0.8,,"AI 소프트웨어개발 참여의도, TPB, 자기효능감/AI리터러시",claude-opus-4-6,2026-02-26 14:54:19
REC_00854,uncertain,0.55,,"AI 미술교육 학업몰입, SCT+CVT, SEM - 수용/채택 아닌 몰입 측정",claude-opus-4-6,2026-02-26 14:54:19
REC_10950,include,0.92,,"ChatGPT, TAM, PU/PEOU/신뢰/테크노스트레스, 인도학생",claude-opus-4-6,2026-02-26 14:54:19
REC_07421,include,0.88,,"AI 수용 행동결정요인, AI리터러시/불안/자기효능감, n=391",claude-opus-4-6,2026-02-26 14:54:19
REC_00861,include,0.9,,"ChatGPT, DOI이론, PLS-SEM, n=640 폴란드학자",claude-opus-4-6,2026-02-26 14:54:19
REC_11025,include,0.82,,"ChatGPT 수용→디지털기업가의도, TPB, n=604 베트남학생",claude-opus-4-6,2026-02-26 14:54:19
REC_07479,include,0.8,,"ChatGPT 수용→디지털사회기업가의도, EEM+SOR, n=986",claude-opus-4-6,2026-02-26 14:54:19
REC_00865,include,0.92,,"AI기반PLE, TPB+ARCS, SEM, n=725 학생",claude-opus-4-6,2026-02-26 14:54:19
REC_11030,include,0.88,,"강사 AI 교육과정통합, TPB, PLS-SEM, n=133",claude-opus-4-6,2026-02-26 14:54:19
REC_07491,include,0.95,,"ChatGPT, UTAUT 확장, SEM, 인도학생, PE/EE/SI/FC",claude-opus-4-6,2026-02-26 14:54:19
REC_11039,include,0.92,,"AI 언어학습앱, TAM+TPB, SEM, n=196+370",claude-opus-4-6,2026-02-26 14:54:19
REC_00902,include,0.93,,"ChatGPT, UTAUT2 확장, PLS-SEM, n=503 폴란드학생",claude-opus-4-6,2026-02-26 14:54:19
REC_11044,include,0.93,,"ChatGPT, TAM 확장, SEM, n=400 한국EFL학생",claude-opus-4-6,2026-02-26 14:54:19
REC_00906,include,0.9,,"ChatGPT, AIDUA, PLS-SEM+ANN, 학술직원",claude-opus-4-6,2026-02-26 14:54:19
REC_11073,include,0.93,,"AI, TAM+TPACK, PLS-SEM, n=436 예비EFL교사",claude-opus-4-6,2026-02-26 14:54:19
REC_00918,include,0.9,,"ChatGPT, UTAUT, 불안/성별, 대학교수, 스페인",claude-opus-4-6,2026-02-26 14:54:19
REC_00931,uncertain,0.6,,"AI 고등교육, 학생인식, PU/만족도 - SEM 사용 불명확",claude-opus-4-6,2026-02-26 14:54:19
REC_11131,include,0.78,,"ChatGPT, PU/PEOU/BI, 인도학생",claude-opus-4-6,2026-02-26 14:54:19
REC_14687,uncertain,0.6,,"실내건축학생 AI인식, TAM설문 - 기술통계 위주 가능성",claude-opus-4-6,2026-02-26 14:54:19
REC_09729,include,0.92,,"AI 의학교육, TAM-ISSM-UTAUT, SEM, n=657",claude-opus-4-6,2026-02-26 14:54:19
REC_12495,exclude,0.8,E-FT4,"Apple Vision Pro AI기능 - 교육맥락 아님, 일반소비자",claude-opus-4-6,2026-02-26 14:54:19
REC_06049,include,0.93,,"교육AI도구, TPB, PLS-SEM, n=344, 사하라이남아프리카",claude-opus-4-6,2026-02-26 14:54:19
REC_12496,include,0.93,,"ChatGPT, UTAUT2, SEM, 나이지리아학생",claude-opus-4-6,2026-02-26 14:54:19
REC_06051,include,0.9,,"AI학술도구, UTAUT, 혼합연구, n=388 인도네시아",claude-opus-4-6,2026-02-26 14:54:19
REC_13681,include,0.9,,"챗봇 학습, TAM+VAM, n=432, PU/PEOU/즐거움/위험",claude-opus-4-6,2026-02-26 14:54:19
REC_06054,include,0.78,,"AI통합 고등교육, 평가형식/동기, ChatGPT사용의도, n=193",claude-opus-4-6,2026-02-26 14:54:19
REC_07671,include,0.9,,"GAI, UTAUT, 대학원 경영학생, 페루",claude-opus-4-6,2026-02-26 14:54:19
REC_14714,include,0.92,,"AI통합, TAM 확장, 예비교사, AI불안/PU/PEOU",claude-opus-4-6,2026-02-26 14:54:19
REC_14719,include,0.9,,"AI 회계수업, UTAUT 확장, 학생",claude-opus-4-6,2026-02-26 14:54:19
REC_09753,uncertain,0.55,,"간호학생 AI사용의도 - 기술통계 위주 가능성, n=1713",claude-opus-4-6,2026-02-26 14:54:19
REC_13687,include,0.9,,"교사 AIEd 수용, UTAUT2, n=425 에콰도르",claude-opus-4-6,2026-02-26 14:54:19
REC_06057,include,0.9,,"AI수용, AIDUA, SEM, n=220 에콰도르학생",claude-opus-4-6,2026-02-26 14:54:19
REC_06061,include,0.93,,"AI학술작문, TAM, PLS-SEM, n=517 카타르",claude-opus-4-6,2026-02-26 14:54:19
REC_06064,include,0.9,,"GenAI HEI, UTAUT수정, PLS-SEM, n=175, 신뢰/불안",claude-opus-4-6,2026-02-26 14:54:19
REC_06066,include,0.93,,"ChatGPT, UTAUT2, SEM-ANN, 가나경제학학생",claude-opus-4-6,2026-02-26 14:54:19
REC_06072,include,0.9,,"AI수용, SOR이론, SEM, n=598 인도",claude-opus-4-6,2026-02-26 14:54:19
REC_13694,include,0.93,,"챗봇수용, K-12교사, UTAUT2, SEM, n=406 사우디",claude-opus-4-6,2026-02-26 14:54:19
REC_09769,uncertain,0.55,,"AI 의학교육, 횡단연구 - SEM사용 불명확, 기술통계 가능",claude-opus-4-6,2026-02-26 14:54:19
REC_14746,uncertain,0.55,,ChatGPT 페루학생 - 프레임워크/방법론 불명확,claude-opus-4-6,2026-02-26 14:54:19
REC_12547,include,0.85,,"AI, 무슬림학생, 태도/주관적규범/행동의도, 말레이시아",claude-opus-4-6,2026-02-26 14:54:19
REC_13699,include,0.88,,"AI합의include확인, Modeling Teachers' Acceptance of Generative Artificial Intel",claude-opus-4-6,2026-02-26 14:56:39
REC_09774,include,0.88,,"AI합의include확인, Assessing ChatGPT adoption in Jordanian medical education: a",claude-opus-4-6,2026-02-26 14:56:39
REC_09777,uncertain,0.55,,"간호학생 GenAI인식 - 학습성과 측정, 수용/채택 불명확",claude-opus-4-6,2026-02-26 14:56:39
REC_07703,include,0.88,,"AI합의include확인, Exploring the Effect of Generative AI on Social Sustainabili",claude-opus-4-6,2026-02-26 14:56:39
REC_13706,include,0.88,,"AI합의include확인, Mindsets Matter: A Mediation Analysis of the Role of a Techn",claude-opus-4-6,2026-02-26 14:56:39
REC_07714,include,0.8,,"ChatGPT 지식관리, 만족도/지속사용의도",claude-opus-4-6,2026-02-26 14:56:39
REC_14783,include,0.88,,"AI합의include확인, AI AS A FACILITATOR OF CREATIVITY AND WELLBEING IN BUSINESS ",claude-opus-4-6,2026-02-26 14:56:39
REC_09784,uncertain,0.6,,약학학생 ChatGPT 태도/사용 - TAM/UTAUT 불명확,claude-opus-4-6,2026-02-26 14:56:39
REC_13714,include,0.88,,"AI합의include확인, Generative AI as a Cognitive Co-Pilot in English Language Le",claude-opus-4-6,2026-02-26 14:56:39
REC_12595,include,0.88,,"AI합의include확인, AI-assisted learning: an empirical study on student applicat",claude-opus-4-6,2026-02-26 14:56:39
REC_12603,include,0.88,,"AI합의include확인, The Role of ChatGPT in English Language Learning: A Hedonic ",claude-opus-4-6,2026-02-26 14:56:39
REC_13718,include,0.88,,"AI합의include확인, Habit Predicting Higher Education EFL Students' Intention an",claude-opus-4-6,2026-02-26 14:56:39
REC_09827,include,0.88,,"AI합의include확인, Generative artificial intelligence acceptance, anxiety, and ",claude-opus-4-6,2026-02-26 14:56:39
REC_09828,include,0.88,,"AI합의include확인, Insights into the relationship between anxiety and attitudes",claude-opus-4-6,2026-02-26 14:56:39
REC_12673,include,0.88,,"AI합의include확인, Students’ Perceptions of Artificial Intelligence in Academic",claude-opus-4-6,2026-02-26 14:56:39
REC_13723,include,0.88,,"AI합의include확인, Learners' Acceptance of ChatGPT in School",claude-opus-4-6,2026-02-26 14:56:39
REC_13727,include,0.88,,"AI합의include확인, Exploring Generation Z's Acceptance of Artificial Intelligen",claude-opus-4-6,2026-02-26 14:56:39
REC_13728,include,0.88,,"AI합의include확인, Predictors of Pre-Service EFL Teachers' Predisposition Towar",claude-opus-4-6,2026-02-26 14:56:39
REC_14759,uncertain,0.6,,강사vs학생 GenAI태도 비교 - 기술통계 가능성,claude-opus-4-6,2026-02-26 14:56:39
REC_12709,include,0.88,,"AI합의include확인, Unlocking AI-Powered Tools Adoption among University Student",claude-opus-4-6,2026-02-26 14:56:39
REC_13733,include,0.88,,"AI합의include확인, Determinants of Chatbot Brand Trust in the Adoption of Gener",claude-opus-4-6,2026-02-26 14:56:39
REC_13734,include,0.88,,"AI합의include확인, Factors Influencing the Reported Intention of Higher Vocatio",claude-opus-4-6,2026-02-26 14:56:39
REC_07859,include,0.82,,"교수 ITS 사용의지, AI시대 교육",claude-opus-4-6,2026-02-26 14:56:39
REC_12724,include,0.88,,"AI합의include확인, Integrating AI in Sustainable Writing: An Empirical Investig",claude-opus-4-6,2026-02-26 14:56:39
REC_07860,uncertain,0.55,,"휴머노이드로봇 Pepper, UTAUT - 로봇=AI 여부 불명확",claude-opus-4-6,2026-02-26 14:56:39
REC_10006,include,0.78,,"대학생 ChatGPT 태도분석, 사용의도",claude-opus-4-6,2026-02-26 14:56:39
REC_14878,include,0.88,,"AI합의include확인, Antecedents of adoption and usage of ChatGPT among Jordanian",claude-opus-4-6,2026-02-26 14:56:39
REC_07863,exclude,0.78,E-FT3,"예비교사 휴머노이드 소셜로봇 - 로봇 기술, AI 아님",claude-opus-4-6,2026-02-26 14:56:39
REC_14879,include,0.88,,"AI합의include확인, Artificial intelligence in Jordanian education: Assessing ac",claude-opus-4-6,2026-02-26 14:56:39
REC_13749,include,0.88,,"AI합의include확인, Examining Students' Acceptance and Use of ChatGPT in Saudi A",claude-opus-4-6,2026-02-26 14:56:39
REC_06527,include,0.88,,"AI합의include확인, Perception of AI tool adoption and training: initial validat",claude-opus-4-6,2026-02-26 14:56:39
REC_10018,include,0.88,,"AI합의include확인, What is the influence of psychosocial factors on artificial ",claude-opus-4-6,2026-02-26 14:56:39
REC_10029,include,0.88,,"AI합의include확인, Exploring the factors influencing the adoption of artificial",claude-opus-4-6,2026-02-26 14:56:39
REC_14882,uncertain,0.55,,"ChatGPT 수용, 교육플랫폼 - 경험적 연구 여부 불명확",claude-opus-4-6,2026-02-26 14:56:39
REC_06532,include,0.88,,"AI합의include확인, Discovering students' continuous intentions to use ChatGPT i",claude-opus-4-6,2026-02-26 14:56:39
REC_07876,include,0.88,,"AI합의include확인, Investigation of the moderation effect of gender and study l",claude-opus-4-6,2026-02-26 14:56:39
REC_13753,include,0.88,,"AI합의include확인, Responses to the AI Revolution in Hospitality and Tourism Hi",claude-opus-4-6,2026-02-26 14:56:39
REC_04700,exclude,0.75,E-FT2,AI 정신건강도구+심리적웰빙 - 수용/채택 아닌 결과 측정,claude-opus-4-6,2026-02-26 14:56:39
REC_14884,include,0.88,,"AI합의include확인, Factors affecting ChatGPT use in education employing TAM: A ",claude-opus-4-6,2026-02-26 14:56:39
REC_09832,include,0.88,,"AI합의include확인, Applying the technology acceptance model to examine factors ",claude-opus-4-6,2026-02-26 14:56:39
REC_05489,include,0.88,,"AI합의include확인, A study on behavioral intentions of artificial intelligence ",claude-opus-4-6,2026-02-26 14:56:39
REC_06878,uncertain,0.55,,자기일치성으로 ChatGPT 사용억제 - 비표준 수용 측정,claude-opus-4-6,2026-02-26 14:56:39
REC_05491,include,0.88,,"AI합의include확인, Predictors of higher education students' behavioural intenti",claude-opus-4-6,2026-02-26 14:56:39
REC_05492,include,0.9,,"TAM확장+교수효능감, 교사 AI교수분석시스템 의지",claude-opus-4-6,2026-02-26 14:56:39
REC_06907,include,0.88,,"AI합의include확인, The relationship between artificial intelligence usage and a",claude-opus-4-6,2026-02-26 14:56:39
REC_08184,uncertain,0.6,,기계번역 EFL학생 인식/실천 - MT=AI 여부 모호,claude-opus-4-6,2026-02-26 14:56:39
REC_05493,include,0.88,,"AI합의include확인, Exploring the attitude and use of GenAI-image among art and ",claude-opus-4-6,2026-02-26 14:56:39
REC_05494,include,0.88,,"AI합의include확인, Multidimensional analysis of art education teachers' attitud",claude-opus-4-6,2026-02-26 14:56:39
REC_11946,include,0.85,,"AI챗봇, 물리치료학생, 수용",claude-opus-4-6,2026-02-26 14:56:39
REC_14042,include,0.88,,"AI합의include확인, AI-Based Chatbots Adoption Model for Higher-Education Instit",claude-opus-4-6,2026-02-26 14:56:39
REC_06930,exclude,0.75,E-FT3,"AI기반 VR/AR/메타버스 - VR/AR 초점, AI 아님",claude-opus-4-6,2026-02-26 14:56:39
REC_08196,include,0.88,,"AI합의include확인, Factors Influencing University Students' Behavioural Intenti",claude-opus-4-6,2026-02-26 14:56:39
REC_04748,include,0.88,,"AI합의include확인, Factors influencing the acceptance and use of ChatGPT among ",claude-opus-4-6,2026-02-26 14:56:39
REC_05497,include,0.88,,"AI합의include확인, Examining the influence of individual-level cultural values ",claude-opus-4-6,2026-02-26 14:56:39
REC_12745,include,0.88,,"AI합의include확인, Investigation of Theology Undergraduate Students' Behavioral",claude-opus-4-6,2026-02-26 14:56:39
REC_04751,include,0.88,,"AI합의include확인, Artificial intelligence, social influence, and AI anxiety: a",claude-opus-4-6,2026-02-26 14:56:39
REC_08198,include,0.88,,"AI합의include확인, College Students' Behavioural Intentions of AI-Assisted Lang",claude-opus-4-6,2026-02-26 14:56:39
REC_14052,include,0.88,,"AI합의include확인, Determinants of Intentions to Use Digital Mental Healthcare ",claude-opus-4-6,2026-02-26 14:56:39
REC_04752,include,0.88,,"AI합의include확인, Bridging AI literacy and UTAUT constructs: structural equati",claude-opus-4-6,2026-02-26 14:56:39
REC_06994,include,0.88,,"AI합의include확인, Students' adoption of AI-based teacher-bots (T-bots) for lea",claude-opus-4-6,2026-02-26 14:56:39
REC_05498,include,0.88,,"AI합의include확인, Towards a model for primary students’ behavioral intention t",claude-opus-4-6,2026-02-26 14:56:39
REC_04767,include,0.88,,"AI합의include확인, Impact of AI chatbots on EFL learners' technology adoption",claude-opus-4-6,2026-02-26 14:56:39
REC_07025,include,0.88,,"AI합의include확인, AI-powered learning application use and gratification: an in",claude-opus-4-6,2026-02-26 14:56:39
REC_05503,include,0.88,,"AI합의include확인, Proposing a conceptual model for the adoption of artificial ",claude-opus-4-6,2026-02-26 14:56:39
REC_12010,include,0.88,,"AI합의include확인, Behavioral Intention to Use Artificial Intelligence (AI) Amo",claude-opus-4-6,2026-02-26 14:56:39
REC_05504,uncertain,0.6,,"ChatGPT 중독, 개방성/자기효능감 - 중독≠수용",claude-opus-4-6,2026-02-26 14:56:39
REC_07044,include,0.88,,"AI합의include확인, Do learners exhibit a willingness to use ChatGPT? An advance",claude-opus-4-6,2026-02-26 14:56:39
REC_07048,uncertain,0.6,,AI 디지털회계교육 지속가능성 - 수용 프레임워크 불명확,claude-opus-4-6,2026-02-26 14:56:39
REC_14099,include,0.88,,"AI합의include확인, Can Multimodal Large Language Models Enhance Performance Ben",claude-opus-4-6,2026-02-26 14:56:39
REC_12065,include,0.88,,"AI합의include확인, Exploring factors influencing Contrimetric adoption and word",claude-opus-4-6,2026-02-26 14:56:39
REC_07052,include,0.88,,"AI합의include확인, How effort expectancy and performance expectancy interact to",claude-opus-4-6,2026-02-26 14:56:39
REC_08613,include,0.88,,"AI합의include확인, AI Adoption and Educational Effectiveness in Emerging Higher",claude-opus-4-6,2026-02-26 14:56:39
REC_02756,include,0.88,,"AI합의include확인, Patients' Acceptance and Intentions on Using Artificial Inte",claude-opus-4-6,2026-02-26 14:56:39
REC_02767,include,0.88,,"AI합의include확인, Empowering ChatGPT adoption in higher education: A comprehen",claude-opus-4-6,2026-02-26 14:56:39
REC_13252,include,0.88,,"AI합의include확인, Factors influencing acceptance and trust of chatbots in juve",claude-opus-4-6,2026-02-26 14:56:39
REC_14116,include,0.88,,"ChatGPT 수용, PLS-SEM, n=792, 라틴아메리카",claude-opus-4-6,2026-02-26 14:56:39
REC_07099,include,0.88,,"AI합의include확인, Understanding AI acceptance among Indonesian pre-service tea",claude-opus-4-6,2026-02-26 14:56:39
REC_05104,include,0.88,,"AI합의include확인, Acceptance of Artificial Intelligence Application in the Pos",claude-opus-4-6,2026-02-26 14:56:39
REC_13284,include,0.88,,"AI합의include확인, Mediating effects of artificial intelligence on the relation",claude-opus-4-6,2026-02-26 14:56:39
REC_12139,include,0.88,,"AI합의include확인, PATTERNS OF UTILIZING AI-ASSISTED TOOLS AMONG EFL STUDENTS: ",claude-opus-4-6,2026-02-26 14:56:39
REC_14137,include,0.88,,"AI코딩도구, 확장TAM, 대학생 사용의지",claude-opus-4-6,2026-02-26 14:56:39
REC_08731,include,0.88,,"AI합의include확인, Correlates of ChatGPT use intention among freshmen health sc",claude-opus-4-6,2026-02-26 14:56:39
REC_13316,include,0.88,,"AI합의include확인, Research on the influencing factors of generative artificial",claude-opus-4-6,2026-02-26 14:56:39
REC_13552,uncertain,0.6,,"AI SDL 지속의도, SDT - TAM/UTAUT 아닌 SDT",claude-opus-4-6,2026-02-26 14:56:39
REC_15051,include,0.88,,"AI합의include확인, Every Coin has Two Sides: Navigating Factors of Generative P",claude-opus-4-6,2026-02-26 14:56:39
REC_13556,include,0.88,,"AI합의include확인, Prediction of the Use of Generative Artificial Intelligence ",claude-opus-4-6,2026-02-26 14:56:39
REC_00781,uncertain,0.55,,"오픈소스 피드백시스템, STEM교육 - 시스템설계, 수용 아님",claude-opus-4-6,2026-02-26 14:56:39
REC_00780,include,0.88,,"AI합의include확인, The moderating role of technology proficiency and academic d",claude-opus-4-6,2026-02-26 14:56:39
REC_13564,include,0.88,,"AI합의include확인, Academic Level as a Moderator in University Students' Accept",claude-opus-4-6,2026-02-26 14:56:39
REC_14427,exclude,0.78,E-FT2,AI가 취업불안에 미치는 영향 - 수용/채택 미측정,claude-opus-4-6,2026-02-26 14:56:39
REC_15093,include,0.88,,"AI합의include확인, Incident factors in the use of ChatGPT and dishonest practic",claude-opus-4-6,2026-02-26 14:56:39
REC_00784,include,0.88,,"AI합의include확인, Unveiling the drivers of ChatGPT utilization in higher educa",claude-opus-4-6,2026-02-26 14:56:39
REC_10577,include,0.88,,"AI합의include확인, An empirical investigation of college students' acceptance o",claude-opus-4-6,2026-02-26 14:56:39
REC_15116,include,0.85,,"AI E-learning 수용의도, 매개/조절효과",claude-opus-4-6,2026-02-26 14:56:39
REC_14478,include,0.88,,"AI합의include확인, Factors Affecting the Adoption and Use of ChatGPT in Higher ",claude-opus-4-6,2026-02-26 14:56:39
REC_00793,include,0.88,,"AI합의include확인, Just learn it? How individual differences and HMSAM impact l",claude-opus-4-6,2026-02-26 14:56:39
REC_15136,include,0.88,,"AI합의include확인, From optimism to trust: how ChatGPT is reshaping student con",claude-opus-4-6,2026-02-26 14:56:39
REC_15137,include,0.88,,"AI합의include확인, The effects of awareness and trust on students' willingness ",claude-opus-4-6,2026-02-26 14:56:39
REC_14511,include,0.88,,"AI합의include확인, Measuring Graduate Students' Use of ChatGPT in Academic Writ",claude-opus-4-6,2026-02-26 14:56:39
REC_00804,include,0.88,,"AI합의include확인, Predicting Kazakhstani TEFL students' continuance intention ",claude-opus-4-6,2026-02-26 14:56:39
REC_00807,include,0.88,,"AI합의include확인, Exploring the adoption of AI-enabled English learning applic",claude-opus-4-6,2026-02-26 14:56:39
REC_13616,exclude,0.82,E-FT3,"교사 교육로봇 준비도 - 로보틱스, AI 아님",claude-opus-4-6,2026-02-26 14:56:39
REC_13620,include,0.88,,"AI합의include확인, The Effects of Interaction Scenarios on EFL Learners' Techno",claude-opus-4-6,2026-02-26 14:56:39
REC_10706,include,0.88,,"AI합의include확인, Exploring the link between AI usage intention and digital co",claude-opus-4-6,2026-02-26 14:56:39
REC_15245,include,0.88,,"AI합의include확인, Academic self-efficacy and diversity during the Artificial I",claude-opus-4-6,2026-02-26 14:56:39
REC_00825,include,0.88,,"AI합의include확인, Modeling Chinese EFL learners' intention to use generative A",claude-opus-4-6,2026-02-26 14:56:39
REC_13643,include,0.88,,"AI합의include확인, Examining the Influence of AI on Python Programming Educatio",claude-opus-4-6,2026-02-26 14:56:39
REC_02343,include,0.88,,"AI합의include확인, Chat-GPT; validating Technology Acceptance Model (TAM) in ed",claude-opus-4-6,2026-02-26 14:56:39
REC_00933,include,0.88,,"AI합의include확인, Instrumental and integrative motivations predict intention t",claude-opus-4-6,2026-02-26 14:56:39
REC_12355,include,0.88,,"AI합의include확인, UNRAVELING KNOWLEDGE-BASED CHATBOT ADOPTION INTENTION IN ENH",claude-opus-4-6,2026-02-26 14:56:39
REC_15667,include,0.88,,"AI합의include확인, Mapping Edifying Territories: A Cross-Sectional Study on the",claude-opus-4-6,2026-02-26 14:56:39
REC_00935,include,0.88,,"AI합의include확인, Understanding learner motivation and intention to use ChatGP",claude-opus-4-6,2026-02-26 14:56:39
REC_03500,include,0.88,,"AI합의include확인, Understanding the factors influencing college students' acce",claude-opus-4-6,2026-02-26 14:56:39
REC_07561,exclude,0.8,E-FT3,"메타버스 의학교육, SEM-ML - 메타버스 초점",claude-opus-4-6,2026-02-26 14:56:39
REC_02358,include,0.88,,"AI합의include확인, ChatGPT in higher education - A Student's perspective",claude-opus-4-6,2026-02-26 14:56:39
REC_03508,uncertain,0.55,,"EFL학생 AI맥락 동기/자기효능감/회복탄력성 - SDT, 동기≠수용",claude-opus-4-6,2026-02-26 14:56:39
REC_11167,include,0.88,,"AI합의include확인, Higher Education Transformation through AI-Based Learning In",claude-opus-4-6,2026-02-26 14:56:39
REC_12364,include,0.88,,"AI합의include확인, USING MACHINE LEARNING ALGORITHMS TO CLUSTER AND ANALYSE STU",claude-opus-4-6,2026-02-26 14:56:39
REC_02359,exclude,0.75,E-FT2,GAI가 학습몰입/창의성에 미치는 영향 - 수용 아닌 결과,claude-opus-4-6,2026-02-26 14:56:39
REC_12366,include,0.88,,"AI합의include확인, A MODEL FOR THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN INCLU",claude-opus-4-6,2026-02-26 14:56:39
REC_02366,include,0.88,,"AI합의include확인, The influence of social norms and word-of-mouth marketing on",claude-opus-4-6,2026-02-26 14:56:39
REC_12376,include,0.88,,"AI합의include확인, Exploring Factors Influencing Gen Z's Acceptance and Adoptio",claude-opus-4-6,2026-02-26 14:56:39
REC_01111,include,0.88,,"AI합의include확인, Students’ acceptance and use of generative AI in pharmacy ed",claude-opus-4-6,2026-02-26 14:56:39
