study_id,missing_pair,construct_1,construct_2,ai_trace_status,candidate_status,candidate_value,confidence_tier,provisional_decision,human_coding_reason,why_not_in_human_matrix_language,source_trace_terms_c1,source_trace_terms_c2,source_trace_table_terms,paper_b_boundary
S057,PE-TRU,PE,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,PE;PU;perceived usefulness;performance expectancy;useful;usefulness,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,PE-UB,PE,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,PE;PU;perceived usefulness;performance expectancy;useful;usefulness,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,SE-TRU,SE,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,SE;efficacy;self-efficacy,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,SE-UB,SE,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,SE;efficacy;self-efficacy,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,SI-TRU,SI,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,SI;social influence;subjective norm,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,SI-UB,SI,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,SI;social influence;subjective norm,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,TRU-UB,TRU,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,trust,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-ATT,ANX,ATT,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,ATT;attitude;attitude toward;attitudes,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-BI,ANX,BI,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,BI;behavioral intention;intention to use,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-EE,ANX,EE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,EE;PEOU;ease of use;easy to use;perceived ease of use,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-FC,ANX,FC,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-PE,ANX,PE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,PE;PU;perceived usefulness;useful;usefulness,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-SE,ANX,SE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,SE;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-SI,ANX,SI,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,SI;social influence,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-TRU,ANX,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,TRU;trust;trustworthiness,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ANX-UB,ANX,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_CONSTRUCT_MISMATCH,do_not_add_now_unless_anxiety_construct_confirmed,AI term hit는 risk/fear 계열 단어에서 발생했을 가능성이 높다. Paper A의 ANX로 코딩하려면 source가 anxiety 또는 동등한 anxiety construct를 명시하고 상관값을 제공해야 한다.,human coder가 누락했다기보다 target construct 부재 또는 construct remap 미확정일 가능성이 높다.,anxiety;fear,UB;actual use;usage behavior;use,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,ATT-FC,ATT,FC,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,ATT;attitude;attitude toward;attitudes,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,BI-FC,BI,FC,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,BI;behavioral intention;intention to use,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,EE-FC,EE,FC,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,EE;PEOU;ease of use;easy to use;perceived ease of use,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,FC-PE,FC,PE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,FC;resources;support,PE;PU;perceived usefulness;useful;usefulness,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,FC-SE,FC,SE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,FC;resources;support,SE;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,FC-SI,FC,SI,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,FC;resources;support,SI;social influence,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,FC-TRU,FC,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,FC;resources;support,TRU;trust;trustworthiness,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S138,FC-UB,FC,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_TO_MEDIUM_REMAP_REVIEW,do_not_add_now_unless_facilitating_conditions_confirmed,AI term hit는 resources/support 계열 단어에서 발생했을 가능성이 있다. FC로 추가하려면 source가 facilitating conditions 또는 명백한 동등 construct를 쓰고 동일 source matrix에 numeric cell이 있어야 한다.,현재로서는 human omission보다 construct mapping 미확정 후보로 처리한다.,FC;resources;support,UB;actual use;usage behavior;use,correlation;correlations;fornell;larcker;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-ATT,ANX,ATT,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,ATT;attitudes,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-BI,ANX,BI,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,BI;behavioral intention;behavioural intention;intention to use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-EE,ANX,EE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,EE;ease of use;easy to use;effort expectancy;perceived ease of use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-FC,ANX,FC,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,FC;facilitating;facilitating condition;facilitating conditions;resources;support,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-PE,ANX,PE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,PE;perceived usefulness;performance expectancy;useful;usefulness,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-SE,ANX,SE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,SE;efficacy,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-SI,ANX,SI,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,SI;social influence,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-TRU,ANX,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,TRU;trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ANX-UB,ANX,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 ANX가 보이지 않는다.",ANX target construct가 source matrix에 없어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,anxiety,UB;usage behavior;use;use behavior,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S176,ATT-SE,ATT,SE,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,LOW_PROBABLE_NOT_TARGET_CONSTRUCT,do_not_add_probable_construct_absent_or_mismatch,"PDF text에서 확인된 Table 4 construct set은 HM, UB, BI, EE, FC, HA, PE, PI, SI, TR이며 SE가 보이지 않는다. PI/HA/TR 등은 Paper A의 SE로 자동 remap하면 안 된다.",SE target construct가 source matrix에 없거나 명시적 동등 construct가 아니어서 human coder가 넣지 않은 것으로 보는 것이 현재 가장 타당하다.,ATT;attitudes,SE;efficacy,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
