relpath,status,classification,academic_size,onedrive_size,academic_sha256,onedrive_sha256,recommendation
.DS_Store,same_relative_path_different_content,runtime_or_session_state,12292,8196,7bbc226046239bb670b398ea9a68c81c9e3f32499a765e770fa98933f1507b7d,0f48f135a1f877595081b8ddeeebdc69b8276655bf3cc5851563583ceb0574f7,preserve old OneDrive version in archive snapshot; canonical Academic version wins for mirror unless researcher reopens
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/mailbox.jsonl,academic_only,runtime_or_session_state,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/result.exit.json,academic_only,runtime_or_session_state,52,,29ec6dc4357a06af5e63a5c213012bc13b107747480b22e2fd8a61fda2c63de1,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/result.json,academic_only,runtime_or_session_state,5371,,6b274bd51d60e428d636cf59d38ab1e4eecc318dcf0a7592fedf0c5ba72b14f2,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/result.json.commit,academic_only,runtime_or_session_state,41,,22de476227ef265952f594977f33edbb5e282c68b2cc7fa82ac5d37671dcf41a,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/state.json,academic_only,runtime_or_session_state,735,,52ee787820c209ab4303dcd3f0ef6fa95f9657e7faeb960db7504d9a43036b72,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/task.md,academic_only,runtime_or_session_state,2811,,19730431aa8b8918661c0287bbd811afdf7e062178f0d94e3f1c2694c41e76ef,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/worker-1-reviewer.json,academic_only,runtime_or_session_state,104,,72d443c1f1d07aa4358a2a087a11dbed5e74770dff6b79941e18b131646d94ae,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/worker.log,academic_only,runtime_or_session_state,44,,c747c4e472d705a6a073e0f310ecaedc6d9d029316391d7ef78c8109a07100d5,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable/current-session.json,academic_only,runtime_or_session_state,2104,,2ae47995662f8e61e6486ba57d0d46f6d2678c2d5a0fa35b9efce2b0693ed758,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable/project.json,academic_only,runtime_or_session_state,598,,637c6ae23109738bdca6f5e4fc126ecff1f34e69103f307a726f08c4fbe94f56,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable/sessions/ai-adoption-meta-analysis-methodology-strategy-1779672509276.json,academic_only,runtime_or_session_state,2031,,2c856ee74ee390e2d017af64d2d38221b44c9e4ff166006ddc6b0c9021ecab91,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable/state.json,academic_only,runtime_or_session_state,49883,,b0f326c3dfa75630aa0b02c6e559d73daee966df08292d4c08037deb63760e80,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/logs/omx-2026-06-05.jsonl,academic_only,runtime_or_session_state,221,,5a8355f06b1836fa854b748880f54ad4199fb2dc296a4ce0f2361270a49d0a99,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/logs/turns-2026-02-18.jsonl,academic_only,runtime_or_session_state,601227,,861969befb51643790752f36b731f967f689e04ff5ec8377fd638f958198b3a1,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/metrics.json,academic_only,runtime_or_session_state,185,,bff8af464ebb43063d193579ca0adffce210b2c8cff489bc22415526f2a87aab,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/hud-state.json,academic_only,runtime_or_session_state,210,,b0340a170837cd047f8ef02a457adcd0e019645e563fe165359329543b50d8cd,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/native-stop-state.json,academic_only,runtime_or_session_state,5640,,b904ed85486f524a9113eb6d3de6a7a83aedd3b6bc3c2f94249f73a665ce1f63,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/notify-hook-state.json,academic_only,runtime_or_session_state,130921,,0357870146e62e6fe5be23f8ae8201272b397819ee129b409fe1fb3018bacedf,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/session.json,academic_only,runtime_or_session_state,378,,d3374436ad70cb938c9ee605bb8461b14a11a69637702f69d36d881e6bf1bbbc,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/sessions/019e9671-636c-7a03-8a67-b1be933d2f63/prompt-routing-state.json,academic_only,runtime_or_session_state,369,,bcce1547616797ba6bfc39986eea8ee73402b6c15b9dbd01e4f2ef8b72a67155,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/team-leader-nudge.json,academic_only,runtime_or_session_state,31,,f0da6449557d36cfd2a18e30c75719a551f57053b505a5b99792e4de85ee335c,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.omx/state/tmux-hook-state.json,academic_only,runtime_or_session_state,195,,165afe9299ddc426d31b5733a210fba160d61dbc0077d706d780ce6e3f1e850d,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/AGENTS.md,academic_only,runtime_or_session_state,5573,,42d30e6363f8d82497b7c77794ce733433bf02fa8cfd3bdf9e083a2b535e745d,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/CHANGELOG.md,academic_only,runtime_or_session_state,17061,,aebf8a673bb3f178c62cbdab953878bef7107f7e7b9517e632948364ff13a86a,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/CURRENT.md,academic_only,runtime_or_session_state,2486,,dfaef247f5f7017a3082f1993b413e936b8de877377572fa462a3b26b87bacae,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/LICENSE,academic_only,runtime_or_session_state,792,,d437759057e7e45a6771944c2622427000c75d23f53e01de0013d7b618e1c8ad,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/README.md,academic_only,runtime_or_session_state,6761,,7c632dfa61227686861ea0b9dec9fd2af93a3281afe33360115d7c4a6ec1ec2e,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/Python/data_cleaning.py,academic_only,runtime_or_session_state,9564,,397cc8d895015b1fb8e67ebdac200c38e70b36e90fcff98f50e4e0ab6291f0c0,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/Python/matrix_validation.py,academic_only,runtime_or_session_state,5955,,02b8aa3cb56969f6d92f458fc35bfefbe5b0325b43b80ab80ebb0d02e7efe87b,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/Python/report_generator.py,academic_only,runtime_or_session_state,10181,,ce08334b6702abc8f1b90e25d9e75e45684f58e6d0dab7161f53ac2712ca0806,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/00_setup.R,academic_only,runtime_or_session_state,7027,,f8898c5f8d64c1bc0a76bb063e8bbb823452946e0dc265c9c164a709230bddfd,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/01_data_preparation.R,academic_only,runtime_or_session_state,8659,,95d9452d5cbabc1127bad62dc6e7246e6c7457b25c69fbedb4a3d6b37281dc2b,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/02_stage1_pooling.R,academic_only,runtime_or_session_state,5058,,d57c3ee8cf33c458602008f3739eb1154fd7b04c39bcd867e9913cfc55f94ab4,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/03_stage2_sem.R,academic_only,runtime_or_session_state,7292,,6b6ee06f26bd3ffc5554d2d23acb502cd1a91da92663120f4aa1db184617339b,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/04_competing_models.R,academic_only,runtime_or_session_state,10209,,6a6ebb11f14783b77e629a965d740b649124bb9e71e83e2aacf257ac0a2e3592,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/05_osmasem_moderators.R,academic_only,runtime_or_session_state,23603,,2476d88e4819e4206ffa0e9889ac802b83793c70560c377a573feb2b70460d87,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/06_temporal_analysis.R,academic_only,runtime_or_session_state,22747,,297f2921a740c149b133d04d3aab8d4aea2d47f5f3a45ae66cdf7188c331a401,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/07_mediation.R,academic_only,runtime_or_session_state,18301,,da4813dee0cf2b64bb696ecf62e8b8dd45a227d71338e8bbc8d0bb8e7ece8be8,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/08_heterogeneity.R,academic_only,runtime_or_session_state,16215,,eb4da79d973065ca754909bd678ee1951e77fafdf75f1c6ccc1497aeec747658,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/09_publication_bias.R,academic_only,runtime_or_session_state,16660,,b90459c796c4473056c99a080f4520bc8d9af945ed3c68cbdda75caac578ce60,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/10_sensitivity.R,academic_only,runtime_or_session_state,18788,,f4c4a362f1c5a7ebf0c453e7a8ce4da0942ba5a283019d58b69b0876a89535d2,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/11_bayesian_masem.R,academic_only,runtime_or_session_state,28993,,764b9d3e7c29db3b24668f184bbb66fa6ca5f774f68f22f183b2e932c776708c,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/12_network_analysis.R,academic_only,runtime_or_session_state,25232,,ae9327b5a58ae2e6ecfd08d685c14e17c688c3f056e9bbba340b0ba938bf8e54,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/R/13_visualization.R,academic_only,runtime_or_session_state,30016,,963e84ed255fdcdc61339fd404f58dc82872002d10e11e04e48de18660454235,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/analysis/output/.gitkeep,academic_only,runtime_or_session_state,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/bayesian/mcmc_settings.yaml,academic_only,runtime_or_session_state,13992,,70b0de8317f281c9513930b7f8c7842ba748b28f429dc58c44cb8a2ed81e6fb6,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/bayesian/sabherwal_priors.yaml,academic_only,runtime_or_session_state,22441,,ecf0ebfce1b8c1b610b828e3a1e0482745073f005bbb3c86c6582a3f4e428293,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/model_specifications/model1_tam_utaut.yaml,academic_only,runtime_or_session_state,8884,,1941125f709557a6ca033ee26d607bb19fa5d6edaa610c2ddd53a65329cb62a4,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/model_specifications/model2_integrated.yaml,academic_only,runtime_or_session_state,14504,,74d82648a5dedb09667d7d1e2d990332584648f3b2e2175cb1007c4ed656e62e,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/model_specifications/model3_ai_only.yaml,academic_only,runtime_or_session_state,13863,,c6641d0a342dd9d8aba2679304077158b75516b15a7e03e850ea8aeb4cdcd78d,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/model_specifications/model4_trust_dual_mechanism.yaml,academic_only,runtime_or_session_state,8839,,dad225fe782a45719b80afa52e1a0a964c71894c4942f5a0d4293f623847fe11,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/network/network_params.yaml,academic_only,runtime_or_session_state,17869,,c66c85bee23f6b2360035de82522286da30db05c2a88948ccaf9daf8d47f5208,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/configs/pipeline_config.yaml,academic_only,runtime_or_session_state,5978,,87be754a5e902530efb6b699edde542f52babfd6f89a0c4d79c86504d09da3c2,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/dedup_report.txt,academic_only,runtime_or_session_state,1568,,b2880111a47a554c6573c3c24e6f1ef3c366493e672aa0ed3fd3af6765b673a6,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/deduplicated_16189.csv,academic_only,runtime_or_session_state,34813966,,2d1f828a56451e7505ec8f4d1ddc3a59dc79da4022b53c216ab117e7f94084f0,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/merged_all_databases.csv,academic_only,runtime_or_session_state,48056426,,4ae5ef574de248fbd26662b4ca78f1ef729b9e61d19bb4244540b68340f53718,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/pilot_100_sample.csv,academic_only,runtime_or_session_state,218233,,fa387ff341104aa3124f19c254491b94649b0cc8d0735f744939262d6683b110,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/screening_master_16189.csv,academic_only,runtime_or_session_state,34973436,,2e9956b7a7e28c75ff772864db21fff25f225968f14b3a7b5cff1b96b44b9020,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/ieee/IEEE_161_20260217.csv,academic_only,runtime_or_session_state,453688,,0baae6513ad7de1cf394e6ad9779cff7bab8524cdbde56a01ac40d39fbba485c,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/psycinfo/PsycINFO_7745_20260217.csv,academic_only,runtime_or_session_state,17779797,,8b6058b81c1d4073f1baff692c8c7cde66ae5a1fecc4f7e303b926cd59e4790b,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/scopus/Scopus_7363_20250217.csv,academic_only,runtime_or_session_state,28480486,,603b6489ce7ebda507fcc0799ead4fc1985f22ac27df2820916bd6f03a710df8,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_1-1000_20250217.xls,academic_only,runtime_or_session_state,4304384,,3d6035fcaba99ca6054c4d745391a976f2e8d277d4b97b4443738a24f36fca3f,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_1001-2000_20250217.xls,academic_only,runtime_or_session_state,4429312,,26569e849dcdb83a4262f327875bbf63b030742557f6e5e94834f4203f53b58c,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_2001-3000_20250217.xls,academic_only,runtime_or_session_state,4454912,,736a65938ad7915e29235513f8824d20ee1e838087015f939fd67136d4077b38,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_3001-4000_20250217.xls,academic_only,runtime_or_session_state,4484608,,1debfb6d6a632e6ec136cbd2c18c7a5b4dc8e24137593b50ecb677b8f5e3ca5b,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_4001-5000_20250217.xls,academic_only,runtime_or_session_state,4616704,,c11a46f40af966970aa986a22653a83e377000f1a2783f212185b279925d75d7,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_5001-6000_20250217.xls,academic_only,runtime_or_session_state,4758016,,f3c142d76308361b1e2cc3da9739ba8ec6d35c03d13b2d0b0f746d5ed2c6ab3f,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/01_identification/search_results/wos/WoS_6001-6897_20250217.xls,academic_only,runtime_or_session_state,4853248,,d48c458788f134b70720cbdba49a418e3a31447df8bc886f933920747d3c9ec3,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/confirmed_includes.csv,academic_only,runtime_or_session_state,44484,,86f64435767a4520407c03f906046fb3e2dc2be05394f55bfd8c582092c6ec99,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/human_review_sheet_v8_0306.xlsx,academic_only,runtime_or_session_state,131706,,4d6a729797f03727a93465ce74400681a7ae89a779fa92bc4f1390ff5d665fac,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/human_screening_results_consolidated.csv,academic_only,runtime_or_session_state,131328,,2a1004f7569fe569068ebbba2d480122bd0aa8b2c0eb97563a5b455ac8ba1451,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdf_download_log.json,academic_only,runtime_or_session_state,46336,,6096e0bc3986f85f34732a08f907ae40ddf83f37fac4403104fa22031ac52d03,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdf_download_tracker.xlsx,academic_only,runtime_or_session_state,36504,,e4795b21e33f9be07dd7761d27fcca117328c00ca806a67739448ce5397866c1,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S008.pdf,academic_only,runtime_or_session_state,978484,,b18a9b97b1562972e40ab905d3ac7674618cc1e5ec384ba32e3a633f046d9874,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S010.pdf,academic_only,runtime_or_session_state,1232185,,6a47d2ad8b0e1599b6999f4892892dbdf8db913f6a1c14143c4527da51f6d9e4,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S017.pdf,academic_only,runtime_or_session_state,1141323,,96fcbe439f2b3143dbebbf489f66043d14e1e14d0cba795e7bf8a17101f2cef8,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S018.pdf,academic_only,runtime_or_session_state,1047536,,93db970e0b5672175e586d6d720947789185bca4b35e54bb57cd4c7248d9179f,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S020.pdf,academic_only,runtime_or_session_state,1045350,,32be4459c9d6678eddfa096c0ccd5bca5e0ddbcf223b1672be6fcf6db8ec3e40,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/data/02_screening/pdfs/S022.pdf,academic_only,runtime_or_session_state,1919441,,7e63ae07324b53922480ad2d432c4658f73ee0d1d8b8de9597a38b136aa36072,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
