item,from,to,kind
scholar-graphrag,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/scholar-graphrag,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/scholar-graphrag,directory
ScholaRAG,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/ScholaRAG,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/ScholaRAG,directory
ScholaRAG-helper,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/ScholaRAG-helper,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/ScholaRAG-helper,directory
ScholarGraph3D,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/ScholarGraph3D,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/ScholarGraph3D,directory
scopi-cardnews,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/scopi-cardnews,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/scopi-cardnews,directory
scopi-workspace,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/scopi-workspace,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/scopi-workspace,directory
SLR-Automation-with-GPT-4,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/SLR-Automation-with-GPT-4,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/SLR-Automation-with-GPT-4,directory
StackOverFlow_HRD_2024_Research,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/StackOverFlow_HRD_2024_Research,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/StackOverFlow_HRD_2024_Research,directory
TaeJeon-Platform-Core,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/TaeJeon-Platform-Core,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/TaeJeon-Platform-Core,directory
Trust-Calibration-Scaffolds-research,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Trust-Calibration-Scaffolds-research,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Trust-Calibration-Scaffolds-research,directory
UAS_AI_Polarization_Research,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/UAS_AI_Polarization_Research,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/UAS_AI_Polarization_Research,directory
wfed119,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/wfed119,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/wfed119,directory
.DS_Store,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/.DS_Store,deleted_runtime_file,runtime_file
