comparison_scope,analysis_role,model_id,denominator_family,task_stratum,row_n,scored_n,correct_n,accuracy,abstention_n,abstention_rate,not_scored_n,metadata_strict_denom,metadata_strict_correct_n,metadata_strict_accuracy,metadata_relaxed_correct_n,metadata_relaxed_accuracy,numeric_denom,numeric_exact_or_rounding_n,numeric_within_0_005_n,numeric_within_0_020_n,numeric_within_0_050_n,numeric_over_0_050_n,numeric_sign_reversal_n,mean_abs_error,median_abs_error
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,converted_or_model_derived_effect_size,converted_or_model_derived_beta,30,30,0,0.000000,30,1.000000,0,0,0,,0,,30,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,converted_or_model_derived_effect_size,converted_or_model_derived_beta_path_converted_by_human_consensus,53,53,0,0.000000,53,1.000000,0,0,0,,0,,53,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,converted_or_model_derived_effect_size,converted_or_model_derived_numeric_source_statistic_converted_by_human_consensus,5,5,0,0.000000,5,1.000000,0,0,0,,0,,5,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,direct_r_effect_size_extraction,source_blank_direct_r,43,43,0,0.000000,43,1.000000,0,0,0,,0,,43,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,direct_r_effect_size_extraction,source_reported_direct_r,323,323,3,0.009288,320,0.990712,0,0,0,,0,,323,3,3,3,3,0,0,0.000000,0.000000
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,eligibility_or_exclusion_decision,eligibility_or_exclusion_decision,5,5,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,human_disagreement_trace,human_disagreement_trace,467,467,0,0.000000,20,0.042827,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_ai_tool_name,56,54,2,0.037037,46,0.851852,2,54,2,0.037037,3,0.055556,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_ai_type,58,58,0,0.000000,54,0.931034,0,58,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_common_method_bias,55,55,0,0.000000,53,0.963636,0,55,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_construct_count,4,3,2,0.666667,1,0.333333,1,3,2,0.666667,2,0.666667,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_country,21,21,0,0.000000,19,0.904762,0,21,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_data_collection,6,6,0,0.000000,4,0.666667,0,6,0,0.000000,1,0.166667,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_education_level,40,39,3,0.076923,30,0.769231,1,39,3,0.076923,4,0.102564,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_first_author,55,55,0,0.000000,55,1.000000,0,55,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_flag,25,25,0,0.000000,24,0.960000,0,25,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_matrix_completeness,19,18,0,0.000000,15,0.833333,1,18,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_notes,10,10,0,0.000000,9,0.900000,0,10,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_sample_size,7,7,1,0.142857,6,0.857143,0,7,1,0.142857,1,0.142857,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_sample_type,5,5,0,0.000000,5,1.000000,0,5,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_source_type,18,18,18,1.000000,0,0.000000,0,18,18,1.000000,18,1.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_statistic_count,5,4,4,1.000000,0,0.000000,1,4,4,1.000000,4,1.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_study_design,19,19,16,0.842105,0,0.000000,0,19,16,0.842105,16,0.842105,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_theoretical_framework,9,9,0,0.000000,6,0.666667,0,9,0,0.000000,2,0.222222,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,metadata_extraction,metadata_user_role,56,56,1,0.017857,54,0.964286,0,56,1,0.017857,1,0.017857,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,source_absence_decision,source_absence_decision,3,3,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,statistic_type_policy_decision,statistic_type_policy_decision,7,7,0,0.000000,4,0.571429,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,primary_prespecified_workflow,codex:gpt-5.5,structured_human_review_decision,structured_human_review_decision,41,41,0,0.000000,34,0.829268,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,absence_or_blank_consensus,absence_or_blank_consensus,6412,5931,0,0.000000,5532,0.932726,481,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,construct_or_sample_mapping_decision,construct_or_sample_mapping_decision,2,2,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,converted_or_model_derived_effect_size,converted_or_model_derived_beta,30,30,0,0.000000,30,1.000000,0,0,0,,0,,30,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,converted_or_model_derived_effect_size,converted_or_model_derived_beta_path_converted_by_human_consensus,53,53,0,0.000000,53,1.000000,0,0,0,,0,,53,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,converted_or_model_derived_effect_size,converted_or_model_derived_numeric_source_statistic_converted_by_human_consensus,5,5,0,0.000000,5,1.000000,0,0,0,,0,,5,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,direct_r_effect_size_extraction,source_blank_direct_r,43,43,0,0.000000,43,1.000000,0,0,0,,0,,43,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,direct_r_effect_size_extraction,source_reported_direct_r,323,323,3,0.009288,320,0.990712,0,0,0,,0,,323,3,3,3,3,0,0,0.000000,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,eligibility_or_exclusion_decision,eligibility_or_exclusion_decision,5,5,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,human_disagreement_trace,human_disagreement_trace,467,467,0,0.000000,8,0.017131,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_ai_tool_name,56,55,1,0.018182,46,0.836364,1,55,1,0.018182,2,0.036364,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_ai_type,58,58,0,0.000000,55,0.948276,0,58,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_common_method_bias,55,55,0,0.000000,54,0.981818,0,55,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_construct_count,4,4,1,0.250000,2,0.500000,0,4,1,0.250000,1,0.250000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_country,21,21,0,0.000000,19,0.904762,0,21,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_data_collection,6,6,1,0.166667,3,0.500000,0,6,1,0.166667,1,0.166667,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_education_level,40,40,1,0.025000,31,0.775000,0,40,1,0.025000,2,0.050000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_first_author,55,55,0,0.000000,55,1.000000,0,55,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_flag,25,25,0,0.000000,23,0.920000,0,25,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_matrix_completeness,19,19,0,0.000000,16,0.842105,0,19,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_notes,10,10,0,0.000000,10,1.000000,0,10,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_sample_size,7,7,1,0.142857,6,0.857143,0,7,1,0.142857,1,0.142857,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_sample_type,5,5,0,0.000000,5,1.000000,0,5,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_source_type,18,18,18,1.000000,0,0.000000,0,18,18,1.000000,18,1.000000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_statistic_count,5,5,2,0.400000,1,0.200000,0,5,2,0.400000,2,0.400000,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_study_design,19,19,18,0.947368,0,0.000000,0,19,18,0.947368,18,0.947368,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_theoretical_framework,9,9,0,0.000000,6,0.666667,0,9,0,0.000000,2,0.222222,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,metadata_extraction,metadata_user_role,56,56,1,0.017857,54,0.964286,0,56,1,0.017857,1,0.017857,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,source_absence_decision,source_absence_decision,3,3,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,statistic_type_policy_decision,statistic_type_policy_decision,7,7,0,0.000000,2,0.285714,0,0,0,,0,,0,0,0,0,0,0,0,,
model_explicit_available_rows,supplementary_cross_model_sensitivity,gemini:gemini-3-flash-preview,structured_human_review_decision,structured_human_review_decision,41,41,0,0.000000,13,0.317073,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,absence_or_blank_consensus,absence_or_blank_consensus,6412,478,0,0.000000,0,0.000000,5934,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,construct_or_sample_mapping_decision,construct_or_sample_mapping_decision,2,2,0,0.000000,2,1.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_model_derived_beta,30,30,0,0.000000,30,1.000000,0,0,0,,0,,30,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_model_derived_beta_path_converted_by_human_consensus,53,53,0,0.000000,53,1.000000,0,0,0,,0,,53,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_model_derived_numeric_source_statistic_converted_by_human_consensus,5,5,0,0.000000,5,1.000000,0,0,0,,0,,5,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,direct_r_effect_size_extraction,source_blank_direct_r,43,43,0,0.000000,43,1.000000,0,0,0,,0,,43,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,direct_r_effect_size_extraction,source_reported_direct_r,323,323,3,0.009288,320,0.990712,0,0,0,,0,,323,3,3,3,3,0,0,0.000000,0.000000
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,eligibility_or_exclusion_decision,eligibility_or_exclusion_decision,5,5,0,0.000000,0,0.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,human_disagreement_trace,human_disagreement_trace,467,467,0,0.000000,108,0.231263,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_tool_name,56,53,1,0.018868,47,0.886792,3,53,1,0.018868,1,0.018868,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_type,58,57,0,0.000000,54,0.947368,1,57,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_common_method_bias,55,55,1,0.018182,53,0.963636,0,55,1,0.018182,1,0.018182,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_construct_count,4,3,3,1.000000,0,0.000000,1,3,3,1.000000,3,1.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_country,21,21,0,0.000000,19,0.904762,0,21,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_data_collection,6,6,1,0.166667,3,0.500000,0,6,1,0.166667,1,0.166667,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_education_level,40,39,4,0.102564,30,0.769231,1,39,4,0.102564,5,0.128205,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_first_author,55,55,0,0.000000,55,1.000000,0,55,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_flag,25,25,0,0.000000,19,0.760000,0,25,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_matrix_completeness,19,18,0,0.000000,9,0.500000,1,18,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_notes,10,10,0,0.000000,10,1.000000,0,10,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_sample_size,7,7,1,0.142857,6,0.857143,0,7,1,0.142857,1,0.142857,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_sample_type,5,5,0,0.000000,5,1.000000,0,5,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_source_type,18,18,18,1.000000,0,0.000000,0,18,18,1.000000,18,1.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_statistic_count,5,4,4,1.000000,0,0.000000,1,4,4,1.000000,4,1.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_study_design,19,19,18,0.947368,0,0.000000,0,19,18,0.947368,18,0.947368,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_theoretical_framework,9,9,0,0.000000,6,0.666667,0,9,0,0.000000,2,0.222222,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_user_role,56,56,0,0.000000,54,0.964286,0,56,0,0.000000,0,0.000000,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,source_absence_decision,source_absence_decision,3,3,0,0.000000,3,1.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,statistic_type_policy_decision,statistic_type_policy_decision,7,7,0,0.000000,7,1.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,supplementary_cross_model_sensitivity,claude:sonnet,structured_human_review_decision,structured_human_review_decision,41,41,0,0.000000,41,1.000000,0,0,0,,0,,0,0,0,0,0,0,0,,
overlap_codex_gpt55_claude_sonnet_gemini3flash,primary_prespecified_workflow,codex:gpt-5.5,absence_or_blank_consensus,absence_or_blank_consensus,6412,2083,0,0.000000,87,0.041767,4329,0,0,,0,,0,0,0,0,0,0,0,,
