run_id,task_unit_id,study_id,denominator_family_original,expected_answer_type_used,retrieval_smoke_category,recommended_model_input_route,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_answer_nonblank,model_source_locator_nonblank,model_source_quote_nonblank,route_violation_non_path_answered_as_beta_path
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00096,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.079,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00097,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.081,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00098,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.61,0.610,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00099,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.198,0.198,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00100,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,-0.034,-0.045,scored,0,numeric_abs_error_le_0.005,0.011000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00101,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.307,0.307,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00102,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.086,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00103,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.113,0.063,scored,0,numeric_abs_error_le_0.005,0.050000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00104,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.429,0.379,scored,0,numeric_abs_error_le_0.005,0.050000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00105,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.121,0.071,scored,0,numeric_abs_error_le_0.005,0.050000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00106,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.435,0.385,scored,0,numeric_abs_error_le_0.005,0.050000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00107,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.067,0.007,scored,0,numeric_abs_error_le_0.005,0.060000,0,,1,1,0,0
