task_unit_id,study_id,construct_pair,evidence_family_current,denominator_family_current,reference_r_source,reference_evidence_type,caveat_ids,path_compatible_for_model_prompt,route_review_flag,recommended_step5_model_input_route,human_reference_value_changed
FC-S5-TASK-00093,S009,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00094,S009,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00095,S009,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00096,S009,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00097,S009,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00098,S009,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00099,S009,EE-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00100,S009,FC-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00101,S009,SI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00102,S010,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00103,S010,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00104,S010,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00105,S010,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00106,S010,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00107,S010,FC-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00108,S011,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00109,S011,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00110,S011,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00216,S021,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00217,S021,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00218,S021,EE-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00219,S021,FC-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00220,S021,PE-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00221,S021,SI-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00222,S021,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00223,S021,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00224,S021,EE-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00225,S021,FC-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00226,S021,PE-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00227,S021,SI-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_pls_sem_path,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00231,S024,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00232,S024,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00233,S024,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00234,S024,ATT-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00235,S024,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00236,S024,EE-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00237,S024,EE-SE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00238,S024,EE-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00239,S024,FC-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00338,S033,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00339,S033,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00340,S033,ATT-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00341,S033,EE-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00342,S033,SI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00343,S033,TRU-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00399,S038,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00400,S038,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00401,S038,ATT-TRU,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00402,S038,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00403,S038,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00404,S038,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00411,S042,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00412,S042,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00413,S042,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00414,S042,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00415,S042,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00416,S042,FC-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00585,S056,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_construct_correlation,direct_construct_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00586,S056,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_construct_correlation,direct_construct_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00587,S056,EE-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_construct_correlation,direct_construct_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00616,S058,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00617,S058,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00618,S058,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00619,S058,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00620,S058,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00621,S058,EE-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00637,S061,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00638,S061,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00639,S061,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00640,S061,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00641,S061,EE-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00642,S061,EE-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00643,S061,PE-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00660,S064,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted_from_original_path_or_beta,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00661,S064,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted_from_original_path_or_beta,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00662,S064,EE-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted_from_original_path_or_beta,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00663,S064,PE-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted_from_original_path_or_beta,CAV005,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00674,S066,ANX-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00675,S066,ANX-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00676,S066,ANX-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00677,S066,ANX-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00678,S066,ANX-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00679,S066,ANX-TRU,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00680,S066,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00681,S066,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00682,S066,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00683,S066,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00684,S066,BI-TRU,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00685,S066,BI-UB,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,beta_converted_peterson_brown,standardized_path_beta_converted,CAV005;CAV006;CAV007;ROW_CAVEAT,true,path_or_beta_compatible,retain_beta_or_path_extraction_route,false
FC-S5-TASK-00686,S067,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00687,S067,ATT-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00688,S067,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00689,S067,ATT-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00690,S067,ATT-TRU,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00691,S067,BI-EE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00692,S067,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00693,S067,BI-SI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_latent_correlation,fornell_larcker_off_diagonal_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
