study_id,rows,construct_pairs,n_ready_construct_pairs,pairs,n_ready_pairs
S032,15,15,15,ATT-BI;ATT-EE;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-PE;BI-SI;BI-UB;EE-PE;EE-SI;EE-UB;PE-SI;PE-UB;SE-UB,ATT-BI;ATT-EE;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-PE;BI-SI;BI-UB;EE-PE;EE-SI;EE-UB;PE-SI;PE-UB;SE-UB
S034,3,3,3,BI-EE;BI-PE;EE-PE,BI-EE;BI-PE;EE-PE
S045,10,10,10,ATT-BI;ATT-EE;ATT-PE;ATT-UB;BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB,ATT-BI;ATT-EE;ATT-PE;ATT-UB;BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB
S047,10,10,10,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S050,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S052,10,10,10,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S055,21,21,21,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S065,11,11,11,ATT-BI;ATT-EE;ATT-PE;ATT-UB;BI-FC;BI-TRU;BI-UB;EE-FC;EE-TRU;EE-UB;PE-UB,ATT-BI;ATT-EE;ATT-PE;ATT-UB;BI-FC;BI-TRU;BI-UB;EE-FC;EE-TRU;EE-UB;PE-UB
S072,16,16,16,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;BI-EE;BI-FC;BI-SI;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SI;SI-UB,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;BI-EE;BI-FC;BI-SI;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SI;SI-UB
S077,6,6,6,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE
S078,6,6,6,ATT-BI;ATT-SE;ATT-SI;BI-SE;BI-SI;SE-SI,ATT-BI;ATT-SE;ATT-SI;BI-SE;BI-SI;SE-SI
S083,6,6,6,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE
S085,3,3,3,BI-EE;BI-PE;BI-SI,BI-EE;BI-PE;BI-SI
S090,3,3,3,EE-PE;EE-UB;PE-UB,EE-PE;EE-UB;PE-UB
S094,1,1,1,PE-TRU,PE-TRU
S096,2,2,2,ANX-ATT;ANX-UB,ANX-ATT;ANX-UB
S097,8,8,8,ATT-BI;ATT-UB;BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB,ATT-BI;ATT-UB;BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB
S098,6,6,6,ANX-PE;ANX-SE;ANX-SI;PE-SE;PE-SI;SE-SI,ANX-PE;ANX-SE;ANX-SI;PE-SE;PE-SI;SE-SI
S100,2,2,2,BI-TRU;TRU-UB,BI-TRU;TRU-UB
S111,3,3,3,BI-PE;BI-SI;PE-SI,BI-PE;BI-SI;PE-SI
S114,14,14,14,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S121,21,21,21,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S121-1,21,21,21,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S121-2,21,21,21,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S123,3,3,3,BI-EE;BI-PE;EE-PE,BI-EE;BI-PE;EE-PE
S125,6,6,6,ATT-EE;ATT-PE;ATT-SE;EE-PE;EE-SE;PE-SE,ATT-EE;ATT-PE;ATT-SE;EE-PE;EE-SE;PE-SE
S133,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S135,10,10,10,ATT-BI;ATT-EE;ATT-PE;ATT-SI;BI-EE;BI-PE;BI-SI;EE-PE;EE-SI;PE-SE,ATT-BI;ATT-EE;ATT-PE;ATT-SI;BI-EE;BI-PE;BI-SI;EE-PE;EE-SI;PE-SE
S137,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SE;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SE;PE-SI;PE-UB;SI-UB
S142,6,6,6,ANX-ATT;ANX-FC;ANX-UB;ATT-FC;ATT-UB;FC-UB,ANX-ATT;ANX-FC;ANX-UB;ATT-FC;ATT-UB;FC-UB
S143,10,10,10,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S145,6,6,6,ATT-BI;ATT-EE;ATT-UB;BI-EE;BI-UB;EE-UB,ATT-BI;ATT-EE;ATT-UB;BI-EE;BI-UB;EE-UB
S148,5,5,5,ATT-BI;ATT-EE;ATT-PE;BI-UB;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-UB;EE-PE
S149,5,5,5,ATT-BI;ATT-EE;ATT-PE;BI-UB;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-UB;EE-PE
S155,6,6,6,BI-EE;BI-PE;BI-TRU;EE-PE;EE-TRU;PE-TRU,BI-EE;BI-PE;BI-TRU;EE-PE;EE-TRU;PE-TRU
S157,21,21,21,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-UB;SI-UB
S161,10,10,10,ATT-BI;ATT-EE;ATT-FC;ATT-PE;BI-EE;BI-FC;BI-PE;EE-FC;EE-PE;FC-PE,ATT-BI;ATT-EE;ATT-FC;ATT-PE;BI-EE;BI-FC;BI-PE;EE-FC;EE-PE;FC-PE
S163,10,10,10,ATT-BI;ATT-SI;ATT-TRU;ATT-UB;BI-PE;BI-SI;BI-TRU;PE-SI;PE-TRU;SI-TRU,ATT-BI;ATT-SI;ATT-TRU;ATT-UB;BI-PE;BI-SI;BI-TRU;PE-SI;PE-TRU;SI-TRU
S165,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S167,3,3,3,ATT-BI;ATT-PE;BI-PE,ATT-BI;ATT-PE;BI-PE
S171,15,15,15,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-UB;BI-EE;BI-FC;BI-PE;BI-UB;EE-FC;EE-PE;EE-UB;FC-PE;FC-UB;PE-UB,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-UB;BI-EE;BI-FC;BI-PE;BI-UB;EE-FC;EE-PE;EE-UB;FC-PE;FC-UB;PE-UB
S173,21,21,21,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S176,28,28,28,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S181,6,6,6,ANX-ATT;ANX-BI;ANX-SI;ATT-BI;ATT-SI;BI-SI,ANX-ATT;ANX-BI;ANX-SI;ATT-BI;ATT-SI;BI-SI
S183,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;EE-FC;EE-PE;EE-SI;EE-TRU;FC-PE;FC-SI;FC-UB;PE-SI;PE-TRU;SI-TRU,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;EE-FC;EE-PE;EE-SI;EE-TRU;FC-PE;FC-SI;FC-UB;PE-SI;PE-TRU;SI-TRU
S184,9,9,9,BI-FC;BI-SE;BI-SI;BI-UB;FC-SE;FC-UB;SE-SI;SE-UB;SI-UB,BI-FC;BI-SE;BI-SI;BI-UB;FC-SE;FC-UB;SE-SI;SE-UB;SI-UB
S185,14,14,14,ANX-ATT;ANX-EE;ANX-PE;ANX-SI;ATT-BI;ATT-EE;ATT-PE;ATT-SI;BI-EE;BI-PE;BI-SI;EE-PE;EE-SI;PE-SI,ANX-ATT;ANX-EE;ANX-PE;ANX-SI;ATT-BI;ATT-EE;ATT-PE;ATT-SI;BI-EE;BI-PE;BI-SI;EE-PE;EE-SI;PE-SI
S186,10,10,10,BI-EE;BI-FC;BI-PE;BI-UB;EE-FC;EE-PE;EE-UB;FC-PE;FC-UB;PE-UB,BI-EE;BI-FC;BI-PE;BI-UB;EE-FC;EE-PE;EE-UB;FC-PE;FC-UB;PE-UB
S194,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S197,5,5,5,ATT-EE;ATT-PE;ATT-UB;EE-PE;EE-UB,ATT-EE;ATT-PE;ATT-UB;EE-PE;EE-UB
S198,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S208,10,10,10,BI-EE;BI-PE;BI-SI;BI-TRU;EE-PE;EE-SI;EE-TRU;PE-SI;PE-TRU;SI-TRU,BI-EE;BI-PE;BI-SI;BI-TRU;EE-PE;EE-SI;EE-TRU;PE-SI;PE-TRU;SI-TRU
S209,6,6,6,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE
S210,6,6,6,BI-EE;BI-PE;BI-SE;EE-PE;EE-SE;PE-SE,BI-EE;BI-PE;BI-SE;EE-PE;EE-SE;PE-SE
S212,5,5,5,ATT-BI;ATT-EE;ATT-PE;BI-PE;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-PE;EE-PE
S214,21,21,21,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S218,6,6,6,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE,ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE
S219,10,10,10,ANX-ATT;ANX-BI;ANX-EE;ANX-PE;ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE,ANX-ATT;ANX-BI;ANX-EE;ANX-PE;ATT-BI;ATT-EE;ATT-PE;BI-EE;BI-PE;EE-PE
S221,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SE;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;PE-SE;PE-SI;PE-UB;SI-UB
