study_id,missing_pair,candidate_value,raw_human_exact_pair_count,raw_human_coders_exact_pair,latest_human_exact_pair_count,latest_human_sources_exact_pair,frozen_reference_exact_pair_count,frozen_reference_status_exact_pair,human_exclusion_found_for_study,human_exclusion_code_or_reason,one_coder_rule_evidence_for_study,frozen_reference_statuses_for_study,human_process_status,recommendation,rationale
S057,PE-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,PE-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,SE-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,SE-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,SI-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,SI-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,TRU-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S138,ANX-ATT,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-BI,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-EE,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-FC,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-PE,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-SE,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-SI,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-TRU,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ANX-UB,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_anxiety_source_matrix_confirmed,No exact human-coded pair found. ANX appears to depend on risk/fear term hits; add only if the source matrix explicitly contains anxiety or an approved anxiety-equivalent construct.
S138,ATT-FC,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,BI-FC,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,EE-FC,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,FC-PE,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,FC-SE,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,FC-SI,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,FC-TRU,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S138,FC-UB,,0,,0,,0,,no,,,included_frozen_coder_agreed_correlation_row,not_human_handled_no_explicit_human_exclusion,exclude_or_defer_unless_fc_source_matrix_confirmed,No exact human-coded pair found. FC appears to depend on resources/support term hits; add only if the source matrix explicitly contains facilitating conditions or an approved equivalent.
S176,ANX-ATT,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-BI,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-EE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-FC,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-PE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-SI,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ANX-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,ATT-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,BI-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,EE-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,FC-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,PE-SE,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,SE-SI,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,SE-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
S176,SE-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=7, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch4_phase1_pairB_source_checked,not_human_handled_no_explicit_human_exclusion,exclude_ai_false_positive_unless_reopened_by_source_evidence,"No exact human-coded pair found and no explicit human exclusion row found, but prior PDF text check showed Table 4 constructs HM, UB, BI, EE, FC, HA, PE, PI, SI, TR; ANX/SE were not visible as target constructs."
