analysis_record_id,analysis_set,analysis_role,input_id,source_decision_id,source_pair,study_id,construct_1,construct_2,construct_pair,construct_pair_canonical,construct_pair_direction,r_value,r_numeric,r_abs,r_source,statistic_family,evidence_type,is_source_reported_or_direct,is_model_derived_or_converted,include_primary,include_expanded,include_sensitivity,sample_size,sample_size_numeric,country,education_level,user_role,ai_type,common_method_bias,theoretical_framework,significance,confidence,consensus_basis,conversion_rule,override_rule,source_location,source_artifact,source_locator,notes,freeze_tier,include_primary_model_ready,freeze_decision,substitution_scenario,substitution_action,substitution_source_task_unit_id,substitution_review_priority,substitution_model_id,substitution_original_r_numeric,substitution_r_numeric,substitution_delta,sample_size_original,sample_size_numeric_original,sample_size_reconciliation_status,sample_size_reconciliation_source,sample_size_reconciliation_rule,sample_size_reconciliation_note,masem_n_weighted_eligibility,sample_size_pdf_override_original_status,sample_size_pdf_override_value,sample_size_pdf_override_source,sample_size_pdf_override_status,sample_size_pdf_override_note
P1-PRIMARY-00104,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00150,R2R3-CORR-V2-00871,R2_R3,S176,ATT,BI,ATT-BI,ATT-BI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.68,0.68,0.68,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.68,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=872,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01086,P0_expert_review_numeric_or_masem,,0.680000,0.680000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_BI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00105,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00151,R2R3-CORR-V2-00872,R2_R3,S176,ATT,EE,ATT-EE,ATT-EE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.18,0.18,0.18,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.18,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=873,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01087,P0_expert_review_numeric_or_masem,,0.180000,0.180000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_EE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00106,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00152,R2R3-CORR-V2-00873,R2_R3,S176,ATT,FC,ATT-FC,ATT-FC,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.41,0.41,0.41,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.41,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=874,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01088,P0_expert_review_numeric_or_masem,,0.410000,0.410000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_FC,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00107,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00153,R2R3-CORR-V2-00874,R2_R3,S176,ATT,PE,ATT-PE,ATT-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.12,0.12,0.12,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.12,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=875,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01089,P0_expert_review_numeric_or_masem,,0.120000,0.120000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00108,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00154,R2R3-CORR-V2-00876,R2_R3,S176,ATT,SI,ATT-SI,ATT-SI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.05,0.05,0.05,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.05,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=877,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01091,P0_expert_review_numeric_or_masem,,0.050000,0.050000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_SI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00109,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00155,R2R3-CORR-V2-00878,R2_R3,S176,ATT,TRU,ATT-TRU,ATT-TRU,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.23,0.23,0.23,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.23,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=879,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01093,P0_expert_review_numeric_or_masem,,0.230000,0.230000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_TRU,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00110,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00156,R2R3-CORR-V2-00879,R2_R3,S176,ATT,UB,ATT-UB,ATT-UB,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.47,0.47,0.47,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.47,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=880,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01094,P0_expert_review_numeric_or_masem,,0.470000,0.470000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_ATT_UB,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00111,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00157,R2R3-CORR-V2-00889,R2_R3,S176,BI,EE,BI-EE,BI-EE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.23,0.23,0.23,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.23,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=890,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01104,P0_expert_review_numeric_or_masem,,0.230000,0.230000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_EE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00112,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00158,R2R3-CORR-V2-00890,R2_R3,S176,BI,FC,BI-FC,BI-FC,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.53,0.53,0.53,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.53,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=891,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01105,P0_expert_review_numeric_or_masem,,0.530000,0.530000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_FC,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00113,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00159,R2R3-CORR-V2-00891,R2_R3,S176,BI,PE,BI-PE,BI-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.05,0.05,0.05,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.05,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=892,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01106,P0_expert_review_numeric_or_masem,,0.050000,0.050000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00114,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00160,R2R3-CORR-V2-00893,R2_R3,S176,BI,SI,BI-SI,BI-SI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.09,0.09,0.09,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.09,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=894,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01108,P0_expert_review_numeric_or_masem,,0.090000,0.090000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_SI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00115,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00161,R2R3-CORR-V2-00895,R2_R3,S176,BI,TRU,BI-TRU,BI-TRU,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.57,0.57,0.57,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.57,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=896,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01110,P0_expert_review_numeric_or_masem,,0.570000,0.570000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_TRU,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00116,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00162,R2R3-CORR-V2-00896,R2_R3,S176,BI,UB,BI-UB,BI-UB,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.63,0.63,0.63,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.63,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=897,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01111,P0_expert_review_numeric_or_masem,,0.630000,0.630000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_BI_UB,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00117,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00163,R2R3-CORR-V2-00897,R2_R3,S176,EE,FC,EE-FC,EE-FC,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.24,0.24,0.24,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.24,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=898,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01112,P0_expert_review_numeric_or_masem,,0.240000,0.240000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_EE_FC,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00118,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00164,R2R3-CORR-V2-00898,R2_R3,S176,EE,PE,EE-PE,EE-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.15,0.15,0.15,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.15,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=899,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01113,P0_expert_review_numeric_or_masem,,0.150000,0.150000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_EE_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00119,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00165,R2R3-CORR-V2-00900,R2_R3,S176,EE,SI,EE-SI,EE-SI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.02,0.02,0.02,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.02,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=901,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01115,P0_expert_review_numeric_or_masem,,0.020000,0.020000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_EE_SI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00120,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00166,R2R3-CORR-V2-00902,R2_R3,S176,EE,TRU,EE-TRU,EE-TRU,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.31,0.31,0.31,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.31,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=903,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01117,P0_expert_review_numeric_or_masem,,0.310000,0.310000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_EE_TRU,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00121,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00167,R2R3-CORR-V2-00903,R2_R3,S176,EE,UB,EE-UB,EE-UB,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.25,0.25,0.25,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.25,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=904,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01118,P0_expert_review_numeric_or_masem,,0.250000,0.250000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_EE_UB,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00122,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00168,R2R3-CORR-V2-00904,R2_R3,S176,FC,PE,FC-PE,FC-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.39,0.39,0.39,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.39,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=905,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01119,P0_expert_review_numeric_or_masem,,0.390000,0.390000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_FC_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00123,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00169,R2R3-CORR-V2-00906,R2_R3,S176,FC,SI,FC-SI,FC-SI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.32,0.32,0.32,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.32,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=907,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01121,P0_expert_review_numeric_or_masem,,0.320000,0.320000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_FC_SI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00124,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00170,R2R3-CORR-V2-00908,R2_R3,S176,FC,TRU,FC-TRU,FC-TRU,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.55,0.55,0.55,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.55,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=909,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01123,P0_expert_review_numeric_or_masem,,0.550000,0.550000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_FC_TRU,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00125,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00171,R2R3-CORR-V2-00909,R2_R3,S176,FC,UB,FC-UB,FC-UB,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.71,0.71,0.71,direct,human_consensus_direct_r,direct,1,0,1,1,0,1214,1214.0,,,,,,,NR,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,0.71,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=910,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_source_risk_review,P2-TASK-01124,P0_expert_review_numeric_or_masem,,0.710000,0.710000,0.000000,,,filled_from_full_corpus_reference_pair,S176_full_sample_FC_UB,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
