phase_block,pair,study_id,title,year,doi,pdf,coder_a,coder_a_status,coder_a_notes,coder_b,coder_b_status,coder_b_notes,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,review_note
phase1,Pair A,S042,Factors affecting Artificial Intelligence usage intention among nursing students,2025,10.1016/j.nedt.2025.106780,S042.pdf,R1,done,1,R2,done,,12,6,0,6,metadata differences; numeric/source correlation differences
phase1,Pair A,S044,The predictive effect of nursing students' attitudes and acceptance towards arti,2025,10.1016/j.teln.2025.02.036,S044.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,14,4,0,10,metadata differences; numeric/source correlation differences
phase1,Pair A,S046,"Artificial intelligence, social influence, and AI anxiety: analyzing the intenti",2025,10.1057/s41599-025-05641-x,S046.pdf,R1,done,2,R2,done,,30,7,10,13,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S051,Technology empowerment or risk avoidance? - investigating the overlooked factors,2025,10.1080/03075079.2025.2571674,S051.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,28,7,9,12,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S053,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk",2025,10.1080/10447318.2024.2365028,S053.pdf,R1,done,2,R2,done,,24,9,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S054,A study on behavioral intentions of artificial intelligence learning platform: C,2025,10.1080/10494820.2024.2343752,S054.pdf,R1,done,R1 coded; teacher/student subgroup correlations Fisher-z weighted.,R2,done,,26,11,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S064,AIDUA (artificial intelligence device use and acceptance) model to assess the ac,2025,10.1080/2331186x.2025.2560618,S064.pdf,R1,done,1,R2,done,,12,7,2,3,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S071,Assessing attitudes and impact of AI integration in higher education,2025,10.1108/heswbl-02-2024-0065,S071.pdf,R1,done,2,R2,done,,15,8,3,4,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S074,Understanding AI acceptance among Indonesian pre-service teachers: the mediating,2025,10.1108/JARHE-05-2025-0358,S074.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,21,6,0,15,metadata differences; numeric/source correlation differences
phase1,Pair A,S076,ChatGPT in the classroom: navigating the generative AI wave among international,2025,10.1108/JIEB-08-2024-0097,S076.pdf,R1,done,2,R2,done,,26,8,6,12,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S079,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementin,2025,10.1109/ACCESS.2025.3568834,S079.pdf,R1,done,,R2,done,,12,7,0,5,metadata differences; numeric/source correlation differences
phase1,Pair A,S081,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UT,2025,10.1111/ejed.70364,S081.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done_inferred,,17,7,0,10,metadata differences; numeric/source correlation differences
phase1,Pair A,S086,Investigating the factors influencing the adoption and use of artificial intelli,2025,10.1177/02666669251333147,S086.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,23,6,0,17,metadata differences; numeric/source correlation differences
phase1,Pair A,S087,"Impact of technology literacy, information literacy, and user satisfaction on th",2025,10.1177/02666669251366666,S087.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,20,6,1,13,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S091,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelli,2025,10.1177/21582440251406744,S091.pdf,R1,done,,R2,done,,15,9,0,6,metadata differences; numeric/source correlation differences
phase1,Pair A,S095,"Generative artificial intelligence acceptance, anxiety, and behavioral intention",2025,10.1186/s12912-025-03436-8,S095.pdf,R1,done,2,R2,done,,17,8,4,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S102,Understanding university students' adoption of ChatGPT: A TAM-based exploration,2025,10.15240/tul/001/2025-5-023,S102.pdf,R1,done,2,R2,done,,17,7,0,10,metadata differences; numeric/source correlation differences
phase1,Pair A,S104,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,2025,10.1590/1983-3652.2025.57135,S104.pdf,R1,done,1,R2,done,,16,10,0,6,metadata differences; numeric/source correlation differences
phase1,Pair A,S120,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantit,2025,10.3389/feduc.2025.1652292,S120.pdf,R1,done,R1 coded; student/instructor beta-converted subgroup effects Fisher-z weighted.,R2,done,,16,8,3,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S151,Perceived Ease of Use and Usefulness in AI-Generated Content Adoption: Gender as,2025,10.53761/gka8jq15,S151.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,16,8,0,8,metadata differences; numeric/source correlation differences
phase1,Pair A,S156,Investigating AI-based academic support acceptance and its impact on students' p,2024,10.1007/s10639-024-12599-x,S156.pdf,R1,done,1,R2,done,,21,7,8,6,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S164,ChatGPT acceptance and use through UTAUT and TPB: A big survey in five Indonesia,2024,10.1016/j.ssaho.2024.101136,S164.pdf,R1,done,,R2,done,,29,8,0,21,metadata differences; numeric/source correlation differences
phase1,Pair A,S166,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAU,2024,10.1080/08839514.2024.2371168,S166.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done_inferred,,20,15,5,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S168,To use or not to use ChatGPT in higher education? A study of students' acceptanc,2024,10.1080/10494820.2023.2209881,S168.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,10,4,0,6,metadata differences; numeric/source correlation differences
phase1,Pair A,S169,Revolutionizing education: Artificial intelligence empowered learning in higher,2024,10.1080/2331186x.2023.2293431,S169.pdf,R1,done,1,R2,done,,22,7,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S177,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for le,2024,10.1108/JRIT-05-2024-0116,S177.pdf,R1,done,1,R2,done,,11,8,0,3,metadata differences; numeric/source correlation differences
phase1,Pair A,S178,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted,2024,10.1109/ACCESS.2024.3445909,S178.pdf,R1,done,2,R2,done,,28,8,15,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S180,Using explainable AI to unravel classroom dialogue analysis: Effects of explanat,2024,10.1111/bjet.13466,S180.pdf,R1,done,"Excluded: E-FT1, fewer than two usable target construct-pair r/beta statistics.",R2,excluded,,15,15,0,0,metadata differences; exclusion/source-check
phase1,Pair A,S187,Acceptance of artificial intelligence and its effect on entrepreneurial intentio,2024,10.1186/s13731-024-00412-5,S187.pdf,R1,done,,R2,done,,21,6,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S189,"Exploring indian students’ perception, behavioral intentions, and motivation for",2024,10.17010/pijom/2024/v17i12/174055,S189.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done,,13,7,0,6,metadata differences; numeric/source correlation differences
phase1,Pair A,S190,Factors Affecting Students’ Willingness to Use Artificial Intelligence in Univer,2024,10.18178/ijiet.2024.14.12.2207,S190.pdf,R1,done,2,R2,done,,28,7,7,14,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S191,Understanding teachers' intentions and use of AI tools for research,2024,10.20368/1971-8829/1135969,S191.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done_inferred,,34,13,21,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S196,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationsh,2024,10.3390/educsci14070740,S196.pdf,R1,done,,R2,excluded,,13,13,0,0,metadata differences; exclusion/source-check
phase1,Pair A,S201,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Busi,2024,10.3390/informatics11030054,S201.pdf,R1,done,1,R2,done,,18,8,4,6,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S211,"The determinants of ChatGPT usage among accounting students: the role of habit,",2024,10.5604/01.3001.0054.7264,S211.pdf,R1,done,1,R2,done,,15,13,2,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S217,Examining students' intention to use ChatGPT: Does trust matter?,2023,10.14742/ajet.8956,S217.pdf,R1,done,R1 Phase 1 coded on 2026-04-24.,R2,done_inferred,,24,14,10,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S220,Determinants of Intentions to Use Digital Mental Healthcare Content among Univer,2023,10.3390/su15010872,S220.pdf,R1,done,"Excluded: E-FT3, mental healthcare chatbot/content is outside educational AI adoption.",R2,done,,14,12,2,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S223,Understanding key drivers affecting students' use of artificial intelligence-bas,2022,10.1007/s10639-022-10947-3,S223.pdf,R1,done,,R2,done,,37,8,9,20,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S007,Artificial intelligence teaching assistant adoption in university education: Key,2025,10.1007/s10639-025-13360-8,S007.pdf,R3,done,,R4,done,,13,2,7,4,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S010,International perspectives on artificial intelligence in higher education: An ex,2025,10.1007/s10639-025-13492-x,S010.pdf,R3,done,,R4,done,,13,7,6,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S012,College students' use behavior of generative AI and its influencing factors unde,2025,10.1007/s10639-025-13508-6,S012.pdf,R3,done,,R4,done,,12,2,0,10,metadata differences; numeric/source correlation differences
phase1,Pair B,S017,Are university teachers ready for generative artificial intelligence? Unpacking,2025,10.1007/s10639-025-13585-7,S017.pdf,R3,done,,R4,done,,11,4,7,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S020,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Pe,2025,10.1007/s10758-025-09830-0,S020.pdf,R3,done,,R4,done,,7,2,5,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S026,Exploring the usage behavior of generative artificial intelligence: a case study,2025,10.1007/s12144-024-07193-w,S026.pdf,R3,done,,R4,done,,10,5,5,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S043,University EFL instructors' engagement with generative AI: A cross-cultural anal,2025,10.1016/j.system.2025.103861,S043.pdf,R3,done_inferred,,R4,done,,21,15,6,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S045,Factors influencing the acceptance and use of ChatGPT among English as a foreign,2025,10.1057/s41599-025-04945-2,S045.pdf,R3,done,,R4,done,,15,5,0,10,metadata differences; numeric/source correlation differences
phase1,Pair B,S048,Understanding students' adoption of the ChatGPT chatbot in higher education: the,2025,10.1080/0144929X.2024.2317364,S048.pdf,R3,done,,R4,done,,24,3,21,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S050,Examining factors influencing university students' adoption of generative artifi,2025,10.1080/03075079.2024.2427786,S050.pdf,R3,done,,R4,done,,6,3,0,3,metadata differences; numeric/source correlation differences
phase1,Pair B,S052,Modeling students’ perceptions of artificial intelligence assisted language lear,2025,10.1080/09588221.2023.2246519,S052.pdf,R3,done,,R4,done,,16,6,0,10,metadata differences; numeric/source correlation differences
phase1,Pair B,S055,Predictors of higher education students' behavioural intention and usage of Chat,2025,10.1080/10494820.2024.2362805,S055.pdf,R3,done,,R4,done,,10,2,6,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S057,Proposing a conceptual model for the adoption of artificial intelligence by teac,2025,10.1080/10494820.2025.2457350,S057.pdf,R3,done_inferred,,R4,done,,33,5,28,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S060,Factors affecting EFL students' behavioral intention to use AI in EFL writing de,2025,10.1080/17501229.2025.2563695,S060.pdf,R3,done_inferred,,R4,done,,29,14,15,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S072,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,2025,10.1108/HESWBL-02-2025-0062,S072.pdf,R3,done,,R4,done,,19,2,10,7,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S073,Developing enrollment intentions for work-based learning that uses artificial in,2025,10.1108/HESWBL-10-2024-0315,S073.pdf,R3,done,,R4,done,,13,6,7,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S097,Applying the technology acceptance model to examine factors influencing chatbot,2025,10.1186/s12912-025-03620-w,S097.pdf,R3,done,,R4,done,,12,2,0,10,metadata differences; numeric/source correlation differences
phase1,Pair B,S100,In GenAI we trust: An investigation of university students' reliance on and resi,2025,10.1186/s41239-025-00547-9,S100.pdf,R3,done,,R4,done,,9,8,1,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S111,FACTORS INFLUENCING ARTIFICIAL INTELLIGENCE (AI) ADOPTION AMONG MALAYSIAN STUDEN,2025,10.24200/jonus.vol10iss2pp475-493,S111.pdf,R3,done,,R4,done,,9,3,3,3,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S117,Factors Influencing International Students' Adoption of Generative Artificial In,2025,10.32674/fnwdpn48,S117.pdf,R3,done,,R4,done,,14,7,7,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S125,Exploring AI tool adoption in higher education: evidence from a PLS-SEM model in,2025,10.3389/fpsyg.2025.1619391,S125.pdf,R3,done,,R4,done,,15,4,9,2,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S127,Academic Level as a Moderator in University Students' Acceptance of Educational,2025,10.3390/app151910603,S127.pdf,R3,done_inferred,,R4,done,,30,15,15,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S130,Mindsets Matter: A Mediation Analysis of the Role of a Technological Growth Mind,2025,10.3390/educsci15030310,S130.pdf,R3,done_inferred,,R4,done,,25,15,10,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S141,Artificial Intelligence Adoption Amongst Digitally Proficient Trainee Teachers:,2025,10.3390/socsci14060355,S141.pdf,R3,done_inferred,,R4,done,,25,15,10,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S142,Exploring the Determinants of the Sustainable Use of Artificial Intelligence in,2025,10.3390/su17072834,S142.pdf,R3,done,,R4,done,,6,3,3,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S146,The Role of Learning Motivation Factors in Deepseek Generative AI Adoption among,2025,10.34190/ejel.23.4.4245,S146.pdf,R3,done,,R4,done,,20,5,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S154,Factors influencing students' intention to adopt and use ChatGPT in higher educa,2024,10.1007/s10639-023-12333-z,S154.pdf,R3,done_inferred,,R4,done,,24,14,10,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S160,"Exploring the paradoxical use of ChatGPT in education: Analyzing benefits, risks",2024,10.1016/j.caeai.2024.100329,S160.pdf,R3,done_inferred,,R4,done,,21,15,6,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S163,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive,2024,10.1016/j.heliyon.2024.e29317,S163.pdf,R3,done,,R4,done,,19,3,7,9,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S167,Factors Influencing Learner Attitudes Towards ChatGPT-Assisted Language Learning,2024,10.1080/10447318.2023.2261725,S167.pdf,R3,done,,R4,done,,7,5,2,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S170,Exploring pre-service biology teachers' intention to teach genetics using an AI,2024,10.1080/2331186X.2024.2310976,S170.pdf,R3,done_inferred,,R4,done,,19,14,5,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S174,Students' adoption of AI-based teacher-bots (T-bots) for learning in higher educ,2024,10.1108/itp-02-2021-0152,S174.pdf,R3,done_inferred,,R4,done,,24,14,10,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S176,Examining ChatGPT adoption among educators in higher educational institutions us,2024,10.1108/jices-03-2024-0033,S176.pdf,R3,done,,R4,done,,8,1,7,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S184,Development and Validation of the Artificial Intelligence Learning Intention Sca,2024,10.1177/21582440241242188,S184.pdf,R3,done,,R4,done,,8,5,0,3,metadata differences; numeric/source correlation differences
phase1,Pair B,S186,AI in medical education: the moderating role of the chilling effect and STARA aw,2024,10.1186/s12909-024-05627-4,S186.pdf,R3,done,,R4,done,,20,6,5,9,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S193,Using Artificial Intelligence Technology to Improve Business English Language Te,2024,10.2478/amns-2024-2365,S193.pdf,R3,done_inferred,,R4,done,,29,14,15,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S212,Every Coin has Two Sides: Navigating Factors of Generative Pre-Trained Transform,2024,10.57239/PJLSS-2024-22.1.00424,S212.pdf,R3,done,,R4,done,,13,5,3,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair B,S213,Exploring the role of intrinsic motivation in ChatGPT adoption to support active,2023,10.1016/j.caeai.2023.100178,S213.pdf,R3,done_inferred,,R4,done,,18,15,3,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S214,ChatGPT in higher education learning: Acceptance and use,2023,10.1016/j.caeai.2023.100190,S214.pdf,R3,done,,R4,done,,13,2,11,0,metadata differences; one-coder-only correlation values
phase1,Pair B,S225,AI-Based Chatbots Adoption Model for Higher-Education Institutions: A Hybrid PLS,2022,10.3390/su141912726,S225.pdf,R3,done_inferred,,R4,done,,20,14,6,0,metadata differences; one-coder-only correlation values
phase2,Pair C,S014,The role of perceived utility and ethical concerns in the adoption of AI-based d,2025,10.1007/s10639-025-13535-3,S014.pdf,R1,done,Indirect path coefficients via perceived risk were beta-converted; perceived risk and ethical concern excluded.,R4,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,11,9,2,0,metadata differences; one-coder-only correlation values; source review
phase2,Pair C,S034,What influences college students using AI for academic writing? - A quantitative,2025,10.1016/j.caeai.2025.100391,S034.pdf,R1,done,Correlation heatmap/discussion values coded; perceived enjoyment excluded.,R4,done,,9,8,1,0,metadata differences; one-coder-only correlation values
phase2,Pair C,S058,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,2025,10.1080/10963758.2025.2586522,S058.pdf,R1,done,"No correlation matrix located; beta-converted direct SEM paths used. IN, PR, and DFL excluded from target matrix.",R4,done,,18,12,0,6,metadata differences; numeric/source correlation differences
phase2,Pair C,S061,Leveraging AI in academia: university students' adoption of ChatGPT for writing,2025,10.1080/2331186X.2025.2485522,S061.pdf,R1,done,"Hedonic motivation, habit, and learning value excluded; FC-to-BI path beta-converted.",R4,done,,10,9,1,0,metadata differences; one-coder-only correlation values
phase2,Pair C,S063,Student utilization and perceptions of AI technology for academic purposes: a mi,2025,10.1080/2331186X.2025.2553835,S063.pdf,R1,done,,R4,done,,18,8,0,10,metadata differences; numeric/source correlation differences
phase2,Pair C,S066,The role of perceived trust and technology anxiety in intention to use technolog,2025,10.1080/2331186X.2025.2597051,S066.pdf,R1,done,"HTMT table not coded as correlations; beta-converted path coefficients used. Path table has inconsistent p/t reporting, so values flagged.",R4,done,,25,12,2,11,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S067,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,2025,10.1080/23311886.2025.2476044,S067.pdf,R1,done,,R4,done,,26,11,5,10,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S069,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,2025,10.1108/EL-12-2024-0391,S069.pdf,R1,done,,R4,done,,16,10,0,6,metadata differences; numeric/source correlation differences
phase2,Pair C,S070,Factors affecting intention of academic librarians in Pakistan universities to u,2025,10.1108/GKMC-08-2024-0560,S070.pdf,R1,done,CFA latent-variable correlations coded; service quality excluded.,R4,done,,19,10,4,5,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S075,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis usi,2025,10.1108/JARHE-09-2024-0519,S075.pdf,R1,done,,R4,done,,23,8,1,14,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S080,Determinants of Generative AI Adoption Through the UTAUT Model: Insights From Po,2025,10.1109/RITA.2025.3613135,S080.pdf,R1,done,No usable correlation matrix located; standardized PLS-SEM path coefficients from Table III were beta-converted. Perceived risk and moderators excluded.,R4,done,,15,11,0,4,metadata differences; numeric/source correlation differences
phase2,Pair C,S089,Impact of AI adoption on the digital workplace and accounting education for univ,2025,10.1177/09504222251376760,S089.pdf,R1,done,No usable correlation matrix; beta-converted PLS path coefficients used for target TAM adoption paths.,R4,done,,13,8,0,5,metadata differences; numeric/source correlation differences
phase2,Pair C,S093,Assessing ChatGPT adoption in Jordanian medical education: a UTAUT model approac,2025,10.1186/s12909-025-07336-y,S093.pdf,R1,done,No correlation matrix located; beta-converted SEM path coefficients used. Perceived risk excluded.,R4,done,,14,8,0,6,metadata differences; numeric/source correlation differences
phase2,Pair C,S103,Antecedents of students' behavioural intention to use generative artificial inte,2025,10.15678/EBER.2025.130101,S103.pdf,R1,done,,R4,done,,21,11,0,10,metadata differences; numeric/source correlation differences
phase2,Pair C,S108,The impact of artificial intelligence on maker education: Motivation and technol,2025,10.20448/jeelr.v12i2.6893,S108.pdf,R1,excluded,Source check 2026-05-25: excluded pending adjudication log.,R4,excluded,Source check 2026-05-25: excluded pending adjudication log.,12,11,1,0,metadata differences; one-coder-only correlation values; exclusion/source-check
phase2,Pair C,S112,Determinants of Generative AI Adoption in Higher Education: A Social Science Per,2025,10.26417/bamx9m98,S112.pdf,R1,done,PLS-SEM path coefficients beta-converted; perceived enjoyment and perceived risk excluded.,R4,done,,13,6,0,7,metadata differences; numeric/source correlation differences
phase2,Pair C,S113,A MODEL FOR THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN INCLUSIVE EDUCATION: AN E,2025,10.28945/5612,S113.pdf,R1,done,"HTMT values and structural paths coded; social support, digital literacy, and motivation not target-coded except through target construct links.",R4,done,,15,9,3,3,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S115,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabular,2025,10.30564/fls.v7i2.8593,S115.pdf,R1,done,Heatmap/text correlations coded.,R4,done,,10,7,3,0,metadata differences; one-coder-only correlation values
phase2,Pair C,S119,The moderating role of ethnic culture on adoption intention of generative artifi,2025,10.3389/feduc.2025.1622620,S119.pdf,R1,done,,R4,done,,18,8,0,10,metadata differences; numeric/source correlation differences
phase2,Pair C,S129,Examining the Influence of AI on Python Programming Education: An Empirical Stud,2025,10.3390/computers14100411,S129.pdf,R1,done,"Path coefficients beta-converted; hedonic motivation, perceived value, and cognitive instrumental factors excluded where not target mapped.",R4,done,,18,9,0,9,metadata differences; numeric/source correlation differences
phase2,Pair C,S132,ChatGPT or Human Mentors? Student Perceptions of Technology Acceptance and Use a,2025,10.3390/educsci15060746,S132.pdf,R1,excluded,Source check 2026-05-25: excluded pending adjudication log.,R4,excluded,Source check 2026-05-25: excluded pending adjudication log.,12,12,0,0,metadata differences; exclusion/source-check
phase2,Pair C,S134,Learners' Acceptance of ChatGPT in School,2025,10.3390/educsci15070904,S134.pdf,R1,done,"Path coefficients beta-converted; hedonic motivation, habit, and price value excluded.",R4,done,,13,7,0,6,metadata differences; numeric/source correlation differences
phase2,Pair C,S136,Factors Influencing the Reported Intention of Higher Vocational Computer Science,2025,10.3390/educsci15111431,S136.pdf,R1,done,Fornell-Larcker off-diagonal correlations used. HM and habit excluded.,R4,done,,18,8,0,10,metadata differences; numeric/source correlation differences
phase2,Pair C,S148,Student acceptance of ChatGPT in higher education: A mixed-method study of attit,2025,10.37074/jalt.2025.8.2.7,S148.pdf,R1,done,Only limited usable path statistics were extractable from reported text; no correlation matrix located.,R4,done,,14,9,4,1,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase2,Pair C,S152,Mapping Edifying Territories: A Cross-Sectional Study on the Dynamics Influencin,2025,https://www.researchgate.net/profile/Cristina-Teresa-Lim/publication/392840057_Mapping_Edifying_Territories_A_Cross-Sectional_Study_on_the_Dynamics_Influencing_Students'_Readiness_and_Intention_to_Clinch_Artificial_Intelligence/links/6854e82793040b17338c2993/Mapping-Edifying-Territories-A-Cross-Sectional-Study-on-the-Dynamics-Influencing-Students-Readiness-and-Intention-to-Clinch-Artificial-Intelligence.pdf,S152.pdf,R1,done,Nonstandard predictors excluded; usable SEM paths beta-converted from reported table.,R4,done,,9,6,0,3,metadata differences; numeric/source correlation differences
phase2,Pair C,S153,Investigating student acceptance of an academic advising chatbot in higher educa,2024,10.1007/s10639-023-12076-x,S153.pdf,R1,done,,R4,done,,22,7,0,15,metadata differences; numeric/source correlation differences
phase2,Pair C,S162,Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via u,2024,10.1016/j.chb.2023.108097,S162.pdf,R1,done,,R4,done,,22,7,0,15,metadata differences; numeric/source correlation differences
