study_id,observed_construct_count,observed_constructs,missing_constructs,observed_pair_count,missing_pair_count,has_anx_tru,source_review_status,densification_decision,source_basis,next_action,missing_pairs
S173,7,BI;EE;FC;PE;SI;TRU;UB,ANX;ATT;SE,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S214,7,ATT;BI;EE;FC;PE;SI;UB,ANX;SE;TRU,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S072,7,ATT;BI;EE;FC;PE;SI;UB,ANX;SE;TRU,16,29,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;ATT-UB;BI-PE;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S032,7,ATT;BI;EE;PE;SE;SI;UB,ANX;FC;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;BI-FC;BI-SE;BI-TRU;EE-FC;EE-SE;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;SE-SI;SE-TRU;SI-TRU;SI-UB;TRU-UB
S137,7,BI;EE;FC;PE;SE;SI;UB,ANX;ATT;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;FC-UB;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S183,7,BI;EE;FC;PE;SI;TRU;UB,ANX;ATT;SE,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-UB;EE-SE;EE-UB;FC-SE;FC-TRU;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S221,7,BI;EE;FC;PE;SE;SI;UB,ANX;ATT;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;FC-UB;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S002,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S008,6,ATT;BI;EE;FC;PE;SI,ANX;SE;TRU;UB,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S013,6,BI;EE;FC;PE;SE;SI,ANX;ATT;TRU;UB,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;BI-UB;EE-TRU;EE-UB;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S026,6,ATT;BI;EE;PE;SI;UB,ANX;FC;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;BI-FC;BI-SE;BI-TRU;EE-FC;EE-SE;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S050,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S133,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S165,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S171,6,ATT;BI;EE;FC;PE;UB,ANX;SE;SI;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-SI;ATT-TRU;BI-SE;BI-SI;BI-TRU;EE-SE;EE-SI;EE-TRU;FC-SE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S194,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S198,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,15,30,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S114,6,BI;EE;FC;PE;SI;UB,ANX;ATT;SE;TRU,14,31,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S185,6,ANX;ATT;BI;EE;PE;SI,FC;SE;TRU;UB,14,31,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-BI;ANX-FC;ANX-SE;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S065,7,ATT;BI;EE;FC;PE;TRU;UB,ANX;SE;SI,11,34,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-PE;BI-SE;BI-SI;EE-PE;EE-SE;EE-SI;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S135,6,ATT;BI;EE;PE;SE;SI,ANX;FC;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S163,6,ATT;BI;PE;SI;TRU;UB,ANX;EE;FC;SE,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;BI-EE;BI-FC;BI-SE;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S007,5,ATT;BI;FC;PE;SE,ANX;EE;SI;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S012,5,BI;EE;FC;PE;SI,ANX;ATT;SE;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S027,5,BI;EE;FC;PE;SI,ANX;ATT;SE;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S028,5,ATT;BI;EE;PE;SE,ANX;FC;SI;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S045,5,ATT;BI;EE;PE;UB,ANX;FC;SE;SI;TRU,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S047,5,BI;EE;FC;PE;SI,ANX;ATT;SE;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S052,5,BI;EE;FC;PE;SI,ANX;ATT;SE;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S143,5,BI;EE;FC;PE;SI,ANX;ATT;SE;TRU;UB,10,35,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
