route,construct_1,construct_2,nearpd_r
paper_a_full10_theory_target,SE,TRU,0.6564511107540583
paper_a_full10_theory_target,TRU,TRU,1
paper_a_full10_theory_target,ANX,TRU,-0.11723021657003255
paper_a_full10_theory_target,BI,TRU,0.5563076256588262
paper_a_full10_theory_target,UB,TRU,0.48334772844208934
paper_a_full10_theory_target,PE,ANX,0.3678702944213219
paper_a_full10_theory_target,EE,ANX,0.2563270893653506
paper_a_full10_theory_target,SI,ANX,0.27496754293862546
paper_a_full10_theory_target,FC,ANX,0.504741449453972
paper_a_full10_theory_target,ATT,ANX,0.3778211340247175
paper_a_full10_theory_target,SE,ANX,0.5074313047670234
paper_a_full10_theory_target,TRU,ANX,-0.11723021657003255
paper_a_full10_theory_target,ANX,ANX,1
paper_a_full10_theory_target,BI,ANX,0.08843939717108758
paper_a_full10_theory_target,UB,ANX,0.22812844117494382
paper_a_full10_theory_target,PE,BI,0.6129215780763122
paper_a_full10_theory_target,EE,BI,0.5394553929329302
paper_a_full10_theory_target,SI,BI,0.5487514353151531
paper_a_full10_theory_target,FC,BI,0.5083759379472864
paper_a_full10_theory_target,ATT,BI,0.6792118545537486
paper_a_full10_theory_target,SE,BI,0.3434047685239915
paper_a_full10_theory_target,TRU,BI,0.5563076256588262
paper_a_full10_theory_target,ANX,BI,0.08843939717108758
paper_a_full10_theory_target,BI,BI,1
paper_a_full10_theory_target,UB,BI,0.6459110118713299
paper_a_full10_theory_target,PE,UB,0.5245736661201749
paper_a_full10_theory_target,EE,UB,0.4924332889071054
paper_a_full10_theory_target,SI,UB,0.4527357274171306
paper_a_full10_theory_target,FC,UB,0.4790584353633705
paper_a_full10_theory_target,ATT,UB,0.6403419759830153
paper_a_full10_theory_target,SE,UB,0.4092004633016237
paper_a_full10_theory_target,TRU,UB,0.48334772844208934
paper_a_full10_theory_target,ANX,UB,0.22812844117494382
paper_a_full10_theory_target,BI,UB,0.6459110118713299
paper_a_full10_theory_target,UB,UB,1
