pair,c_a,c_a_role,c_b,c_b_role,k,total_n,pooled_r,ci_low,ci_high,i2,in_primary_structural_path,diagnostic_priority,manuscript_use
FC-SE,FC,resource/condition belief,SE,capability mechanism,6,3093,0.34383982213119035,0.10064742945307474,0.5482613559845104,98.05466273872877,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
PE-SE,PE,usefulness/performance belief,SE,capability mechanism,16,13844,0.4843523466168474,0.3612932073418508,0.5908283397700582,98.65857010972248,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
SE-SI,SE,capability mechanism,SI,social-norm belief,6,3498,0.3653626580375114,0.15812132699717646,0.5417733947316659,97.74658898243644,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
SE-TRU,SE,capability mechanism,TRU,reliance/trust mechanism,1,353,0.66,0.5967260386178161,0.7151175052727792,0,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
SE-UB,SE,capability mechanism,UB,behavioral outcome,5,3045,0.4094067441123416,0.1620531855383665,0.6083527123519089,98.21320679774932,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
BI-FC,BI,intention mediator/outcome,FC,resource/condition belief,37,25374,0.5087924536217474,0.4560377912417302,0.5579840192398529,96.65617885736984,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
EE-FC,EE,effort/usability belief,FC,resource/condition belief,35,24104,0.5672702629794286,0.49933552729179814,0.6282723962806438,98.1627619448482,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
EE-PE,EE,effort/usability belief,PE,usefulness/performance belief,59,34076,0.5395566261036465,0.4903133008563,0.5853659799863337,97.41255673299938,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
EE-SI,EE,effort/usability belief,SI,social-norm belief,34,24073,0.4079294335318371,0.33411753641080716,0.4767683040558152,97.73147553049697,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
EE-UB,EE,effort/usability belief,UB,behavioral outcome,31,22095,0.49241153996498166,0.4306694615945348,0.5495659807310691,97.02671254132868,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
FC-PE,FC,resource/condition belief,PE,usefulness/performance belief,35,23950,0.4700741821366415,0.40897997614188697,0.5269732412107442,97.07422129046417,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
FC-SI,FC,resource/condition belief,SI,social-norm belief,29,21633,0.4180310904287376,0.34038711774115404,0.4900128858129697,97.7368382535729,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
PE-SI,PE,usefulness/performance belief,SI,social-norm belief,36,24777,0.45799583687115336,0.369848460821006,0.5379717260738421,98.58106372282556,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
PE-UB,PE,usefulness/performance belief,UB,behavioral outcome,30,21592,0.5245884860559515,0.45969698590585223,0.5839079790756925,97.44789985972058,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
SI-UB,SI,social-norm belief,UB,behavioral outcome,23,18993,0.4527457856162526,0.3745032654337903,0.5245862746391124,97.60093579956308,FALSE,theoretical_covariance_or_control_relation,supplemental omitted-pair table
ATT-TRU,ATT,evaluative mediator,TRU,reliance/trust mechanism,3,1869,0.6286733098208717,0.06539571608767392,0.8881188598625662,99.4103212076294,FALSE,trust_extension_diagnostic,trust-system theoretical framework or supplemental diagnostic
FC-TRU,FC,resource/condition belief,TRU,reliance/trust mechanism,6,7221,0.4134207172270176,0.2286106457384276,0.5694694028373073,98.54284908976402,FALSE,trust_extension_diagnostic,trust-system theoretical framework or supplemental diagnostic
TRU-UB,TRU,reliance/trust mechanism,UB,behavioral outcome,9,11350,0.4830841874767565,0.3787950524944666,0.5752585218383165,97.68930387186762,FALSE,trust_extension_diagnostic,trust-system theoretical framework or supplemental diagnostic
ATT-BI,ATT,evaluative mediator,BI,intention mediator/outcome,31,14104,0.6795930379955496,0.6134081458871118,0.7362989780499283,97.86304751521976,TRUE,already_primary_structural_path,main Results path table
ATT-EE,ATT,evaluative mediator,EE,effort/usability belief,27,12493,0.5011311432320176,0.42706299952283944,0.5685190790936374,96.47564072625016,TRUE,already_primary_structural_path,main Results path table
ATT-FC,ATT,evaluative mediator,FC,resource/condition belief,11,5740,0.47700291295894426,0.3728540334127313,0.5692823591424178,95.66072342747206,TRUE,already_primary_structural_path,main Results path table
ATT-PE,ATT,evaluative mediator,PE,usefulness/performance belief,28,12940,0.598718774606118,0.5153655761755784,0.6708498140684753,97.93593160819542,TRUE,already_primary_structural_path,main Results path table
ATT-SI,ATT,evaluative mediator,SI,social-norm belief,13,7190,0.5163897478983992,0.3657556341598282,0.6406608633318229,98.43353503715171,TRUE,already_primary_structural_path,main Results path table
BI-EE,BI,intention mediator/outcome,EE,effort/usability belief,55,31868,0.5393880129065131,0.4941533379571651,0.581710053152825,96.7172144999785,TRUE,already_primary_structural_path,main Results path table
BI-PE,BI,intention mediator/outcome,PE,usefulness/performance belief,58,32804,0.6129674916930147,0.5466230861458384,0.6716644843771213,98.79843875401664,TRUE,already_primary_structural_path,main Results path table
BI-SI,BI,intention mediator/outcome,SI,social-norm belief,40,26675,0.5487825966676931,0.49086056592109806,0.601874831185822,97.62570483479249,TRUE,already_primary_structural_path,main Results path table
BI-TRU,BI,intention mediator/outcome,TRU,reliance/trust mechanism,13,13012,0.5554911388567032,0.4517380769200286,0.6444190774766361,98.32111120403388,TRUE,already_primary_structural_path,main Results path table
BI-UB,BI,intention mediator/outcome,UB,behavioral outcome,32,22696,0.6458635537092196,0.5837848155283706,0.7004345234006092,98.22776274196076,TRUE,already_primary_structural_path,main Results path table
EE-TRU,EE,effort/usability belief,TRU,reliance/trust mechanism,11,12030,0.45262922080109,0.3438432827096739,0.5494264630170392,97.86548066251454,TRUE,already_primary_structural_path,main Results path table
FC-UB,FC,resource/condition belief,UB,behavioral outcome,23,18629,0.4791928794107841,0.3833749327283747,0.564805575683701,98.4314308548154,TRUE,already_primary_structural_path,main Results path table
PE-TRU,PE,usefulness/performance belief,TRU,reliance/trust mechanism,13,12683,0.4595153547386363,0.3810822453045661,0.5313815397432614,96.23243030213322,TRUE,already_primary_structural_path,main Results path table
SI-TRU,SI,social-norm belief,TRU,reliance/trust mechanism,10,11571,0.3903043529587815,0.2905410180763967,0.4816734600077537,97.05016432571024,TRUE,already_primary_structural_path,main Results path table
