study_id,missing_pair,candidate_value,final_decision,add_to_matrix,source_matrix_reviewed,source_constructs_seen,source_evidence_locator,human_process_status,decision_rationale
S057,PE-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,PE-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,SE-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,SE-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,SI-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,SI-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,TRU-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S138,ANX-ATT,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-BI,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-EE,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-FC,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-PE,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-SE,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-SI,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-TRU,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ANX-UB,,exclude_ai_false_positive_perceived_risk_not_anxiety,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 482-499,not_human_exact_pair_not_human_excluded,"The source matrix contains PR (Perceived Risk), not ANX (Anxiety). Perceived Risk cannot be automatically remapped to Anxiety without a researcher-approved construct remap."
S138,ATT-FC,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,BI-FC,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,EE-FC,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,FC-PE,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,FC-SE,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,FC-SI,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,FC-TRU,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S138,FC-UB,,exclude_ai_false_positive_no_facilitating_conditions_construct,no,S138.pdf Table 5 Fornell-Larcker Criterion,"AC, AT, AU, BI, PE, PR, PU, SE, SI, ST",/tmp/S138_layout.txt lines 785-797; Table 2 lines 607-645,not_human_exact_pair_not_human_excluded,The source matrix does not contain FC (Facilitating Conditions). AC is Acceptance and cannot be automatically remapped to FC.
S176,ANX-ATT,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-BI,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-EE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-FC,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-PE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-SI,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ANX-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,ATT-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,BI-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,EE-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,FC-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,PE-SE,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,SE-SI,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,SE-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
S176,SE-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S176.pdf Table 4 Discriminant validity,"HM, UB, BI, EE, FC, HA, PE, PI, SI, TR",/tmp/S176_layout.txt lines 617-630,not_human_exact_pair_not_human_excluded,"The AI candidates require ANX and/or SE, but the source Table 4 does not contain ANX or SE. PI/HA/TR must not be automatically remapped to SE or ANX."
