study_id,construct_pair,change_action,old_r_numeric,new_r_numeric,old_present_in_baseline,included_in_corrected_input,reason
S004,EE-SE,reject_priority_candidate_unapproved_mapping,,,no,no,TC->TRU; IU->BI; UB->UB; PE/EE/SI/FC unchanged; PKC->SE rejected by researcher on 2026-06-14
S004,FC-SE,reject_priority_candidate_unapproved_mapping,,,no,no,TC->TRU; IU->BI; UB->UB; PE/EE/SI/FC unchanged; PKC->SE rejected by researcher on 2026-06-14
S004,SE-SI,reject_priority_candidate_unapproved_mapping,,,no,no,TC->TRU; IU->BI; UB->UB; PE/EE/SI/FC unchanged; PKC->SE rejected by researcher on 2026-06-14
S004,SE-TRU,reject_priority_candidate_unapproved_mapping,,,no,no,TC->TRU; IU->BI; UB->UB; PE/EE/SI/FC unchanged; PKC->SE rejected by researcher on 2026-06-14
S004,SE-UB,reject_priority_candidate_unapproved_mapping,,,no,no,TC->TRU; IU->BI; UB->UB; PE/EE/SI/FC unchanged; PKC->SE rejected by researcher on 2026-06-14
S048,ATT-BI,keep_existing_frozen_value,,0.820,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-EE,correct_existing_frozen_value,,0.468,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-FC,correct_existing_frozen_value,,0.385,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-PE,correct_existing_frozen_value,,0.677,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-SI,correct_existing_frozen_value,,0.575,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-TRU,correct_existing_frozen_value,,0.512,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,ATT-UB,keep_existing_frozen_value,,0.769,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-EE,correct_existing_frozen_value,,0.453,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-FC,add_priority_candidate,,0.424,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-PE,add_priority_candidate,,0.659,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-SI,add_priority_candidate,,0.626,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-TRU,correct_existing_frozen_value,,0.527,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,BI-UB,keep_existing_frozen_value,,0.829,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,EE-FC,correct_existing_frozen_value,,0.659,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,EE-PE,correct_existing_frozen_value,,0.536,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,EE-SI,correct_existing_frozen_value,,0.310,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,EE-TRU,correct_existing_frozen_value,,0.391,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,EE-UB,add_priority_candidate,,0.398,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,FC-PE,keep_existing_frozen_value,,0.471,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,FC-SI,correct_existing_frozen_value,,0.323,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,FC-TRU,correct_existing_frozen_value,,0.364,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,FC-UB,add_priority_candidate,,0.340,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,PE-SI,correct_existing_frozen_value,,0.433,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,PE-TRU,keep_existing_frozen_value,,0.481,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,PE-UB,keep_existing_frozen_value,,0.596,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,SI-TRU,correct_existing_frozen_value,,0.436,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,SI-UB,add_priority_candidate,,0.589,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
S048,TRU-UB,add_priority_candidate,,0.442,no,yes,INT->BI; USE->UB; PE/EE/SI/FC/TRU/ATT unchanged
