study_id,phase_block,pair,title,freeze_terminal_status,n_frozen_rows,row_application_source,status_source,freeze_authorization_status,qa_status,caveat_status,next_action,evidence_basis,notes
S012,phase1,Pair B,College students' use behavior of generative AI and its influencing factors unde,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S013,phase1,Pair B,Exploring factors that influence graduate students' intention to use generative,included_frozen_reference,15,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S014,phase2,Pair C,The role of perceived utility and ethical concerns in the adoption of AI-based d,excluded_or_no_target_frozen_status,0,,paper_b_phase2_step4_decision_application_audit_20260608.csv,authorized_full_corpus_freeze_20260609,pass_status_only,no_usable_target_rows_caveat,Retain status-only handling in frozen reference; do not generate target rows for this study.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,notes=Population remains eligible but this source check contributes no direct mapped target-pair value. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S015,phase1,Pair A,Unlocking ChatGPT's potential: a comparative study of student adoption intention,included_frozen_reference,30,source_checked_or_logged_reference_draft_rows,full_corpus_manual_blocker_status_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,manual_resolution_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_manual_blocker_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=reference_draft_created_manual_blocker_resolved. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S016,phase1,Pair B,Exploring the acceptance of generative artificial intelligence-assisted learning,included_frozen_reference,21,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S017,phase1,Pair B,Are university teachers ready for generative artificial intelligence? Unpacking,included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S018,phase1,Pair A,Extending the TAM framework: Exploring learning motivation and agility in educat,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S019,phase1,Pair A,Exploring user awareness and perceived usefulness of generative AI in higher edu,included_frozen_reference,3,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S020,phase1,Pair B,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Pe,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S021,phase2,Pair D,Generative AI in Action: Acceptance and Use Among Higher Education Staff Pre- an,included_frozen_reference,12,source_checked_or_logged_reference_draft_rows,paper_b_phase2_step4_decision_application_audit_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; paper_b_phase2_step4_decision_application_audit_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,notes=T1 and T2 remain separate strata; AIAS-4 maps to ATT with medium confidence. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S022,phase2,Pair D,Instrumental and integrative motivations predict intention to use generative AI,included_frozen_reference,3,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 1 of 3 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,excluded_or_no_target_frozen_status,0,,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_status_only,excluded_or_no_target_status_caveat,Retain status-only handling in frozen reference; do not generate target rows for this study.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,"study_terminal_status=excluded_from_masem_correlation_contribution_status_draft; final_freeze_handling=Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.; notes=Lightweight PDF check found EFA/construct-correlation language, but no coder target rows and no source-anchored UTAUT construct-pair matrix was carried into coding; treat as no usable target correlation rows pending final freeze QA.; exclusion_code=E-FT1; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization."
S024,phase2,Pair D,Understanding pre-service teachers' acceptance of generative artificial intellig,included_frozen_reference,9,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S025,phase2,Pair D,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher E,included_frozen_reference,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S026,phase1,Pair B,Exploring the usage behavior of generative artificial intelligence: a case study,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S027,phase2,Pair D,Factors influencing Chinese college students' intention to use AIGC: a study bas,included_frozen_reference,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S029,phase2,Pair C,Key factors influencing intention to use ChatGPT: An empirical study of U. S. st,included_frozen_reference,10,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,metadata_status_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S030,phase1,Pair A,The psychology of AI adoption in education: University students' intentions to u,included_frozen_reference,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S031,phase2,Pair D,Association between Generative AI self-efficacy and Generative AI acceptance: Th,included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S032,phase2,Pair D,A cross-national assessment of artificial intelligence (AI) Chatbot user percept,included_frozen_reference,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,authorized_full_corpus_freeze_20260609,pass,none,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
S033,phase1,Pair A,"Extending the technology acceptance model: The role of subjective norms, ethics,",included_frozen_reference,6,source_checked_or_logged_reference_draft_rows,phase1_high_confidence_reference_draft_status_20260608.csv,authorized_full_corpus_freeze_20260609,pass_with_caveats,path_or_beta_conversion_caveat,Eligible for post-freeze Step 5 gate using the frozen reference; preserve caveat overlays in interpretation.,full_corpus_reference_standard_frozen_20260609.csv; full_corpus_reference_standard_freeze_authorization_20260609.md; full_corpus_reference_standard_freeze_caveat_register_20260609.csv; full_corpus_reference_application_rows_draft_20260609.csv; phase1_high_confidence_reference_draft_status_20260608.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,draft_status=included_row_draft_high_confidence; decision_summary=Use R1 beta-converted Table 5 path coefficients; retain ATT-EE=.06 from beta .013; exclude R2-only PE-UB=.013.; notes=Full row set drafted from logged decision. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.
