study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S004,S004_full_sample_SI_UB,phase2,Pair D,full_sample,485,SI,UB,0.644,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_TRU_UB,phase2,Pair D,full_sample,485,TRU,UB,0.599,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S031,S031_full_sample_PE_SE,phase2,Pair D,full_sample,353,PE,SE,0.8,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S031,S031_full_sample_PE_TRU,phase2,Pair D,full_sample,353,PE,TRU,0.46,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S031,S031_full_sample_PE_UB,phase2,Pair D,full_sample,353,PE,UB,0.57,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S031,S031_full_sample_SE_TRU,phase2,Pair D,full_sample,353,SE,TRU,0.66,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S031,S031_full_sample_SE_UB,phase2,Pair D,full_sample,353,SE,UB,0.59,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S031,S031_full_sample_TRU_UB,phase2,Pair D,full_sample,353,TRU,UB,0.47,source_reported_pearson_or_latent_correlation,,S031.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.
S098,S098_full_sample_ANX_PE,phase2,Pair D,full_sample,482,ANX,PE,0.621,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S098,S098_full_sample_ANX_SE,phase2,Pair D,full_sample,482,ANX,SE,0.811,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S098,S098_full_sample_ANX_SI,phase2,Pair D,full_sample,482,ANX,SI,0.523,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S098,S098_full_sample_PE_SE,phase2,Pair D,full_sample,482,PE,SE,0.894,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S098,S098_full_sample_PE_SI,phase2,Pair D,full_sample,482,PE,SI,0.586,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S098,S098_full_sample_SE_SI,phase2,Pair D,full_sample,482,SE,SI,0.625,source_reported_pearson_or_latent_correlation,,S098.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.
S131,S131_full_sample_EE_UB,phase2,Pair D,full_sample,277,EE,UB,0.188,beta_converted_peterson_brown,,S131.pdf Table 8,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 8 beta-converted rows with outcome mapped to UB; R3 maps the same beta row pattern to BI and is not drafted.
S131,S131_full_sample_FC_UB,phase2,Pair D,full_sample,277,FC,UB,0.188,beta_converted_peterson_brown,,S131.pdf Table 8,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 8 beta-converted rows with outcome mapped to UB; R3 maps the same beta row pattern to BI and is not drafted.
S131,S131_full_sample_PE_UB,phase2,Pair D,full_sample,277,PE,UB,0.438,beta_converted_peterson_brown,,S131.pdf Table 8,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 8 beta-converted rows with outcome mapped to UB; R3 maps the same beta row pattern to BI and is not drafted.
S131,S131_full_sample_SI_UB,phase2,Pair D,full_sample,277,SI,UB,0.188,beta_converted_peterson_brown,,S131.pdf Table 8,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 8 beta-converted rows with outcome mapped to UB; R3 maps the same beta row pattern to BI and is not drafted.
S143,S143_full_sample_BI_EE,phase2,Pair D,full_sample,390,BI,EE,0.45,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_BI_FC,phase2,Pair D,full_sample,390,BI,FC,0.187,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_BI_PE,phase2,Pair D,full_sample,390,BI,PE,-0.139,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_BI_SI,phase2,Pair D,full_sample,390,BI,SI,0.4,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_EE_FC,phase2,Pair D,full_sample,390,EE,FC,0.45,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_EE_PE,phase2,Pair D,full_sample,390,EE,PE,0.167,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_EE_SI,phase2,Pair D,full_sample,390,EE,SI,-0.129,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_FC_PE,phase2,Pair D,full_sample,390,FC,PE,-0.02,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_FC_SI,phase2,Pair D,full_sample,390,FC,SI,-0.047,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S143,S143_full_sample_PE_SI,phase2,Pair D,full_sample,390,PE,SI,-0.295,source_reported_pearson_or_latent_correlation,,S143.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.
S161,S161_full_sample_ATT_BI,phase2,Pair D,full_sample,315,ATT,BI,0.495,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_ATT_EE,phase2,Pair D,full_sample,315,ATT,EE,0.435,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_ATT_FC,phase2,Pair D,full_sample,315,ATT,FC,0.463,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_ATT_PE,phase2,Pair D,full_sample,315,ATT,PE,0.379,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_BI_EE,phase2,Pair D,full_sample,315,BI,EE,0.577,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_BI_FC,phase2,Pair D,full_sample,315,BI,FC,0.578,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_BI_PE,phase2,Pair D,full_sample,315,BI,PE,0.427,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_EE_FC,phase2,Pair D,full_sample,315,EE,FC,0.455,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_EE_PE,phase2,Pair D,full_sample,315,EE,PE,0.302,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S161,S161_full_sample_FC_PE,phase2,Pair D,full_sample,315,FC,PE,0.407,source_reported_pearson_or_latent_correlation,,S161.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.
S171,S171_full_sample_ATT_BI,phase2,Pair D,full_sample,351,ATT,BI,0.485,source_reported_pearson_or_latent_correlation,,S171.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 subset has sparse source-location strings and omits ATT-UB.
S171,S171_full_sample_ATT_EE,phase2,Pair D,full_sample,351,ATT,EE,0.528,source_reported_pearson_or_latent_correlation,,S171.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 subset has sparse source-location strings and omits ATT-UB.
S171,S171_full_sample_ATT_FC,phase2,Pair D,full_sample,351,ATT,FC,0.47,source_reported_pearson_or_latent_correlation,,S171.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 subset has sparse source-location strings and omits ATT-UB.
S171,S171_full_sample_ATT_PE,phase2,Pair D,full_sample,351,ATT,PE,0.681,source_reported_pearson_or_latent_correlation,,S171.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 subset has sparse source-location strings and omits ATT-UB.
