study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S012,phase1,Pair B,1190,local_source_pdf_text_checked_not_committed,S012.pdf Table 3 Construct correlations,reference_draft_created_from_sqrt_transformed_squared_correlations,10,R4,source_reported_squared_correlation_sqrt_transformed,10 transformed,Use R4 values because PDF Table 3 states off-diagonal entries are inter-construct squared correlations; r_value is the square-root transformed correlation.,NV and PH are outside the retained target row set.,"Final freeze audit should preserve that these are transformed from source-reported squared correlations, not directly printed r values.",Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S018,phase1,Pair A,748,local_source_pdf_text_checked_not_committed,S018.pdf Table 2 Fornell-Larcker,reference_draft_created_from_matching_coder_rows,10,R1,fornell_larcker_off_diagonal_latent_correlation,10 high,Use matching R1/R2 Table 2 values.,Metacognitive self-regulation and learning-management/learning-analytics constructs are excluded from target rows.,No unresolved numeric caveat beyond excluded non-target constructs.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S045,phase1,Pair B,184,local_source_pdf_text_checked_not_committed,S045.pdf Table 3 correlation matrix,reference_draft_created_from_R4_precision_values,10,R4,source_reported_correlation_matrix,10 high,Use R4 more precise Table 3 values; R3 rounded the same row set.,No target source rows excluded.,No remaining caveat beyond preserving source precision.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S052,phase1,Pair B,524,local_source_pdf_text_checked_not_committed,S052.pdf Table 4 correlation matrix,reference_draft_created_from_R4_precision_values,10,R4,source_reported_correlation_matrix,10 high,Use R4 more precise Table 4 values; R3 rounded the same row set.,No target source rows excluded.,No remaining caveat beyond preserving source precision.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S063,phase2,Pair C,388,local_source_pdf_text_checked_not_committed,S063.pdf Table 3 Fornell-Larcker/discriminant validity,reference_draft_created_with_ah_to_ub_caveat,10,R1,fornell_larcker_off_diagonal_latent_correlation,6 high; 4 medium,Use R1 row set. AH is mapped to UB with medium confidence; R4 matches except a rounded EE-PE value.,Perceived risk is excluded from target rows.,AH-to-UB mapping remains a medium-confidence construct-family caveat for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S097,phase1,Pair B,210,local_source_pdf_text_checked_not_committed,S097.pdf Table 2 correlation matrix,reference_draft_created_from_matching_high_correlation_rows,10,R4,source_reported_correlation_matrix,10 high,Use matching R3/R4 Table 2 values; R4 carries source metadata.,No target source rows excluded.,Very high correlations should remain visible in final freeze audit but are source-reported.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S102,phase1,Pair A,284,local_source_pdf_text_checked_not_committed,S102.pdf Table 4 Fornell-Larcker,reference_draft_created_with_technostress_to_anx_caveat,10,R1,fornell_larcker_off_diagonal_latent_correlation,6 high; 4 medium,Use matching R1/R2 Table 4 values. Technostress is mapped to ANX with medium confidence; perceived risk is not mapped.,Perceived risk is excluded rather than mapped to ANX.,Technostress-to-ANX remains a medium-confidence construct-family caveat for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S103,phase2,Pair C,770,local_source_pdf_text_checked_not_committed,S103.pdf Table 2 Pearson correlation matrix,reference_draft_created_with_hei_support_to_fc_caveat,10,R1,source_reported_pearson_correlation,6 high; 4 medium,Use matching R1/R4 Table 2 Pearson values. HEI support is mapped to FC with medium confidence.,Perceived quality and ethical perception are excluded from target rows.,HEI-support-to-FC mapping remains a medium-confidence construct-family caveat.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S119,phase2,Pair C,432,local_source_pdf_text_checked_not_committed,S119.pdf Table 5 Discriminant validity,reference_draft_created_from_matching_table5_rows,10,R1,fornell_larcker_off_diagonal_latent_correlation,10 high,Use matching R1/R4 Table 5 values. PU is selected as primary PE.,"PLE, US, and PLP are excluded from the retained target row set.",PU-as-primary-PE decision should remain visible in final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S136,phase2,Pair C,105,local_source_pdf_text_checked_not_committed,S136.pdf Table 3 Discriminant validity,reference_draft_created_from_matching_table3_rows,10,R1,fornell_larcker_off_diagonal_latent_correlation,10 high,Use matching R1/R4 Table 3 values.,Hedonic motivation and habit are excluded from target rows.,No unresolved caveat beyond excluded non-target UTAUT2 constructs.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
