study_id,phase_block,pair,title,n_one_coder_only,n_numeric_or_source_diff,n_metadata_diff,n_coder_correlation_rows,triage_bucket,recommended_batch,evidence_basis,review_note
S018,phase1,Pair A,Extending the TAM framework: Exploring learning motivation and agility in educat,0,10,7,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S045,phase1,Pair B,Factors influencing the acceptance and use of ChatGPT among English as a foreign,0,10,5,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S052,phase1,Pair B,Modeling students’ perceptions of artificial intelligence assisted language lear,0,10,6,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S063,phase2,Pair C,Student utilization and perceptions of AI technology for academic purposes: a mi,0,10,8,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S097,phase1,Pair B,Applying the technology acceptance model to examine factors influencing chatbot,0,10,2,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S102,phase1,Pair A,Understanding university students' adoption of ChatGPT: A TAM-based exploration,0,10,7,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S103,phase2,Pair C,Antecedents of students' behavioural intention to use generative artificial inte,0,10,11,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S119,phase2,Pair C,The moderating role of ethnic culture on adoption intention of generative artifi,0,10,8,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S136,phase2,Pair C,Factors Influencing the Reported Intention of Higher Vocational Computer Science,0,10,8,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S072,phase1,Pair B,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,10,7,2,42,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S060,phase1,Pair B,Factors affecting EFL students' behavioral intention to use AI in EFL writing de,15,0,14,15,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S127,phase1,Pair B,Academic Level as a Moderator in University Students' Acceptance of Educational,15,0,15,15,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S193,phase1,Pair B,Using Artificial Intelligence Technology to Improve Business English Language Te,15,0,14,15,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S200,phase2,Pair C,Chatbot Technology Use and Acceptance Using Educational Personas,10,5,9,20,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 3 source audit completed; manual follow-up required before row draft; manual blocker resolved by researcher decision 2026-06-08; row draft emitted in full_corpus_manual_blocker_reference_draft_20260608.csv
S157,phase2,Pair D,Examining the moderating effect of motivation on technology acceptance of genera,13,1,6,43,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S065,phase2,Pair D,Examining factors influencing university students' perceptions of AI technologie,10,3,6,20,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S214,phase1,Pair B,ChatGPT in higher education learning: Acceptance and use,11,0,2,31,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S099,phase2,Pair D,Artificial intelligence and communication technologies in academia: faculty perc,10,0,6,26,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed; manual follow-up required before row draft; manual blocker resolved by researcher decision 2026-06-08; row draft emitted in full_corpus_manual_blocker_reference_draft_20260608.csv
S130,phase1,Pair B,Mindsets Matter: A Mediation Analysis of the Role of a Technological Growth Mind,10,0,15,10,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S141,phase1,Pair B,Artificial Intelligence Adoption Amongst Digitally Proficient Trainee Teachers:,10,0,15,10,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S154,phase1,Pair B,Factors influencing students' intention to adopt and use ChatGPT in higher educa,10,0,14,10,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S174,phase1,Pair B,Students' adoption of AI-based teacher-bots (T-bots) for learning in higher educ,10,0,14,10,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S197,phase2,Pair D,Modeling Teachers' Acceptance of Generative Artificial Intelligence Use in Highe,10,0,7,12,one_coder_only_heavy,batch_3_one_coder_only,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 3 source audit completed in full_corpus_residual_batch3_source_audit_20260608.csv
S163,phase1,Pair B,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive,7,9,3,25,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S156,phase1,Pair A,Investigating AI-based academic support acceptance and its impact on students' p,8,6,7,20,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S183,phase2,Pair D,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model I,5,9,5,25,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S186,phase1,Pair B,AI in medical education: the moderating role of the chilling effect and STARA aw,5,9,6,25,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S007,phase1,Pair B,Artificial intelligence teaching assistant adoption in university education: Key,7,4,2,15,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S125,phase1,Pair B,Exploring AI tool adoption in higher education: evidence from a PLS-SEM model in,9,2,4,21,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S201,phase1,Pair A,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Busi,4,6,8,16,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S009,phase1,Pair A,Bridging expectations and reality: Addressing the price-value paradox in teacher,1,8,7,17,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S070,phase2,Pair C,Factors affecting intention of academic librarians in Pakistan universities to u,4,5,10,26,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S095,phase1,Pair A,"Generative artificial intelligence acceptance, anxiety, and behavioral intention",4,5,8,14,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S129,phase2,Pair C,Examining the Influence of AI on Python Programming Education: An Empirical Stud,0,9,9,18,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S055,phase1,Pair B,Predictors of higher education students' behavioural intention and usage of Chat,6,2,2,36,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S131,phase2,Pair D,Generative AI as a Cognitive Co-Pilot in English Language Learning in Higher Edu,8,0,6,8,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S212,phase1,Pair B,Every Coin has Two Sides: Navigating Factors of Generative Pre-Trained Transform,3,5,5,13,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S017,phase1,Pair B,Are university teachers ready for generative artificial intelligence? Unpacking,7,0,4,7,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S031,phase2,Pair D,Association between Generative AI self-efficacy and Generative AI acceptance: Th,7,0,7,9,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S071,phase1,Pair A,Assessing attitudes and impact of AI integration in higher education,3,4,8,11,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S073,phase1,Pair B,Developing enrollment intentions for work-based learning that uses artificial in,7,0,6,7,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S112,phase2,Pair C,Determinants of Generative AI Adoption in Higher Education: A Social Science Per,0,7,6,14,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S117,phase1,Pair B,Factors Influencing International Students' Adoption of Generative Artificial In,7,0,7,7,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S176,phase1,Pair B,Examining ChatGPT adoption among educators in higher educational institutions us,7,0,1,49,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S216,phase2,Pair C,Understanding the Factors Influencing Higher Education Students' Intention to Ad,1,6,10,13,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S004,phase2,Pair D,Unveiling the drivers of ChatGPT utilization in higher education sectors: the di,2,4,4,42,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S010,phase1,Pair B,International perspectives on artificial intelligence in higher education: An ex,6,0,7,6,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S038,phase1,Pair A,ChatGPT in higher education - A Student's perspective,0,6,7,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S042,phase1,Pair A,Factors affecting Artificial Intelligence usage intention among nursing students,0,6,6,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S043,phase1,Pair B,University EFL instructors' engagement with generative AI: A cross-cultural anal,6,0,15,6,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S058,phase2,Pair C,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,0,6,12,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S069,phase2,Pair C,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,0,6,10,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S093,phase2,Pair C,Assessing ChatGPT adoption in Jordanian medical education: a UTAUT model approac,0,6,8,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S104,phase1,Pair A,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,0,6,10,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S111,phase1,Pair B,FACTORS INFLUENCING ARTIFICIAL INTELLIGENCE (AI) ADOPTION AMONG MALAYSIAN STUDEN,3,3,3,9,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S113,phase2,Pair C,A MODEL FOR THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN INCLUSIVE EDUCATION: AN E,3,3,9,9,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S134,phase2,Pair C,Learners' Acceptance of ChatGPT in School,0,6,7,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S160,phase1,Pair B,"Exploring the paradoxical use of ChatGPT in education: Analyzing benefits, risks",6,0,15,6,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S181,phase2,Pair D,University Learners' Readiness for ChatGPT-Assisted English Learning: Scale Deve,0,6,6,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S192,phase2,Pair C,"Utilization of, Perceptions on, and Intention to Use AI Chatbots Among Medical S",1,5,8,11,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S204,phase2,Pair D,Understanding Chinese University EFL Learners' Perceptions of AI in English Writ,4,2,6,14,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S207,phase2,Pair D,Antecedents of adoption and usage of ChatGPT among Jordanian university students,0,6,6,12,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S225,phase1,Pair B,AI-Based Chatbots Adoption Model for Higher-Education Institutions: A Hybrid PLS,6,0,14,6,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S020,phase1,Pair B,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Pe,5,0,2,17,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S026,phase1,Pair B,Exploring the usage behavior of generative artificial intelligence: a case study,5,0,5,25,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S064,phase1,Pair A,AIDUA (artificial intelligence device use and acceptance) model to assess the ac,2,3,7,8,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S089,phase2,Pair C,Impact of AI adoption on the digital workplace and accounting education for univ,0,5,8,10,moderate_correlation_adjudication,batch_4_moderate,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
