study_id,phase_block,pair,title,year,doi,pdf,coder_a,coder_a_status,coder_b,coder_b_status,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,n_coder_correlation_rows,in_correlation_review_queue,source_evidence_logged,scoped_frozen_target_rows,scoped_frozen_audit_status,phase2_source_check_status,gap_category,step4_status,recommended_next_action,evidence_basis,review_note
S074,phase1,Pair A,Understanding AI acceptance among Indonesian pre-service teachers: the mediating,2025,10.1108/JARHE-05-2025-0358,S074.pdf,R1,done,R2,done,21,6,0,15,30,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences; numeric/source correlation differences
S076,phase1,Pair A,ChatGPT in the classroom: navigating the generative AI wave among international,2025,10.1108/JIEB-08-2024-0097,S076.pdf,R1,done,R2,done,26,8,6,12,30,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S079,phase1,Pair A,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementin,2025,10.1109/ACCESS.2025.3568834,S079.pdf,R1,done,R2,done,12,7,0,5,10,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S081,phase1,Pair A,Gen AI Literacy and Acceptance Among EFL Teachers: An Exploration Through the UT,2025,10.1111/ejed.70364,S081.pdf,R1,done,R2,done_inferred,17,7,0,10,20,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S086,phase1,Pair A,Investigating the factors influencing the adoption and use of artificial intelli,2025,10.1177/02666669251333147,S086.pdf,R1,done,R2,done,23,6,0,17,42,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences; numeric/source correlation differences
S087,phase1,Pair A,"Impact of technology literacy, information literacy, and user satisfaction on th",2025,10.1177/02666669251366666,S087.pdf,R1,done,R2,done,20,6,1,13,29,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S091,phase1,Pair A,Predicting Chinese Postgraduates' Intention to Use Generative Artificial Intelli,2025,10.1177/21582440251406744,S091.pdf,R1,done,R2,done,15,9,0,6,12,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S095,phase1,Pair A,"Generative artificial intelligence acceptance, anxiety, and behavioral intention",2025,10.1186/s12912-025-03436-8,S095.pdf,R1,done,R2,done,17,8,4,5,14,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S102,phase1,Pair A,Understanding university students' adoption of ChatGPT: A TAM-based exploration,2025,10.15240/tul/001/2025-5-023,S102.pdf,R1,done,R2,done,17,7,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S104,phase1,Pair A,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,2025,10.1590/1983-3652.2025.57135,S104.pdf,R1,done,R2,done,16,10,0,6,12,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S120,phase1,Pair A,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantit,2025,10.3389/feduc.2025.1652292,S120.pdf,R1,done,R2,done,16,8,3,5,13,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S151,phase1,Pair A,Perceived Ease of Use and Usefulness in AI-Generated Content Adoption: Gender as,2025,10.53761/gka8jq15,S151.pdf,R1,done,R2,done,16,8,0,8,20,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S156,phase1,Pair A,Investigating AI-based academic support acceptance and its impact on students' p,2024,10.1007/s10639-024-12599-x,S156.pdf,R1,done,R2,done,21,7,8,6,20,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S164,phase1,Pair A,ChatGPT acceptance and use through UTAUT and TPB: A big survey in five Indonesia,2024,10.1016/j.ssaho.2024.101136,S164.pdf,R1,done,R2,done,29,8,0,21,42,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/03_source_document_adjudication/meeting_packets/Paper_B_P0_P3_Adjudication_Meeting_Packet_20260529.md,metadata differences; numeric/source correlation differences
S166,phase1,Pair A,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAU,2024,10.1080/08839514.2024.2371168,S166.pdf,R1,done,R2,done_inferred,20,15,5,0,5,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences; one-coder-only correlation values
S168,phase1,Pair A,To use or not to use ChatGPT in higher education? A study of students' acceptanc,2024,10.1080/10494820.2023.2209881,S168.pdf,R1,done,R2,done,10,4,0,6,12,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences; numeric/source correlation differences
S169,phase1,Pair A,Revolutionizing education: Artificial intelligence empowered learning in higher,2024,10.1080/2331186x.2023.2293431,S169.pdf,R1,done,R2,done,22,7,5,10,25,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S177,phase1,Pair A,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for le,2024,10.1108/JRIT-05-2024-0116,S177.pdf,R1,done,R2,done,11,8,0,3,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S178,phase1,Pair A,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted,2024,10.1109/ACCESS.2024.3445909,S178.pdf,R1,done,R2,done,28,8,15,5,25,yes,yes,10,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,R2 construct remapping of IDT constructs is rejected for this draft and should remain visible in final audit notes.
S180,phase1,Pair A,Using explainable AI to unravel classroom dialogue analysis: Effects of explanat,2024,10.1111/bjet.13466,S180.pdf,R1,done,R2,excluded,15,15,0,0,0,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; exclusion/source-check
S187,phase1,Pair A,Acceptance of artificial intelligence and its effect on entrepreneurial intentio,2024,10.1186/s13731-024-00412-5,S187.pdf,R1,done,R2,done,21,6,5,10,25,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S189,phase1,Pair A,"Exploring indian students’ perception, behavioral intentions, and motivation for",2024,10.17010/pijom/2024/v17i12/174055,S189.pdf,R1,done,R2,done,13,7,0,6,12,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences; numeric/source correlation differences
S190,phase1,Pair A,Factors Affecting Students’ Willingness to Use Artificial Intelligence in Univer,2024,10.18178/ijiet.2024.14.12.2207,S190.pdf,R1,done,R2,done,28,7,7,14,35,yes,yes,21,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,ATT/ANX/FC mappings are moderate-confidence construct-family decisions for final expert freeze audit.
S191,phase1,Pair A,Understanding teachers' intentions and use of AI tools for research,2024,10.20368/1971-8829/1135969,S191.pdf,R1,done,R2,done_inferred,34,13,21,0,21,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values
S196,phase1,Pair A,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationsh,2024,10.3390/educsci14070740,S196.pdf,R1,done,R2,excluded,13,13,0,0,0,yes,no,0,,,correlation_queue_lightweight_audit_pending,pre_adjudication_correlation_queue_not_frozen,Confirm whether correlation queue issue is resolved by existing coder agreement or needs source audit.,combined_correlation_review_queue_20260525.csv,metadata differences; exclusion/source-check
S201,phase1,Pair A,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Busi,2024,10.3390/informatics11030054,S201.pdf,R1,done,R2,done,18,8,4,6,16,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S211,phase1,Pair A,"The determinants of ChatGPT usage among accounting students: the role of habit,",2024,10.5604/01.3001.0054.7264,S211.pdf,R1,done,R2,done,15,13,2,0,2,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S217,phase1,Pair A,Examining students' intention to use ChatGPT: Does trust matter?,2023,10.14742/ajet.8956,S217.pdf,R1,done,R2,done_inferred,24,14,10,0,10,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values
S220,phase1,Pair A,Determinants of Intentions to Use Digital Mental Healthcare Content among Univer,2023,10.3390/su15010872,S220.pdf,R1,done,R2,done,14,12,2,0,2,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values
S223,phase1,Pair A,Understanding key drivers affecting students' use of artificial intelligence-bas,2022,10.1007/s10639-022-10947-3,S223.pdf,R1,done,R2,done,37,8,9,20,49,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S007,phase1,Pair B,Artificial intelligence teaching assistant adoption in university education: Key,2025,10.1007/s10639-025-13360-8,S007.pdf,R3,done,R4,done,13,2,7,4,15,yes,yes,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S010,phase1,Pair B,International perspectives on artificial intelligence in higher education: An ex,2025,10.1007/s10639-025-13492-x,S010.pdf,R3,done,R4,done,13,7,6,0,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values
S012,phase1,Pair B,College students' use behavior of generative AI and its influencing factors unde,2025,10.1007/s10639-025-13508-6,S012.pdf,R3,done,R4,done,12,2,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
