study_id,phase_block,pair,title,audit_type,audit_status,study_terminal_status,exclusion_code,coder_a,coder_a_status,coder_b,coder_b_status,n_metadata_diff,n_coder_correlation_rows,n_unique_coder_agreed_reference_rows,target_row_adjudication_required,source_value_adjudication_required,source_check_level,metadata_status_decision,correlation_status_decision,final_freeze_handling,evidence_basis,notes
S215,phase1,Pair B,The impact of technology readiness and use perceptions on students’ adoption of,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R3,done,R4,done,5,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,Coder notes and lightweight PDF check indicate a short research brief with hierarchical regression lacking standardized beta values usable for beta-to-r conversion; no target matrix rows.
S219,phase1,Pair B,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology A,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,5,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S003,phase2,Pair C,The moderating role of technology proficiency and academic discipline in AI-chat,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,9,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S006,phase2,Pair C,Exploring the adoption of AI-enabled English learning applications among univers,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,5,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S029,phase2,Pair C,Key factors influencing intention to use ChatGPT: An empirical study of U. S. st,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S036,phase2,Pair C,Factors affecting acceptance of ChatGPT-4o by English language instructors: The,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,6,42,21,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,21 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S037,phase2,Pair C,Factors influencing intention to adopt an AI chatbot for learning in higher educ,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S040,phase2,Pair C,Integrating AI chatbots for enhancing academic support in business education: A,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,8,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S049,phase2,Pair C,Exploring factors influencing L2 learners’ use of GAI-assisted writing technolog,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,10,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S062,phase2,Pair C,Factors influencing the acceptance and usage of ChatGPT as an emerging learning,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,6,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S082,phase2,Pair C,What Drives University Students to Use ChatGPT for Translation? Disciplinary and,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,5,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S088,phase2,Pair C,Generative AI in Higher Education Assessments: Examining Risk and Tech-Savviness,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,42,21,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,21 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S116,phase2,Pair C,Higher education students' ChatGPT use behavior: Structural equation modelling o,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S122,phase2,Pair C,Adoption intention of generative artificial intelligence among Chinese college s,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S126,phase2,Pair C,Prediction of the Use of Generative Artificial Intelligence Through ChatGPT Amon,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,5,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S128,phase2,Pair C,Examining the Acceptance and Use of AI-Based Assistive Technology Among Universi,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S138,phase2,Pair C,Modeling Student Acceptance of AI Technologies in Higher Education: A Hybrid SEM,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,56,28,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,28 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 28 of 28 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S139,phase2,Pair C,Determinants of ChatGPT Adoption Intention in Higher Education: Expanding on TAM,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,8,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S140,phase2,Pair C,"Trust in Generative AI Tools: A Comparative Study of Higher Education Students,",metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,10,2,1,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,1 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 1 of 1 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S159,phase2,Pair C,"Integrating the adapted UTAUT model with moral obligation, trust and perceived r",metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,5,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S172,phase2,Pair C,An exploratory study of artificial intelligence adoption in higher education,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S182,phase2,Pair C,Factors Influencing University Students' Behavioural Intention to Use Generative,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,7,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S199,phase2,Pair C,Determinants of Humanities and Social Sciences Students' Intentions to Use Artif,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,6,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S203,phase2,Pair C,Exploring the Key Factors Influencing College Students' Willingness to Use AI Co,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,8,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S205,phase2,Pair C,Factors Affecting the Adoption and Use of ChatGPT in Higher Education,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R1,done,R4,done,5,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S008,phase2,Pair D,Students' behavioural intention to use content generative AI for learning and re,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,7,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S022,phase2,Pair D,Instrumental and integrative motivations predict intention to use generative AI,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,5,6,3,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,3 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 1 of 3 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S083,phase2,Pair D,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R2,done,R3,done,5,12,6,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,6 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 6 of 6 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
