study_id,phase_block,pair,title,current_progress_status,gap_status,proposed_audit_type,proposed_terminal_status_strategy,n_reference_rows_target,source_location_policy,decision_source,evidence_basis,next_action,risk_note
S215,phase1,Pair B,The impact of technology readiness and use perceptions on students’ adoption of,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S219,phase1,Pair B,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology A,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S003,phase2,Pair C,The moderating role of technology proficiency and academic discipline in AI-chat,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S006,phase2,Pair C,Exploring the adoption of AI-enabled English learning applications among univers,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S029,phase2,Pair C,Key factors influencing intention to use ChatGPT: An empirical study of U. S. st,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S036,phase2,Pair C,Factors affecting acceptance of ChatGPT-4o by English language instructors: The,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S037,phase2,Pair C,Factors influencing intention to adopt an AI chatbot for learning in higher educ,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S040,phase2,Pair C,Integrating AI chatbots for enhancing academic support in business education: A,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S049,phase2,Pair C,Exploring factors influencing L2 learners’ use of GAI-assisted writing technolog,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S062,phase2,Pair C,Factors influencing the acceptance and usage of ChatGPT as an emerging learning,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S082,phase2,Pair C,What Drives University Students to Use ChatGPT for Translation? Disciplinary and,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S088,phase2,Pair C,Generative AI in Higher Education Assessments: Examining Risk and Tech-Savviness,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S116,phase2,Pair C,Higher education students' ChatGPT use behavior: Structural equation modelling o,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S122,phase2,Pair C,Adoption intention of generative artificial intelligence among Chinese college s,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S126,phase2,Pair C,Prediction of the Use of Generative Artificial Intelligence Through ChatGPT Amon,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S128,phase2,Pair C,Examining the Acceptance and Use of AI-Based Assistive Technology Among Universi,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S138,phase2,Pair C,Modeling Student Acceptance of AI Technologies in Higher Education: A Hybrid SEM,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S139,phase2,Pair C,Determinants of ChatGPT Adoption Intention in Higher Education: Expanding on TAM,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S140,phase2,Pair C,"Trust in Generative AI Tools: A Comparative Study of Higher Education Students,",metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S159,phase2,Pair C,"Integrating the adapted UTAUT model with moral obligation, trust and perceived r",metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S172,phase2,Pair C,An exploratory study of artificial intelligence adoption in higher education,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S182,phase2,Pair C,Factors Influencing University Students' Behavioural Intention to Use Generative,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S199,phase2,Pair C,Determinants of Humanities and Social Sciences Students' Intentions to Use Artif,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S203,phase2,Pair C,Exploring the Key Factors Influencing College Students' Willingness to Use AI Co,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S205,phase2,Pair C,Factors Affecting the Adoption and Use of ChatGPT in Higher Education,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S008,phase2,Pair D,Students' behavioural intention to use content generative AI for learning and re,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S022,phase2,Pair D,Instrumental and integrative motivations predict intention to use generative AI,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S083,phase2,Pair D,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S106,phase2,Pair D,Unleashing the determinants of adoption of ChatGPT in medical education: A stude,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S107,phase2,Pair D,Integrating AI in Academia: A SEM Evaluation of Research Scholars’ Usage Intenti,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S123,phase2,Pair D,Balancing generative AI integration and faculty well-being: evidence from Chines,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
