study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S061,phase2,Pair C,473,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_mixed_table5_direct_and_table6_beta_converted_rows,7,R1,6 source_reported_direct_correlation_or_latent_correlation; 1 standardized_path_beta_converted,7 medium,Use R1 source-located mixed row set: Table 5 direct rows plus Table 6 beta-converted BI-FC row; R4 subset omits BI-FC.,Non-selected coder row set(s) not drafted: R4,mixed direct and beta-converted rows; retain source-type caveat in final freeze audit,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S080,phase2,Pair C,251,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_tableIII_rows,4,R1,4 standardized_path_beta_converted,4 medium,Use R1 source-located Table III beta-converted rows; R4 retains raw beta values.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S115,phase2,Pair C,112,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_complete_direct_heatmap_rows_with_final_visual_caveat,6,R4,6 source_reported_direct_correlation_or_latent_correlation,6 medium,"Use R4 complete direct Figure 2/category-wise correlation matrix row set; R1 source-located subset omits ATT-EE, ATT-PE, and EE-PE. Final visual audit should confirm source table labels because selected rows lack source-location strings.",Non-selected coder row set(s) not drafted: R1,selected direct heatmap rows need final visual table-label audit because source-location strings are blank,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S152,phase2,Pair C,604,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table3_rows,3,R1,3 standardized_path_beta_converted,3 medium,Use R1 source-located Table 3 beta-converted rows; R4 retains raw beta values.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S002,phase2,Pair D,300,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table9_direct_rows,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S024,phase2,Pair D,486,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_beta_converted_table6_rows,9,R2,9 standardized_path_beta_converted,9 medium,Use R2 source-located Table 6 beta-converted rows; R3 adds ATT-TRU and BI-SI rows with blank source-location strings.,Non-selected coder row set(s) not drafted: R3,beta-converted path rows; R3 extra ATT-TRU/BI-SI rows remain final-freeze audit caveats,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S025,phase2,Pair D,361,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,21,R2,21 source_reported_direct_correlation_or_latent_correlation,21 high,Use R2 source-located Table 3 direct row set; R3 duplicates values but has sparse source-location strings.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S027,phase2,Pair D,415,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table6_direct_rows,10,R2,10 source_reported_direct_correlation_or_latent_correlation,10 high,Use R2 source-located Table 6 direct row set; R3 duplicates values but has sparse source-location strings.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S032,phase2,Pair D,804,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table4_direct_rows_with_mapping_caveat,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 medium,Use R2 source-located Table 4 direct row set; R3 duplicates most values but differs on SE-UB versus SI-UB mapping.,Non-selected coder row set(s) not drafted: R3,SE-UB/SI-UB mapping discrepancy remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S068,phase2,Pair D,320,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_beta_converted_figure1_rows,7,R2,7 standardized_path_beta_converted,7 medium,Use R2 source-located Figure 1 beta-converted rows; R3 duplicates values with sparse source-location strings.,Non-selected coder row set(s) not drafted: R3,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S077,phase2,Pair D,308,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_complete_direct_rows_with_final_visual_caveat,10,R3,10 source_reported_direct_correlation_or_latent_correlation,10 medium,Use R3 complete direct row set including social-support/SI mappings; R2 source-located subset omits SI rows. Final visual audit should confirm source table labels because most selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R2,selected direct rows need final visual table-label audit; SI/social-support mapping retained as caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S078,phase2,Pair D,668,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,6,R2,6 source_reported_direct_correlation_or_latent_correlation,6 high,Use R2 source-located Table 3 direct row set; R3 duplicates values but lacks source-location strings.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S085,phase2,Pair D,156,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table2_direct_rows,3,R2,3 source_reported_direct_correlation_or_latent_correlation,3 high,Use R2 source-located Table 2 direct rows; R3 marks the same values as original_beta.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S094,phase2,Pair D,517,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_beta_converted_table3_row,1,R3,1 standardized_path_beta_converted,1 medium,Use R3 source-located Table 3 beta-converted PE-TRU row; R2 records the same value as direct but lacks source-location.,Non-selected coder row set(s) not drafted: R2,single beta-converted row; retain beta-conversion caveat in final freeze audit,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S096,phase2,Pair D,264,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_direct_rows_with_source_label_caveat,2,R2,2 source_reported_direct_correlation_or_latent_correlation,2 medium,Use R2 direct ANX rows; R3 marks the same values as beta-converted. Final visual audit should confirm source labels because one selected row has only a construct label source-location.,Non-selected coder row set(s) not drafted: R3,direct row source-label caveat; retain final visual audit requirement,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S114,phase2,Pair D,255,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,14,R2,14 source_reported_direct_correlation_or_latent_correlation,14 high,Use R2 source-located Table 3 direct row set; R3 adds EE-UB with sparse source-location strings.,Non-selected coder row set(s) not drafted: R3,R3 extra EE-UB row remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S135,phase2,Pair D,302,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table13_direct_rows_with_mapping_caveat,10,R2,10 source_reported_direct_correlation_or_latent_correlation,10 medium,Use R2 source-located Table 13 direct row set; R3 duplicates values but differs on PE-SE versus PE-SI mapping.,Non-selected coder row set(s) not drafted: R3,PE-SE/PE-SI mapping discrepancy remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S137,phase2,Pair D,760,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table2_direct_rows_with_mapping_caveat,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 medium,Use R2 source-located Table 2 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping.,Non-selected coder row set(s) not drafted: R3,PE-SE/FC-UB mapping discrepancy remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S150,phase2,Pair D,124,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_beta_converted_table5_rows,4,R2,4 standardized_path_beta_converted,4 medium,Use R2 source-located Table 5 beta-converted rows; R3 adds FC-UB and SI-UB rows with blank source-location strings.,Non-selected coder row set(s) not drafted: R3,beta-converted path rows; R3 extra FC-UB/SI-UB rows remain final-freeze audit caveats,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S210,phase2,Pair D,400,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table4_direct_rows,6,R2,6 source_reported_direct_correlation_or_latent_correlation,6 high,"Use R2 source-located Table 4 direct row set; R3 duplicates row labels but differs numerically on BI-PE, EE-PE, and PE-SE.",Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S221,phase2,Pair D,400,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table6_direct_rows_with_mapping_caveat,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 medium,Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping.,Non-selected coder row set(s) not drafted: R3,PE-SE/FC-UB mapping discrepancy remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
