study_id,phase_block,pair,decision_level,step4_application_status,decision_summary,recommended_step4_action,can_enter_full_freeze_without_additional_source_check,evidence_basis,notes
S087,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_row_filter,"Exclude Satisfaction from ATT; Satisfaction-Performance Expectancy is not usable as ATT-PE.","Remove Satisfaction-as-ATT rows and audit any remaining ATT rows against source wording.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","The 2026-04-29 amendment supersedes the earlier mapping."
S091,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_metadata_and_row_audit,"Use N = 382; code the tool as ChatGPT-specific; retain the checked statistical coding decision.","Apply N/tool metadata decision and audit retained statistical rows before final reference drafting.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Metadata decision is explicit, but full target-row audit remains."
S120,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use R1 beta-converted path-coefficient values: BI-EE = .06, BI-FC = .19, BI-PE = .32, BI-SI = .14, BI-UB = .69; exclude R2-only SI-TRU, SI-UB, and TRU-UB.","Draft the five R1 beta-converted rows and exclude the R2-only rows.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Subgroup effects were Fisher-z weighted across students n=320 and instructors n=31."
S151,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use source-reported FC-UB = .558; UB rows include use-frequency plus continuation-intention wording and should be flagged.","Apply .558 with three-decimal precision and carry the UB wording flag into the audit layer.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Preserve source precision rather than rounded .56."
S164,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use EE-SI = -0.024, FC-PE = 0.716, and PE-UB = 0.632.","Apply the three source-checked values and audit remaining target rows for this study.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","R1/R2 raw entries still differ, so Step 4 must carry the logged final values."
S166,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_source_type_audit,"Only HTMT and structural paths were reported; target paths were beta-converted.","Exclude HTMT-only evidence from target correlations and audit beta-converted structural paths.",no,"phase1/decision_log_20260424.md","HTMT-only evidence is not usable for the MASEM target matrix."
S168,phase1,Pair A,phase1_progress_logged_needs_source_value_audit,pending_source_value_audit,"Phase 1 progress logged, but no special row rule or final value decision was found in the decision log.","Run source-value audit before creating Step 4 reference rows.",no,"phase1/decision_log_20260424.md","Progress evidence alone is not enough for freeze-layer rows."
S180,phase1,Pair A,exclude_study_ready_for_full_freeze_audit,pending_exclusion_layer_application,"Exclude study as E-FT1: no usable target construct-pair r or beta matrix is available.","Carry exclusion code, source stage, and rationale into the full-corpus reference status/exclusion layer.",yes,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Logged exclusion can enter the exclusion layer, subject to routine final audit."
S187,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_construct_mapping_audit,"Map stress/anxious wording to ANX with a flag for adjudication traceability.","Keep flagged ANX mapping only after source wording confirms anxiety, fear, apprehension, or threat-affect fit.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Construct mapping is explicit but still needs source-wording audit."
S189,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_metadata_and_construct_audit,"Map Perception using ChatGPT to ATT; article text reports N=236 while table note appears to show n=237.","Resolve N mismatch and audit ATT mapping before freezing target rows.",no,"phase1/decision_log_20260424.md","N mismatch changes weighting if unresolved."
S191,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,reconciliation_required_before_row_creation,"Use R2 direct Table 2 values for unresolved R1-R2 correlation differences.","Reconcile the current derived long table/workbook/source because the logged decision points to R2 values while the combined extracted long table currently shows no R2 correlation rows for S191.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Logged value decision is explicit, but current derived-data availability blocks direct row creation."
S217,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use R1 direct Table 4 values; exclude R2-only construct-pair placements that duplicate IU-PEU and IU-PU mappings under different target labels.","Draft R1 Table 4 rows and exclude conflicting R2-only placements.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Ready for reference draft after row-level audit."
S220,phase1,Pair A,exclude_study_ready_for_full_freeze_audit,pending_exclusion_layer_application,"Exclude study as E-FT3: digital mental healthcare chatbot/content acceptance, not educational AI adoption.","Carry exclusion code, source stage, and rationale into the full-corpus reference status/exclusion layer.",yes,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Logged exclusion can enter the exclusion layer, subject to routine final audit."
S223,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_source_value_audit,"R1-coded value accepted.","Carry the accepted R1 value into the adjudicated reference after source/value audit confirms the final row set.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Decision identifies the preferred coder value, but not a complete audited row set."
