study_id,observed_pair_count,missing_pair_count,has_anx_tru,missing_pairs
S183,15,30,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-UB;EE-SE;EE-UB;FC-SE;FC-TRU;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S194,15,30,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S198,15,30,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S221,15,30,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;FC-UB;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S114,14,31,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S185,14,31,False,ANX-BI;ANX-FC;ANX-SE;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S065,11,34,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-PE;BI-SE;BI-SI;EE-PE;EE-SE;EE-SI;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S007,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S012,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S027,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S028,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S045,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S047,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S052,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S135,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S143,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S161,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S163,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;BI-EE;BI-FC;BI-SE;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S186,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;EE-SE;EE-SI;EE-TRU;FC-SE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S208,10,35,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-UB;EE-FC;EE-SE;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S219,10,35,False,ANX-FC;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S184,9,36,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-PE;BI-TRU;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;PE-UB;SE-TRU;SI-TRU;TRU-UB
S097,8,37,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S017,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S020,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S031,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;SE-SI;SI-TRU;SI-UB
S077,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S078,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S083,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S098,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S125,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-FC;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S142,6,39,False,ANX-BI;ANX-EE;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ATT-BI;ATT-EE;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S145,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S155,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-UB;EE-FC;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S181,6,39,False,ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-TRU;ANX-UB;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S209,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S210,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S218,6,39,False,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
