ai_trace_status,candidate_status,recommended_human_action,study_id,missing_pair,construct_1,construct_2,present_full10_pairs,missing_full10_pairs,sample_size_values_seen,candidate_value,construct_1_terms_found,construct_2_terms_found,table_terms_found,base_study_id_used_for_source_text,source_packet_exists,source_packet_file,pdf_exists,pdf_matched_stem,pdf_text_status,pdf_path_local_only,paper_b_boundary
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,PE-TRU,PE,TRU,28,17,582.0,,PE;PU;perceived usefulness;performance expectancy;useful;usefulness,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,PE-UB,PE,UB,28,17,582.0,,PE;PU;perceived usefulness;performance expectancy;useful;usefulness,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,SE-TRU,SE,TRU,28,17,582.0,,SE;efficacy;self-efficacy,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,SE-UB,SE,UB,28,17,582.0,,SE;efficacy;self-efficacy,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,SI-TRU,SI,TRU,28,17,582.0,,SI;social influence;subjective norm,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,SI-UB,SI,UB,28,17,582.0,,SI;social influence;subjective norm,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,TRU-UB,TRU,UB,28,17,582.0,,trust,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-ATT,ANX,ATT,28,17,200.0,,anxiety;fear,ATT;attitude;attitude toward;attitudes,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-BI,ANX,BI,28,17,200.0,,anxiety;fear,BI;behavioral intention;intention to use,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-EE,ANX,EE,28,17,200.0,,anxiety;fear,EE;PEOU;ease of use;easy to use;perceived ease of use,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-FC,ANX,FC,28,17,200.0,,anxiety;fear,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-PE,ANX,PE,28,17,200.0,,anxiety;fear,PE;PU;perceived usefulness;useful;usefulness,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-SE,ANX,SE,28,17,200.0,,anxiety;fear,SE;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-SI,ANX,SI,28,17,200.0,,anxiety;fear,SI;social influence,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-TRU,ANX,TRU,28,17,200.0,,anxiety;fear,TRU;trust;trustworthiness,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ANX-UB,ANX,UB,28,17,200.0,,anxiety;fear,UB;actual use;usage behavior;use,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,ATT-FC,ATT,FC,28,17,200.0,,ATT;attitude;attitude toward;attitudes,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,BI-FC,BI,FC,28,17,200.0,,BI;behavioral intention;intention to use,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,EE-FC,EE,FC,28,17,200.0,,EE;PEOU;ease of use;easy to use;perceived ease of use,FC;resources;support,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,FC-PE,FC,PE,28,17,200.0,,FC;resources;support,PE;PU;perceived usefulness;useful;usefulness,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,FC-SE,FC,SE,28,17,200.0,,FC;resources;support,SE;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,FC-SI,FC,SI,28,17,200.0,,FC;resources;support,SI;social influence,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,FC-TRU,FC,TRU,28,17,200.0,,FC;resources;support,TRU;trust;trustworthiness,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S138,FC-UB,FC,UB,28,17,200.0,,FC;resources;support,UB;actual use;usage behavior;use,correlation;correlations;fornell;larcker;latent;table,S138,true,S138_source_packet_20260609.txt,true,S138,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-ATT,ANX,ATT,28,17,1214.0,,anxiety,ATT;attitudes,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-BI,ANX,BI,28,17,1214.0,,anxiety,BI;behavioral intention;behavioural intention;intention to use,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-EE,ANX,EE,28,17,1214.0,,anxiety,EE;ease of use;easy to use;effort expectancy;perceived ease of use,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-FC,ANX,FC,28,17,1214.0,,anxiety,FC;facilitating;facilitating condition;facilitating conditions;resources;support,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-PE,ANX,PE,28,17,1214.0,,anxiety,PE;perceived usefulness;performance expectancy;useful;usefulness,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-SE,ANX,SE,28,17,1214.0,,anxiety,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-SI,ANX,SI,28,17,1214.0,,anxiety,SI;social influence,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-TRU,ANX,TRU,28,17,1214.0,,anxiety,TRU;trust,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ANX-UB,ANX,UB,28,17,1214.0,,anxiety,UB;usage behavior;use;use behavior,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,ATT-SE,ATT,SE,28,17,1214.0,,ATT;attitudes,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,BI-SE,BI,SE,28,17,1214.0,,BI;behavioral intention;behavioural intention;intention to use,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,EE-SE,EE,SE,28,17,1214.0,,EE;ease of use;easy to use;effort expectancy;perceived ease of use,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,FC-SE,FC,SE,28,17,1214.0,,FC;facilitating;facilitating condition;facilitating conditions;resources;support,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,PE-SE,PE,SE,28,17,1214.0,,PE;perceived usefulness;performance expectancy;useful;usefulness,SE;efficacy,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,SE-SI,SE,SI,28,17,1214.0,,SE;efficacy,SI;social influence,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,SE-TRU,SE,TRU,28,17,1214.0,,SE;efficacy,TRU;trust,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S176,SE-UB,SE,UB,28,17,1214.0,,SE;efficacy,UB;usage behavior;use;use behavior,correlation;correlations;latent;table,S176,true,S176_source_packet_20260609.txt,true,S176,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S176.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S072,ANX-ATT,ANX,ATT,26,19,500.0,,anxiety,attitudes,correlation;correlations;fornell;larcker;latent;table,S072,true,S072_source_packet_20260609.txt,true,S072,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S072.pdf,candidate_only_not_analytic_input_until_human_confirmed
