human_decision,human_decision_date,human_reviewer,study_id,pair,candidate_value_or_human_value,final_value_if_confirmed,evidence_type,source_location_confirmed,decision_rationale,promote_to_supplemental_input
,,,S035,SI-TRU,0.68,,,Table 4,,no
,,,S035,SI-UB,0.68,,,Table 4,,no
,,,S035,TRU-UB,0.76,,,Table 4,,no
,,,S191,BI-PE,0.76,,,Table 2,,no
,,,S191,BI-SE,0.58,,,Table 2,,no
,,,S191,BI-UB,0.72,,,Table 2,,no
,,,S191,EE-FC,0.62,,,Table 2,,no
,,,S191,EE-PE,0.71,,,Table 2,,no
,,,S191,EE-SI,0.59,,,Table 2,,no
,,,S191,FC-PE,0.56,,,Table 2,,no
,,,S191,FC-UB,0.67,,,Table 2,,no
,,,S191,PE-SE,0.26,,,Table 2,,no
,,,S191,SE-UB,0.58,,,Table 2,,no
,,,S217,ATT-TRU,0.73,,,Table 4,,no
,,,S217,BI-PE,0.75,,,Table 4,,no
,,,S217,BI-TRU,0.78,,,Table 4,,no
,,,S217,EE-TRU,0.8,,,Table 4,,no
,,,S166,BI-EE,-0.15,,,Table 4,,no
,,,S166,FC-UB,-0.14,,,Table 4,,no
,,,S033,ATT-PE,0.84,,,Table 5,,no
,,,S089,BI-PE,0.36,,,Table 8,,no
,,,S058,ATT-EE,0.42,,,Table 4,,no
,,,S058,ATT-PE,0.53,,,Table 4,,no
,,,S093,ATT-BI,0.89,,,Table 3,,no
,,,S093,ATT-EE,0.48,,,Table 3,,no
,,,S093,ATT-PE,0.39,,,Table 3,,no
,,,S093,BI-FC,-0.08,,,Table 3,,no
,,,S093,BI-UB,0.62,,,Table 3,,no
,,,S093,EE-FC,0.15,,,Table 3,,no
,,,S066,ANX-BI,0.12,,,Table 7,,no
,,,S066,ANX-FC,0.18,,,Table 7,,no
,,,S066,ANX-TRU,0.19,,,Table 7,,no
,,,S066,BI-EE,0.23,,,Table 7,,no
,,,S162,ANX-ATT,-0.323,,,Table 3,,no
,,,S162,ATT-PE,-0.591,,,Table 3,,no
,,,S162,PE-UB,-0.079,,,Table 3,,no
,,,S080,BI-FC,-0.11,,,Table III,,no
,,,S080,BI-PE,0.26,,,Table III,,no
,,,S216,ANX-EE,0.14,,,Table 5,,no
,,,S216,BI-EE,0.25,,,Table 5,,no
,,,S216,BI-PE,0.25,,,Table 5,,no
,,,S216,BI-SI,0.21,,,Table 5,,no
,,,S216,EE-PE,0.28,,,Table 5,,no
,,,S216,EE-SE,0.28,,,Table 5,,no
,,,S192,BI-FC,0.34,,,Table 5,,no
,,,S112,BI-EE,0.16,,,Table 9,,no
,,,S112,BI-FC,0.16,,,Table 9,,no
,,,S112,BI-PE,0.23,,,Table 9,,no
,,,S134,BI-EE,0.1,,,Tables 8-9,,no
,,,S134,BI-FC,0.07,,,Tables 8-9,,no
,,,S148,ATT-BI,0.99,,,Table 4 / results text,,no
,,,S129,BI-EE,0.29,,,Table 5,,no
,,,S129,BI-SI,-0.14,,,Table 5,,no
,,,S129,BI-UB,0.46,,,Table 5,,no
,,,S129,EE-FC,0.28,,,Table 5,,no
,,,S129,EE-PE,0.52,,,Table 5,,no
,,,S129,EE-SI,-0.11,,,Table 5,,no
,,,S129,EE-TRU,0.4,,,Table 5,,no
,,,S129,PE-SI,0.42,,,Table 5,,no
,,,S014,PE-UB,0.31,,,Table 4,,no
,,,S014,SI-UB,0.3,,,Table 4,,no
,,,S036,ANX-BI,-0.336,,,Table 4,,no
,,,S036,ANX-EE,-0.321,,,Table 4,,no
,,,S036,ANX-PE,-0.366,,,Table 4,,no
,,,S036,ANX-SE,-0.318,,,Table 4,,no
,,,S036,ANX-SI,-0.374,,,Table 4,,no
,,,S036,ANX-TRU,-0.26,,,Table 4,,no
,,,S061,BI-FC,-0.1,,,Table 6,,no
,,,S128,BI-FC,-0.216,,,Table 3,,no
,,,S128,EE-FC,-0.121,,,Table 3,,no
,,,S128,FC-PE,-0.065,,,Table 3,,no
,,,S128,FC-SI,-0.063,,,Table 3,,no
,,,S128,FC-UB,-0.101,,,Table 3,,no
,,,S128,PE-SI,-0.22,,,Table 3,,no
,,,S152,ATT-BI,0.21,,,Table 3,,no
,,,S152,BI-PE,0.11,,,Table 3,,no
,,,S152,BI-SE,0.16,,,Table 3,,no
,,,S113,BI-EE,0.45,,,Table 7,,no
,,,S113,BI-PE,0.53,,,Table 7,,no
,,,S070,BI-EE,0.581,,,Figure 3 / results text,,no
,,,S070,BI-FC,0.469,,,Figure 3 / results text,,no
,,,S070,BI-PE,0.502,,,Figure 3 / results text,,no
,,,S070,EE-FC,0.576,,,Figure 4 / results text,,no
,,,S070,EE-PE,0.502,,,Figure 4 / results text,,no
,,,S070,EE-UB,0.563,,,Figure 3 / results text,,no
,,,S070,FC-PE,0.346,,,Figure 4 / results text,,no
,,,S070,FC-SI,0.611,,,Figure 4 / results text,,no
,,,S070,FC-UB,0.488,,,Figure 3 / results text,,no
,,,S070,PE-SI,0.471,,,Figure 4 / results text,,no
,,,S070,PE-UB,0.524,,,Figure 3 / results text,,no
,,,S070,SI-UB,0.675,,,Figure 3 / results text,,no
,,,S200,BI-FC,-0.17,,,Table 6,,no
,,,S218,ATT-BI,0.784,,,Table1,,no
,,,S218,ATT-EE,0.688,,,Table1,,no
,,,S218,ATT-PE,0.701,,,Table1,,no
,,,S218,BI-EE,0.59,,,"Table 1, p.5",,no
,,,S218,BI-PE,0.632,,,Table1,,no
,,,S218,EE-PE,0.66,,,"Table 1, p.5",,no
,,,S185,ATT-BI,0.453,,,Table3,,no
,,,S185,ATT-EE,0.473,,,Table3,,no
,,,S185,ATT-PE,0.504,,,Table3,,no
,,,S185,ATT-SI,0.207,,,Table3,,no
,,,S185,BI-EE,0.524,,,Table3,,no
,,,S185,BI-PE,0.459,,,Table3,,no
,,,S185,BI-SI,0.216,,,Table3,,no
,,,S185,EE-PE,0.482,,,Table3,,no
,,,S185,EE-SI,0.279,,,Table3,,no
,,,S185,PE-SI,0.28,,,Table3,,no
,,,S194,BI-EE,0.44,,,"Table 3, p.825",,no
,,,S194,BI-FC,0.49,,,"Table 3, p.825",,no
,,,S194,BI-PE,-0.08,,,"Table 3, p.825",,no
,,,S194,BI-SI,0.62,,,"Table 3, p.825",,no
,,,S194,BI-UB,0.64,,,"Table 3, p.825",,no
,,,S194,EE-FC,0.55,,,"Table 3, p.825",,no
,,,S194,EE-PE,-0.1,,,"Table 3, p.825",,no
,,,S194,EE-SI,0.52,,,"Table 3, p.825",,no
,,,S194,EE-UB,0.49,,,"Table 3, p.825",,no
,,,S194,FC-PE,-0.12,,,"Table 3, p.825",,no
,,,S194,FC-SI,0.59,,,"Table 3, p.825",,no
,,,S194,FC-UB,0.52,,,"Table 3, p.825",,no
,,,S194,PE-SI,-0.12,,,"Table 3, p.825",,no
,,,S194,PE-UB,-0.05,,,"Table 3, p.825",,no
,,,S194,SI-UB,0.56,,,"Table 3, p.825",,no
,,,S208,BI-EE,0.434,,,Table2,,no
,,,S208,BI-PE,0.241,,,Table2,,no
,,,S208,BI-SI,0.462,,,Table2,,no
,,,S208,BI-TRU,0.524,,,Table2,,no
,,,S208,EE-PE,0.402,,,Table2,,no
,,,S208,EE-SI,0.632,,,Table2,,no
,,,S208,EE-TRU,0.395,,,Table2,,no
,,,S208,PE-SI,0.296,,,Table2,,no
,,,S208,PE-TRU,0.295,,,Table2,,no
,,,S208,SI-TRU,0.241,,,Table2,,no
,,,S028,ATT-BI,0.877,,,Table4,,no
,,,S028,ATT-EE,0.63,,,"Table 4, p.7",,no
,,,S028,ATT-PE,0.809,,,Table4,,no
,,,S028,ATT-SE,0.721,,,Table4,,no
,,,S028,BI-EE,0.627,,,Table4,,no
,,,S028,BI-PE,0.823,,,Table4,,no
,,,S028,BI-SE,0.685,,,Table4,,no
,,,S028,EE-PE,0.667,,,Table4,,no
,,,S028,EE-SE,0.792,,,Table4,,no
,,,S028,PE-SE,0.744,,,Table4,,no
,,,S145,BI-EE,0.201,,,Table3,,no
,,,S145,BI-UB,0.338,,,Table3,,no
,,,S145,EE-UB,0.204,,,Table3,,no
,,,S110,BI-EE,0.623,,,Figure3,,no
,,,S110,BI-PE,0.681,,,Figure3,,no
,,,S110,BI-SI,0.52,,,"Table 4, p.627",,no
,,,S222,BI-EE,0.45,,,"Table 6, p. 2028",,no
,,,S222,BI-PE,0.58,,,"Table 6, p.2028",,no
,,,S218,ATT-BI,0.78,,,"Table 1, p.5",,no
,,,S218,ATT-EE,0.68,,,"Table 1, p. 5",,no
,,,S218,ATT-PE,0.7,,,"Table 1, p.5",,no
,,,S218,BI-EE,0.59,,,"Table 1, p.5",,no
,,,S218,BI-PE,0.63,,,"Table 1, p.5",,no
,,,S218,EE-PE,0.66,,,"Table 1, p.5",,no
,,,S185,ANX-ATT,0.46,,,"Table 3, p.7",,no
,,,S185,ANX-EE,0.473,,,,,no
,,,S185,ANX-PE,0.435,,,,,no
,,,S185,ANX-SI,0.216,,,,,no
,,,S185,ATT-BI,0.453,,,Table3,,no
,,,S185,ATT-EE,0.473,,,Table3,,no
,,,S185,ATT-PE,0.504,,,Table3,,no
,,,S185,ATT-SI,0.207,,,Table3,,no
,,,S185,BI-EE,0.524,,,Table3,,no
,,,S185,BI-PE,0.459,,,Table3,,no
,,,S185,BI-SI,0.433,,,,,no
,,,S185,EE-PE,0.482,,,Table3,,no
,,,S185,EE-SI,0.279,,,Table3,,no
,,,S185,PE-SI,0.28,,,Table3,,no
,,,S194,BI-EE,0.44,,,"Table 3, p.825",,no
,,,S194,BI-FC,0.49,,,"Table 3, p.825",,no
,,,S194,BI-PE,-0.08,,,"Table 3, p.825",,no
,,,S194,BI-SI,0.62,,,"Table 3, p.825",,no
,,,S194,BI-UB,0.64,,,"Table 3, p.825",,no
,,,S194,EE-FC,0.55,,,"Table 3, p.825",,no
,,,S194,EE-PE,-0.1,,,"Table 3, p.825",,no
,,,S194,EE-SI,0.52,,,"Table 3, p.825",,no
,,,S194,EE-UB,0.49,,,"Table 3, p.825",,no
,,,S194,FC-PE,-0.12,,,"Table 3, p.825",,no
,,,S194,FC-SI,0.59,,,"Table 3, p.825",,no
,,,S194,FC-UB,0.52,,,"Table 3, p.825",,no
,,,S194,PE-SI,-0.12,,,"Table 3, p.825",,no
,,,S194,PE-UB,-0.05,,,"Table 3, p.825",,no
,,,S194,SI-UB,0.56,,,"Table 3, p.825",,no
,,,S208,BI-EE,0.43,,,"Table 2, p.829",,no
,,,S208,BI-PE,0.24,,,"Table 2, p.829",,no
,,,S208,BI-SI,0.46,,,"Table 2, p.829",,no
,,,S208,BI-TRU,0.52,,,"Table 2, p.829",,no
,,,S208,EE-PE,0.4,,,"Table 2, p.829",,no
,,,S208,EE-SI,0.36,,,"Table 2, p.829",,no
,,,S208,EE-TRU,0.39,,,"Table 2, p. 829",,no
,,,S208,PE-SI,0.29,,,"Table 2, p. 829",,no
,,,S208,PE-TRU,0.29,,,"Table 2, p. 829",,no
,,,S208,SI-TRU,0.24,,,"Table 2, p.829",,no
,,,S028,ATT-BI,0.87,,,"Table 4, p. 7",,no
,,,S028,ATT-EE,0.63,,,"Table 4, p.7",,no
,,,S028,ATT-PE,0.8,,,"Table 4, p. 7",,no
,,,S028,ATT-SE,0.72,,,"Table 4, p.7",,no
,,,S028,BI-EE,0.62,,,"Table 4, p. 7",,no
,,,S028,BI-PE,0.82,,,"Table 4, p.7",,no
,,,S028,BI-SE,0.68,,,"Table 4, p. 7",,no
,,,S028,EE-PE,0.66,,,"Table 4, p. 7",,no
,,,S028,EE-SE,0.79,,,"Table 4, p.7",,no
,,,S028,PE-SE,0.74,,,"Table 4, p. 7",,no
,,,S059,ATT-BI,0.9,,,"Table 4, p.9",,no
,,,S059,ATT-EE,0.26,,,"Table 4, p.9",,no
,,,S059,ATT-PE,0.29,,,"Table 4, p.9",,no
,,,S059,BI-FC,0.13,,,"Table 4, p. 9",,no
,,,S059,EE-FC,0.93,,,"Table 4, p. 9",,no
,,,S059,EE-PE,0.17,,,"Table 4, p. 9",,no
,,,S145,ATT-BI,0.17,,,"Table 3, p. 24",,no
,,,S145,ATT-EE,0.4,,,"Table 3, p. 24",,no
,,,S145,ATT-UB,0.15,,,"Table 3, p. 24",,no
,,,S145,BI-EE,0.2,,,"Table 3, p.24",,no
,,,S145,BI-UB,0.33,,,"Table 3, p. 24",,no
,,,S145,EE-UB,0.2,,,"Table 3, p.24",,no
,,,S110,BI-EE,0.17,,,"Table 4, p. 627",,no
,,,S110,BI-PE,0.19,,,"Table 4, p. 627",,no
,,,S110,BI-SI,0.05,,,"Table 4, p. 627",,no
,,,S072,ATT-PE,0.31,,,,,no
,,,S219,ANX-ATT,-0.08,,,,,no
,,,S219,ANX-BI,-0.12,,,,,no
,,,S219,ANX-EE,-0.1,,,,,no
,,,S219,ANX-PE,-0.07,,,,,no
,,,S052,BI-SI,0.61,,,,,no
,,,S052,EE-FC,0.55,,,,,no
,,,S052,EE-PE,0.79,,,,,no
,,,S052,FC-SI,0.41,,,,,no
,,,S052,PE-SI,0.65,,,,,no
,,,S111,BI-SI,0.8,,,,,no
,,,S212,ATT-BI,0.52,,,,,no
,,,S212,ATT-PE,0.19,,,,,no
,,,S212,BI-PE,0.25,,,,,no
,,,S212,EE-PE,0.17,,,,,no
,,,S186,BI-EE,0.32,,,,,no
,,,S186,BI-UB,0.23,,,,,no
,,,S198,BI-FC,-0.171,,,,,no
,,,S198,EE-SI,-0.136,,,,,no
,,,S198,FC-PE,-0.027,,,,,no
,,,S198,FC-SI,-0.046,,,,,no
,,,S198,FC-UB,-0.16,,,,,no
,,,S198,PE-SI,-0.293,,,,,no
,,,S025,BI-SI,-0.187,,,,,no
,,,S078,ATT-SI,0.608,,,,,no
,,,S078,BI-SE,0.491,,,,,no
,,,S078,BI-SI,0.542,,,,,no
,,,S078,SE-SI,0.486,,,,,no
,,,S121-1,BI-EE,0.67,,,Figure 2 student,,no
,,,S121-1,BI-FC,0.59,,,,,no
,,,S121-1,BI-PE,0.84,,,,,no
,,,S121-1,BI-SI,0.66,,,,,no
,,,S121-1,BI-TRU,0.34,,,,,no
,,,S121-1,BI-UB,0.58,,,,,no
,,,S121-1,EE-FC,0.72,,,,,no
,,,S121-1,EE-PE,0.62,,,,,no
,,,S121-1,EE-SI,0.53,,,,,no
,,,S121-1,EE-TRU,0.22,,,,,no
,,,S121-1,EE-UB,0.39,,,,,no
,,,S121-1,FC-PE,0.53,,,,,no
,,,S121-1,FC-SI,0.49,,,,,no
,,,S121-1,FC-TRU,0.16,,,,,no
,,,S121-1,FC-UB,0.29,,,,,no
,,,S121-1,PE-SI,0.64,,,,,no
,,,S121-1,PE-TRU,0.36,,,,,no
,,,S121-1,PE-UB,0.47,,,,,no
,,,S121-1,SI-TRU,0.23,,,,,no
,,,S121-1,SI-UB,0.32,,,,,no
,,,S121-1,TRU-UB,0.36,,,,,no
,,,S121-2,BI-EE,0.69,,,Figure 2 teacher,,no
,,,S121-2,BI-FC,0.58,,,,,no
,,,S121-2,BI-PE,0.81,,,,,no
,,,S121-2,BI-SI,0.58,,,,,no
,,,S121-2,BI-TRU,0.27,,,,,no
,,,S121-2,BI-UB,0.48,,,,,no
,,,S121-2,EE-FC,0.7,,,,,no
,,,S121-2,EE-PE,0.57,,,,,no
,,,S121-2,EE-SI,0.45,,,,,no
,,,S121-2,EE-TRU,0.19,,,,,no
,,,S121-2,EE-UB,0.44,,,,,no
,,,S121-2,FC-PE,0.47,,,,,no
,,,S121-2,FC-SI,0.44,,,,,no
,,,S121-2,FC-TRU,0.13,,,,,no
,,,S121-2,FC-UB,0.34,,,,,no
,,,S121-2,PE-SI,0.59,,,,,no
,,,S121-2,PE-TRU,0.31,,,,,no
,,,S121-2,PE-UB,0.35,,,,,no
,,,S121-2,SI-TRU,0.16,,,,,no
,,,S121-2,SI-UB,0.21,,,,,no
,,,S121-2,TRU-UB,0.31,,,,,no
,,,S077,ATT-EE,0.62,,,,,no
,,,S077,ATT-PE,0.75,,,,,no
,,,S077,ATT-SI,0.6,,,,,no
,,,S077,BI-EE,0.62,,,,,no
,,,S077,BI-PE,0.63,,,,,no
,,,S077,BI-SI,0.63,,,,,no
,,,S222,BI-EE,0.45,,,"Table 6, p. 2028",,no
,,,S222,BI-PE,0.58,,,"Table 6, p.2028",,no
,,,S218,ATT-BI,0.78,,,"Table 1, p.5",,no
,,,S218,ATT-EE,0.68,,,"Table 1, p. 5",,no
,,,S218,ATT-PE,0.7,,,"Table 1, p.5",,no
,,,S218,BI-EE,0.59,,,"Table 1, p.5",,no
,,,S218,BI-PE,0.63,,,"Table 1, p.5",,no
,,,S218,EE-PE,0.66,,,"Table 1, p.5",,no
,,,S185,ANX-ATT,0.46,,,"Table 3, p.7",,no
,,,S185,ANX-EE,0.473,,,,,no
,,,S185,ANX-PE,0.435,,,,,no
,,,S185,ANX-SI,0.216,,,,,no
,,,S185,ATT-BI,0.453,,,Table3,,no
,,,S185,ATT-EE,0.473,,,Table3,,no
,,,S185,ATT-PE,0.504,,,Table3,,no
,,,S185,ATT-SI,0.207,,,Table3,,no
,,,S185,BI-EE,0.524,,,Table3,,no
,,,S185,BI-PE,0.459,,,Table3,,no
,,,S185,BI-SI,0.433,,,,,no
,,,S185,EE-PE,0.482,,,Table3,,no
,,,S185,EE-SI,0.279,,,Table3,,no
,,,S185,PE-SI,0.28,,,Table3,,no
,,,S194,BI-EE,0.44,,,"Table 3, p.825",,no
,,,S194,BI-FC,0.49,,,"Table 3, p.825",,no
,,,S194,BI-PE,-0.08,,,"Table 3, p.825",,no
,,,S194,BI-SI,0.62,,,"Table 3, p.825",,no
,,,S194,BI-UB,0.64,,,"Table 3, p.825",,no
,,,S194,EE-FC,0.55,,,"Table 3, p.825",,no
,,,S194,EE-PE,-0.1,,,"Table 3, p.825",,no
,,,S194,EE-SI,0.52,,,"Table 3, p.825",,no
,,,S194,EE-UB,0.49,,,"Table 3, p.825",,no
,,,S194,FC-PE,-0.12,,,"Table 3, p.825",,no
,,,S194,FC-SI,0.59,,,"Table 3, p.825",,no
,,,S194,FC-UB,0.52,,,"Table 3, p.825",,no
,,,S194,PE-SI,-0.12,,,"Table 3, p.825",,no
,,,S194,PE-UB,-0.05,,,"Table 3, p.825",,no
,,,S194,SI-UB,0.56,,,"Table 3, p.825",,no
,,,S208,BI-EE,0.43,,,"Table 2, p.829",,no
,,,S208,BI-PE,0.24,,,"Table 2, p.829",,no
,,,S208,BI-SI,0.46,,,"Table 2, p.829",,no
,,,S208,BI-TRU,0.52,,,"Table 2, p.829",,no
,,,S208,EE-PE,0.4,,,"Table 2, p.829",,no
,,,S208,EE-SI,0.36,,,"Table 2, p.829",,no
,,,S208,EE-TRU,0.39,,,"Table 2, p. 829",,no
,,,S208,PE-SI,0.29,,,"Table 2, p. 829",,no
,,,S208,PE-TRU,0.29,,,"Table 2, p. 829",,no
,,,S208,SI-TRU,0.24,,,"Table 2, p.829",,no
,,,S028,ATT-BI,0.87,,,"Table 4, p. 7",,no
,,,S028,ATT-EE,0.63,,,"Table 4, p.7",,no
,,,S028,ATT-PE,0.8,,,"Table 4, p. 7",,no
,,,S028,ATT-SE,0.72,,,"Table 4, p.7",,no
,,,S028,BI-EE,0.62,,,"Table 4, p. 7",,no
,,,S028,BI-PE,0.82,,,"Table 4, p.7",,no
,,,S028,BI-SE,0.68,,,"Table 4, p. 7",,no
,,,S028,EE-PE,0.66,,,"Table 4, p. 7",,no
,,,S028,EE-SE,0.79,,,"Table 4, p.7",,no
,,,S028,PE-SE,0.74,,,"Table 4, p. 7",,no
