run_id,task_unit_id,study_id,denominator_family_original,expected_answer_type_used,revised_smoke_category,recommended_model_input_route,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_answer_nonblank,model_source_locator_nonblank,model_source_quote_nonblank,route_violation_non_path_answered_as_beta_path
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00021,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.565,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00022,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.609,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00023,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.644,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00024,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.726,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00025,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.73,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00068,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.776,0.776,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00069,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.664,0.664,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00070,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.664,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00071,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.513,0.513,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00072,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.586,0.586,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00073,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.742,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00074,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.463,0.463,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00075,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.681,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00076,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.499,0.499,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00077,S007,secondary_beta_or_path_converted_effect_size,numeric_correlation_with_source_type,non_path_secondary_route_review,latent_or_construct_correlation_or_direct_source_value,0.51,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00093,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.263,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00094,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,-0.020,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00095,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.085,0.090,scored,1,numeric_abs_error_le_0.005,0.005000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00096,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.079,0.079,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00097,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.081,0.081,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00098,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.61,0.610,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00099,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.198,0.198,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00100,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,-0.034,-0.045,scored,0,numeric_abs_error_le_0.005,0.011000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00101,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.307,0.307,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00102,S010,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_control,beta_or_path_converted_effect_size,0.086,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
