task_unit_id,study_id,denominator_family,source_condition,field_key,construct_pair,expected_answer_type,available_model_count,available_models,model_coverage_status,answer_state_count,cross_model_behavior_disagreement,correct_models,incorrect_models,abstaining_models,primary_score_status,primary_is_correct,primary_answer_state,review_priority,triage_signals
P2-TASK-00030,S192,metadata_extraction,source_evidence_and_locator_present,Construct count,Construct count,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet,codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00031,S192,metadata_extraction,source_evidence_and_locator_present,Statistic count,Statistic count,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet;codex:gpt-5.5,gemini:gemini-3-flash-preview,,scored,1,6,P1_review_signal,cross_model_behavior_disagreement
P2-TASK-00032,S192,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00033,S192,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,all_available_models_abstained;primary_abstention;primary_incorrect
P2-TASK-00034,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,ATT-BI,ATT-BI,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00035,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-EE,BI-EE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00036,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-FC,BI-FC,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00037,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-PE,BI-PE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00038,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-SI,BI-SI,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00039,S192,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-UB,BI-UB,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00040,S006,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00041,S006,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,cross sectional,P3_low_priority_after_primary_check,
P2-TASK-00042,S006,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00043,S006,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,all_available_models_abstained;primary_abstention;primary_incorrect
P2-TASK-00044,S003,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00045,S003,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,cross sectional,P3_low_priority_after_primary_check,
P2-TASK-00046,S003,metadata_extraction,source_evidence_and_locator_present,Theoretical framework,Theoretical framework,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,tam utaut,P1_review_signal,primary_incorrect
P2-TASK-00047,S003,metadata_extraction,source_evidence_and_locator_present,AI type,AI type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,generative ai chatbots,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00048,S003,metadata_extraction,source_evidence_and_locator_present,AI tool name,AI tool name,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,ai chatbots,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00049,S003,metadata_extraction,source_evidence_and_locator_present,User role,User role,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet,,scored,1,both,P1_review_signal,cross_model_behavior_disagreement
P2-TASK-00050,S003,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,all_available_models_abstained;primary_abstention;primary_incorrect
P2-TASK-00051,S003,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00052,S037,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00053,S037,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,cross sectional,P3_low_priority_after_primary_check,
P2-TASK-00054,S037,metadata_extraction,source_evidence_and_locator_present,Education level,Education level,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,higher education,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00055,S037,metadata_extraction,source_evidence_and_locator_present,AI tool name,AI tool name,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,ai chatbots,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00056,S037,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00057,S037,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00058,S112,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00059,S112,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,cross sectional,P3_low_priority_after_primary_check,
P2-TASK-00060,S112,metadata_extraction,source_evidence_and_locator_present,Education level,Education level,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,gemini:gemini-3-flash-preview,gemini:gemini-3-flash-preview,not_scored_no_locked_answer,,not_scored_no_locked_answer,P1_review_signal,cross_model_behavior_disagreement;primary_not_scored
P2-TASK-00061,S112,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00062,S112,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00063,S112,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-EE,BI-EE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00064,S112,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-FC,BI-FC,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
