comparison_scope,model_id,denominator_family,interpretation_tier,row_n,scored_n,correct_n,abstention_n,accuracy,not_scored_n
overlap_codex_gpt55_claude_sonnet_gemini3flash,codex:gpt-5.5,human_disagreement_trace,trace_only_not_primary_accuracy,467,467,0,20,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,codex:gpt-5.5,metadata_extraction,primary_metadata_evidence,468,462,47,381,0.101732,6
overlap_codex_gpt55_claude_sonnet_gemini3flash,codex:gpt-5.5,source_absence_decision,triage_or_blank_behavior,3,3,0,0,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,codex:gpt-5.5,statistic_type_policy_decision,review_decision,7,7,0,4,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,codex:gpt-5.5,structured_human_review_decision,review_decision,41,41,0,34,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,absence_or_blank_consensus,triage_or_blank_behavior,6412,5931,0,5532,0.000000,481
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,construct_or_sample_mapping_decision,review_decision,2,2,0,0,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,converted_or_model_derived_effect_size,source_type_sensitivity,88,88,0,88,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,direct_r_effect_size_extraction,primary_numeric_evidence,366,366,3,363,0.008197,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,eligibility_or_exclusion_decision,review_decision,5,5,0,0,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,human_disagreement_trace,trace_only_not_primary_accuracy,467,467,0,8,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,metadata_extraction,primary_metadata_evidence,468,467,44,386,0.094218,1
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,source_absence_decision,triage_or_blank_behavior,3,3,0,0,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,statistic_type_policy_decision,review_decision,7,7,0,2,0.000000,0
overlap_codex_gpt55_claude_sonnet_gemini3flash,gemini:gemini-3-flash-preview,structured_human_review_decision,review_decision,41,41,0,13,0.000000,0
