run_id,task_unit_id,study_id,denominator_family,expected_answer_type,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_source_locator_nonblank,model_source_quote_nonblank
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00016,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.271,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00017,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.496,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00018,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.414,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00019,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.241,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00020,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.448,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00021,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.565,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00022,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.609,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00023,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.644,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00024,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.726,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00025,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.73,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00068,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.776,0.403,scored,0,numeric_abs_error_le_0.005,0.373000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00069,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.664,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00070,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.664,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00071,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.513,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00072,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.586,-0.086,scored,0,numeric_abs_error_le_0.005,0.672000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00073,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.742,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00074,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.463,-0.029,scored,0,numeric_abs_error_le_0.005,0.492000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00075,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.681,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00076,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.499,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00077,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.51,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,True,insufficient_evidence,false,false
