task_unit_id,study_id,decision_id,paper1_primary_analysis_record_id,review_priority,denominator_family,source_condition,freeze_tier,freeze_use,downstream_masem_impact,source_evidence_status,construct_pair,statistic_value,primary_model_id,primary_score_status,primary_answer_state,primary_is_correct,primary_model_value,primary_expected_value,expert_review_decision,rerun_input_role,substitution_eligibility,review_basis,review_note
P2-TASK-00034,S192,R1R4-SRC-V2-0034,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,ATT-BI,0.030000,codex:gpt-5.5,scored_abstention,abstain,0,,0.030000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00035,S192,R1R4-SRC-V2-0035,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.030000,codex:gpt-5.5,scored_abstention,abstain,0,,0.030000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00036,S192,R1R4-SRC-V2-0036,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-FC,0.290000,codex:gpt-5.5,scored_abstention,abstain,0,,0.290000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00037,S192,R1R4-SRC-V2-0037,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.090000,codex:gpt-5.5,scored_abstention,abstain,0,,0.090000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00038,S192,R1R4-SRC-V2-0038,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-SI,0.320000,codex:gpt-5.5,scored_abstention,abstain,0,,0.320000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00039,S192,R1R4-SRC-V2-0039,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-UB,0.270000,codex:gpt-5.5,scored_abstention,abstain,0,,0.270000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00063,S112,R1R4-SRC-V2-0063,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.108000,codex:gpt-5.5,scored_abstention,abstain,0,,0.108000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00064,S112,R1R4-SRC-V2-0064,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-FC,0.111000,codex:gpt-5.5,scored_abstention,abstain,0,,0.111000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00065,S112,R1R4-SRC-V2-0065,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.177000,codex:gpt-5.5,scored_abstention,abstain,0,,0.177000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00066,S112,R1R4-SRC-V2-0066,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-SI,0.238000,codex:gpt-5.5,scored_abstention,abstain,0,,0.238000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00067,S112,R1R4-SRC-V2-0067,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,EE-FC,0.377000,codex:gpt-5.5,scored_abstention,abstain,0,,0.377000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00068,S112,R1R4-SRC-V2-0068,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,EE-PE,0.247000,codex:gpt-5.5,scored_abstention,abstain,0,,0.247000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00069,S112,R1R4-SRC-V2-0069,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,PE-SI,0.220000,codex:gpt-5.5,scored_abstention,abstain,0,,0.220000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00113,S134,R1R4-SRC-V2-0113,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.045000,codex:gpt-5.5,scored_abstention,abstain,0,,0.045000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00114,S134,R1R4-SRC-V2-0114,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-FC,0.024000,codex:gpt-5.5,scored_abstention,abstain,0,,0.024000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00115,S134,R1R4-SRC-V2-0115,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.388000,codex:gpt-5.5,scored_abstention,abstain,0,,0.388000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00116,S134,R1R4-SRC-V2-0116,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-SI,0.029000,codex:gpt-5.5,scored_abstention,abstain,0,,0.029000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00117,S134,R1R4-SRC-V2-0117,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-UB,0.390000,codex:gpt-5.5,scored_abstention,abstain,0,,0.390000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00118,S134,R1R4-SRC-V2-0118,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,FC-UB,0.118000,codex:gpt-5.5,scored_abstention,abstain,0,,0.118000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00142,S148,R1R4-SRC-V2-0142,P1-PRIMARY-00001,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,frozen_scorable_candidate_after_locked_llm_output,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-BI,0.690000,codex:gpt-5.5,scored_abstention,abstain,0,,0.690000,retain_human_reference_model_absent_or_abstained,primary_retained,not_substitutable_model_abstained_or_missing,source_anchored_reference_packet_and_task_family_rule_review,Primary model did not provide a usable numeric value; retain frozen human reference for rerun.
P2-TASK-00143,S148,R1R4-SRC-V2-0143,P1-PRIMARY-00002,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,frozen_scorable_candidate_after_locked_llm_output,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-EE,0.460000,codex:gpt-5.5,scored_abstention,abstain,0,,0.460000,retain_human_reference_model_absent_or_abstained,primary_retained,not_substitutable_model_abstained_or_missing,source_anchored_reference_packet_and_task_family_rule_review,Primary model did not provide a usable numeric value; retain frozen human reference for rerun.
P2-TASK-00144,S148,R1R4-SRC-V2-0144,P1-PRIMARY-00003,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,frozen_scorable_candidate_after_locked_llm_output,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-PE,0.480000,codex:gpt-5.5,scored_abstention,abstain,0,,0.480000,retain_human_reference_model_absent_or_abstained,primary_retained,not_substitutable_model_abstained_or_missing,source_anchored_reference_packet_and_task_family_rule_review,Primary model did not provide a usable numeric value; retain frozen human reference for rerun.
P2-TASK-00145,S148,R1R4-SRC-V2-0145,P1-PRIMARY-00004,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,frozen_scorable_candidate_after_locked_llm_output,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,BI-UB,0.660000,codex:gpt-5.5,scored_abstention,abstain,0,,0.660000,retain_human_reference_model_absent_or_abstained,primary_retained,not_substitutable_model_abstained_or_missing,source_anchored_reference_packet_and_task_family_rule_review,Primary model did not provide a usable numeric value; retain frozen human reference for rerun.
P2-TASK-00146,S148,R1R4-SRC-V2-0146,P1-PRIMARY-00005,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,frozen_scorable_candidate_after_locked_llm_output,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,EE-PE,0.580000,codex:gpt-5.5,scored_abstention,abstain,0,,0.580000,retain_human_reference_model_absent_or_abstained,primary_retained,not_substitutable_model_abstained_or_missing,source_anchored_reference_packet_and_task_family_rule_review,Primary model did not provide a usable numeric value; retain frozen human reference for rerun.
P2-TASK-00187,,R1R4-COMMENT-V2-0025,,P1_source_or_human_disagreement_review,source_absence_decision,source_absence_decision,frozen_scorable_candidate_after_locked_llm_output,reference_context_structured_decision,method_rule_or_context_potential_masem_impact,source_evidence_and_locator_present,,,codex:gpt-5.5,scored,aut tru,0,,,trace_only_no_primary_substitution,trace_only,not_substitutable_trace_only,source_anchored_reference_packet_and_task_family_rule_review,source_absence_decision is a trace or source-risk family rather than a primary substitution value.
P2-TASK-00188,,R1R4-COMMENT-V2-0026,,P1_source_or_human_disagreement_review,source_absence_decision,source_absence_decision,frozen_scorable_candidate_after_locked_llm_output,reference_context_structured_decision,method_rule_or_context_potential_masem_impact,source_evidence_and_locator_present,,,codex:gpt-5.5,scored,bi se,0,,,trace_only_no_primary_substitution,trace_only,not_substitutable_trace_only,source_anchored_reference_packet_and_task_family_rule_review,source_absence_decision is a trace or source-risk family rather than a primary substitution value.
P2-TASK-00189,,R1R4-COMMENT-V2-0027,,P1_source_or_human_disagreement_review,source_absence_decision,source_absence_decision,frozen_scorable_candidate_after_locked_llm_output,reference_context_structured_decision,method_rule_or_context_potential_masem_impact,source_evidence_and_locator_present,,,codex:gpt-5.5,scored,se tru,0,,,trace_only_no_primary_substitution,trace_only,not_substitutable_trace_only,source_anchored_reference_packet_and_task_family_rule_review,source_absence_decision is a trace or source-risk family rather than a primary substitution value.
P2-TASK-00246,S222,R2R3-CORR-V2-00031,,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.450000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,trace_only_no_primary_substitution,trace_only,not_substitutable_trace_only,source_anchored_reference_packet_and_task_family_rule_review,not_derivable_trace is a trace or source-risk family rather than a primary substitution value.
P2-TASK-00248,S222,R2R3-CORR-V2-00033,,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.580000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,trace_only_no_primary_substitution,trace_only,not_substitutable_trace_only,source_anchored_reference_packet_and_task_family_rule_review,not_derivable_trace is a trace or source-risk family rather than a primary substitution value.
P2-TASK-00294,S218,R2R3-CORR-V2-00079,P1-PRIMARY-00009,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-BI,0.780000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00295,S218,R2R3-CORR-V2-00080,P1-PRIMARY-00010,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-EE,0.680000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00297,S218,R2R3-CORR-V2-00082,P1-PRIMARY-00011,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ATT-PE,0.700000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00312,S218,R2R3-CORR-V2-00097,P1-PRIMARY-00012,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.590000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00314,S218,R2R3-CORR-V2-00099,P1-PRIMARY-00013,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.630000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00321,S218,R2R3-CORR-V2-00106,P1-PRIMARY-00014,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,EE-PE,0.660000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00348,S185,R2R3-CORR-V2-00133,P1-PRIMARY-00015,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,frozen_trace_not_derivable_not_scorable,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_evidence_and_locator_present,ANX-ATT,0.460000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_trace_reviewed,primary_retained_trace_risk,not_substitutable_trace_or_human_disagreement,source_anchored_reference_packet_and_task_family_rule_review,Row is already represented in the frozen primary input; retain it for rerun and preserve source/human-disagreement trace flag.
P2-TASK-00351,S185,R2R3-CORR-V2-00136,P1-PRIMARY-00016,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_pointer_only_direct_r,frozen_source_pointer_only_not_evidence_scored,direct_r_analysis_input,primary_or_expanded_masem_effect_size_input,source_pointer_present_no_evidence_text,ANX-EE,0.473000,codex:gpt-5.5,reference_only_no_locked_model_row,missing_model_row,,,,retain_human_reference_source_pointer_risk,primary_retained_source_risk,not_substitutable_until_pdf_source_text_review,source_anchored_reference_packet_and_task_family_rule_review,Task unit has source pointer but no source-evidence text; retain frozen human reference for rerun and flag for PDF-level source check before final stability claims.
