run_id,task_unit_id,study_id,denominator_family,expected_answer_type,expected_r_value,model_value,score_status,is_correct,abstained,error_code,model_source_locator_nonblank,model_source_quote_nonblank,finding_category,review_interpretation_share_safe,recommended_next_action
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00021,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.565,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00022,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.609,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00023,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.644,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00024,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.726,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00025,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.73,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00068,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.776,0.403,scored,0,False,,true,false,beta_family_nonblank_path_value_under_non_path_reference_evidence,"The model followed the beta/path label and returned a path coefficient, while the frozen reference value is a source-reported direct/latent value.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00069,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.664,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00070,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.664,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00071,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.513,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00072,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.586,-0.086,scored,0,False,,true,false,beta_family_nonblank_path_value_under_non_path_reference_evidence,"The model followed the beta/path label and returned a path coefficient, while the frozen reference value is a source-reported direct/latent value.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00073,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.742,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00074,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.463,-0.029,scored,0,False,,true,false,beta_family_nonblank_path_value_under_non_path_reference_evidence,"The model followed the beta/path label and returned a path coefficient, while the frozen reference value is a source-reported direct/latent value.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00075,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.681,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00076,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.499,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00077,S007,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,0.51,,scored_abstention,0,True,insufficient_evidence,false,false,beta_family_abstention_under_non_path_reference_evidence,"The task was routed as beta/path, but the frozen reference row points to direct/latent source values; abstention is consistent with the task-family mismatch.",audit and correct downstream task-family routing or isolate non-path secondary rows before any full-corpus M1-R run
