record_id,title,year,search_source,screen_decision_codex,screen_confidence_codex,exclude_code_codex,rationale_codex,screen_decision_gemini,screen_confidence_gemini,exclude_code_gemini,rationale_gemini,screen_consensus,oauth_auth_method_codex,oauth_auth_method_gemini,human1_decision,human2_decision,adjudicated_final_decision,exclude_code,decision_rationale,adjudicator_id
2157,Understanding technology acceptance model of deep learning technology in blended learning settings,2018,WoS,exclude,0.58,E6,Codex: record 2157,include,0.6,NA,Gemini: record 2157,conflict,oauth,oauth,,,,,,
2190,Investigating artificial intelligence acceptance and adoption in university contexts,2021,WoS,include,0.8,NA,Codex: record 2190,include,0.58,NA,Gemini: record 2190,include,oauth,oauth,,,,,,
2476,How does trust shape adaptive learning outcomes in university?,2021,WoS,include,0.73,NA,Codex: record 2476,include,0.63,NA,Gemini: record 2476,include,oauth,oauth,,,,,,
2748,Predictors of intelligent tutoring usage in professors: The mediating role of self-efficacy,2023,PsycINFO,uncertain,0.84,E1,Codex: record 2748,include,0.61,NA,Gemini: record 2748,conflict,oauth,oauth,,,,,,
2842,Cross-cultural analysis of conversational AI social influence in faculty,2021,PsycINFO,include,0.7,NA,Codex: record 2842,include,0.53,NA,Gemini: record 2842,include,oauth,oauth,,,,,,
3103,Predictors of large language model usage in classroom: The mediating role of adoption,2019,Scopus,uncertain,0.6,E8,Codex: record 3103,include,0.69,NA,Gemini: record 3103,conflict,oauth,oauth,,,,,,
3149,Exploring intelligent tutoring UTAUT in undergraduate: A quantitative study,2019,Scopus,exclude,0.63,E4,Codex: record 3149,include,0.87,NA,Gemini: record 3149,conflict,oauth,oauth,,,,,,
3167,GPT-4 in university: Examining behavioral intention through an extended TAM,2015,PsycINFO,uncertain,0.87,E7,Codex: record 3167,include,0.94,NA,Gemini: record 3167,conflict,oauth,oauth,,,,,,
3286,Exploring generative AI acceptance in graduate: A quantitative study,2022,Scopus,exclude,0.61,E3,Codex: record 3286,include,0.75,NA,Gemini: record 3286,conflict,oauth,oauth,,,,,,
3326,A structural equation model of artificial intelligence social influence in online learning,2025,PsycINFO,include,0.92,NA,Codex: record 3326,include,0.57,NA,Gemini: record 3326,include,oauth,oauth,,,,,,
3446,Factors influencing GPT-4 adoption among higher education participants,2023,IEEE,include,0.79,NA,Codex: record 3446,exclude,0.69,E10,Gemini: record 3446,conflict,oauth,oauth,,,,,,
3487,AI chatbot in faculty: Examining trust through an extended TAM,2017,Scopus,exclude,0.62,E9,Codex: record 3487,uncertain,0.92,E1,Gemini: record 3487,conflict,oauth,oauth,,,,,,
3781,Understanding facilitating conditions of conversational AI technology in professors settings,2016,WoS,include,0.87,NA,Codex: record 3781,uncertain,0.88,E6,Gemini: record 3781,conflict,oauth,oauth,,,,,,
3791,The role of UTAUT in neural network integration in university,2020,IEEE,include,0.71,NA,Codex: record 3791,include,0.72,NA,Gemini: record 3791,include,oauth,oauth,,,,,,
4255,A structural equation model of large language model TAM in teachers,2021,PsycINFO,include,0.87,NA,Codex: record 4255,uncertain,0.75,E2,Gemini: record 4255,conflict,oauth,oauth,,,,,,
4503,Understanding TAM of natural language processing technology in faculty settings,2025,Scopus,include,0.8,NA,Codex: record 4503,uncertain,0.57,E3,Gemini: record 4503,conflict,oauth,oauth,,,,,,
4704,A structural equation model of adaptive learning behavioral intention in teachers,2024,Scopus,uncertain,0.95,E10,Codex: record 4704,uncertain,0.66,E1,Gemini: record 4704,conflict,oauth,oauth,,,,,,
4857,Exploring artificial intelligence social influence in faculty: A quantitative study,2025,WoS,include,0.93,NA,Codex: record 4857,include,0.91,NA,Gemini: record 4857,include,oauth,oauth,,,,,,
5052,Exploring large language model adoption in professors: A quantitative study,2016,WoS,include,0.53,NA,Codex: record 5052,include,0.93,NA,Gemini: record 5052,include,oauth,oauth,,,,,,
5887,Exploring AI-powered facilitating conditions in university: A quantitative study,2023,IEEE,include,0.86,NA,Codex: record 5887,include,0.9,NA,Gemini: record 5887,include,oauth,oauth,,,,,,
5941,Understanding social influence of artificial intelligence technology in university settings,2023,WoS,uncertain,0.56,E8,Codex: record 5941,include,0.96,NA,Gemini: record 5941,conflict,oauth,oauth,,,,,,
5991,artificial intelligence in MOOC: Examining behavioral intention through an extended TAM,2019,Scopus,include,0.76,NA,Codex: record 5991,include,0.8,NA,Gemini: record 5991,include,oauth,oauth,,,,,,
6032,Investigating machine learning acceptance and user behavior in blended learning contexts,2018,WoS,include,0.87,NA,Codex: record 6032,uncertain,0.84,E12,Gemini: record 6032,conflict,oauth,oauth,,,,,,
6213,The role of perceived ease of use in conversational AI integration in professors,2024,IEEE,include,0.99,NA,Codex: record 6213,exclude,0.82,E8,Gemini: record 6213,conflict,oauth,oauth,,,,,,
6345,Cross-cultural analysis of ChatGPT self-efficacy in teachers,2022,WoS,uncertain,0.56,E4,Codex: record 6345,exclude,0.53,E1,Gemini: record 6345,conflict,oauth,oauth,,,,,,
6389,Factors influencing generative AI UTAUT among university participants,2024,PsycINFO,uncertain,0.61,E4,Codex: record 6389,uncertain,0.5,E12,Gemini: record 6389,conflict,oauth,oauth,,,,,,
6416,Cross-cultural analysis of generative AI user behavior in classroom,2018,Scopus,include,0.53,NA,Codex: record 6416,include,0.52,NA,Gemini: record 6416,include,oauth,oauth,,,,,,
6498,A structural equation model of artificial intelligence adoption in classroom,2019,IEEE,include,0.75,NA,Codex: record 6498,include,0.64,NA,Gemini: record 6498,include,oauth,oauth,,,,,,
6679,Cross-cultural analysis of ChatGPT facilitating conditions in e-learning,2020,Scopus,exclude,0.76,E12,Codex: record 6679,include,0.96,NA,Gemini: record 6679,conflict,oauth,oauth,,,,,,
6761,How does intention to use shape intelligent tutoring outcomes in instructors?,2018,Scopus,uncertain,0.73,E8,Codex: record 6761,uncertain,0.9,E4,Gemini: record 6761,conflict,oauth,oauth,,,,,,
6762,How does acceptance shape ChatGPT outcomes in professors?,2020,Scopus,include,0.82,NA,Codex: record 6762,include,0.67,NA,Gemini: record 6762,include,oauth,oauth,,,,,,
6819,Investigating generative AI acceptance and self-efficacy in university contexts,2021,WoS,exclude,0.92,E1,Codex: record 6819,exclude,0.83,E11,Gemini: record 6819,exclude,oauth,oauth,,,,,,
6881,Understanding perceived ease of use of machine learning technology in teachers settings,2020,PsycINFO,include,0.7,NA,Codex: record 6881,include,0.67,NA,Gemini: record 6881,include,oauth,oauth,,,,,,
6890,How does social influence shape conversational AI outcomes in instructors?,2016,WoS,include,0.59,NA,Codex: record 6890,include,0.76,NA,Gemini: record 6890,include,oauth,oauth,,,,,,
6936,intelligent tutoring in MOOC: Examining facilitating conditions through an extended TAM,2023,WoS,include,0.59,NA,Codex: record 6936,exclude,0.73,E2,Gemini: record 6936,conflict,oauth,oauth,,,,,,
7102,Investigating large language model acceptance and perceived ease of use in online learning contexts,2018,Scopus,exclude,0.55,E11,Codex: record 7102,uncertain,0.99,E1,Gemini: record 7102,conflict,oauth,oauth,,,,,,
7713,Predictors of intelligent tutoring usage in MOOC: The mediating role of adoption,2019,Scopus,include,0.58,NA,Codex: record 7713,include,0.74,NA,Gemini: record 7713,include,oauth,oauth,,,,,,
7954,Understanding facilitating conditions of conversational AI technology in faculty settings,2020,Scopus,include,0.94,NA,Codex: record 7954,exclude,0.58,E1,Gemini: record 7954,conflict,oauth,oauth,,,,,,
8369,Cross-cultural analysis of artificial intelligence facilitating conditions in undergraduate,2022,Scopus,exclude,0.95,E8,Codex: record 8369,include,0.64,NA,Gemini: record 8369,conflict,oauth,oauth,,,,,,
8587,The role of intention to use in automated assessment integration in faculty,2023,Scopus,uncertain,0.58,E5,Codex: record 8587,exclude,0.61,E1,Gemini: record 8587,conflict,oauth,oauth,,,,,,
8641,Understanding adoption of GPT-4 technology in online learning settings,2017,Scopus,uncertain,0.53,E6,Codex: record 8641,uncertain,0.53,E10,Gemini: record 8641,conflict,oauth,oauth,,,,,,
8795,A structural equation model of generative AI trust in undergraduate,2019,WoS,exclude,0.95,E9,Codex: record 8795,uncertain,0.58,E9,Gemini: record 8795,conflict,oauth,oauth,,,,,,
8858,Factors influencing AI-powered perceived ease of use among instructors participants,2022,IEEE,include,0.53,NA,Codex: record 8858,include,0.53,NA,Gemini: record 8858,include,oauth,oauth,,,,,,
8884,Investigating intelligent tutoring acceptance and UTAUT in graduate contexts,2024,Scopus,include,0.56,NA,Codex: record 8884,exclude,0.94,E4,Gemini: record 8884,conflict,oauth,oauth,,,,,,
8917,Predictors of AI chatbot usage in students: The mediating role of facilitating conditions,2021,WoS,uncertain,0.52,E2,Codex: record 8917,uncertain,0.71,E10,Gemini: record 8917,conflict,oauth,oauth,,,,,,
9110,Factors influencing generative AI perceived ease of use among online learning participants,2017,PsycINFO,uncertain,0.66,E5,Codex: record 9110,uncertain,0.6,E12,Gemini: record 9110,conflict,oauth,oauth,,,,,,
9250,Investigating neural network acceptance and facilitating conditions in instructors contexts,2018,Scopus,include,0.63,NA,Codex: record 9250,include,0.56,NA,Gemini: record 9250,include,oauth,oauth,,,,,,
9337,A structural equation model of AI-powered social influence in professors,2017,WoS,include,0.65,NA,Codex: record 9337,exclude,0.87,E2,Gemini: record 9337,conflict,oauth,oauth,,,,,,
9380,Factors influencing intelligent tutoring user behavior among e-learning participants,2019,WoS,include,0.8,NA,Codex: record 9380,exclude,0.78,E2,Gemini: record 9380,conflict,oauth,oauth,,,,,,
9383,Predictors of adaptive learning usage in MOOC: The mediating role of perceived ease of use,2022,PsycINFO,include,0.6,NA,Codex: record 9383,uncertain,0.63,E6,Gemini: record 9383,conflict,oauth,oauth,,,,,,
9486,Exploring neural network UTAUT in classroom: A quantitative study,2025,WoS,include,0.68,NA,Codex: record 9486,include,0.58,NA,Gemini: record 9486,include,oauth,oauth,,,,,,
10284,Predictors of large language model usage in students: The mediating role of TAM,2021,WoS,uncertain,0.8,E11,Codex: record 10284,include,0.76,NA,Gemini: record 10284,conflict,oauth,oauth,,,,,,
10450,A structural equation model of automated assessment acceptance in e-learning,2021,Scopus,uncertain,0.96,E2,Codex: record 10450,include,0.96,NA,Gemini: record 10450,conflict,oauth,oauth,,,,,,
10513,Predictors of AI-powered usage in university: The mediating role of social influence,2023,IEEE,include,0.56,NA,Codex: record 10513,include,0.55,NA,Gemini: record 10513,include,oauth,oauth,,,,,,
10577,Predictors of intelligent tutoring usage in higher education: The mediating role of intention to use,2018,Scopus,uncertain,0.63,E10,Codex: record 10577,include,0.6,NA,Gemini: record 10577,conflict,oauth,oauth,,,,,,
10936,Predictors of neural network usage in faculty: The mediating role of user behavior,2020,Scopus,include,0.84,NA,Codex: record 10936,include,0.92,NA,Gemini: record 10936,include,oauth,oauth,,,,,,
11017,Cross-cultural analysis of deep learning intention to use in MOOC,2024,WoS,uncertain,0.62,E1,Codex: record 11017,exclude,0.55,E7,Gemini: record 11017,conflict,oauth,oauth,,,,,,
11399,How does self-efficacy shape intelligent tutoring outcomes in classroom?,2020,IEEE,include,0.5,NA,Codex: record 11399,include,0.88,NA,Gemini: record 11399,include,oauth,oauth,,,,,,
11590,Understanding perceived ease of use of large language model technology in online learning settings,2024,Scopus,include,0.86,NA,Codex: record 11590,include,0.77,NA,Gemini: record 11590,include,oauth,oauth,,,,,,
11721,The role of user behavior in deep learning integration in e-learning,2018,WoS,exclude,0.5,E2,Codex: record 11721,uncertain,0.96,E12,Gemini: record 11721,conflict,oauth,oauth,,,,,,
11741,Cross-cultural analysis of AI chatbot trust in graduate,2023,WoS,include,0.52,NA,Codex: record 11741,uncertain,0.68,E9,Gemini: record 11741,conflict,oauth,oauth,,,,,,
11956,Cross-cultural analysis of AI-powered technology acceptance model in instructors,2020,Scopus,include,0.56,NA,Codex: record 11956,exclude,0.65,E1,Gemini: record 11956,conflict,oauth,oauth,,,,,,
12105,The role of facilitating conditions in GPT-4 integration in K-12,2021,PsycINFO,include,0.83,NA,Codex: record 12105,include,0.83,NA,Gemini: record 12105,include,oauth,oauth,,,,,,
12263,Factors influencing natural language processing adoption among professors participants,2024,Scopus,include,0.93,NA,Codex: record 12263,uncertain,0.7,E10,Gemini: record 12263,conflict,oauth,oauth,,,,,,
12512,The role of facilitating conditions in adaptive learning integration in undergraduate,2023,Scopus,include,0.92,NA,Codex: record 12512,include,0.98,NA,Gemini: record 12512,include,oauth,oauth,,,,,,
12553,A structural equation model of large language model technology acceptance model in classroom,2020,PsycINFO,include,0.51,NA,Codex: record 12553,exclude,0.86,E6,Gemini: record 12553,conflict,oauth,oauth,,,,,,
12599,Factors influencing ChatGPT trust among instructors participants,2020,WoS,exclude,0.63,E12,Codex: record 12599,include,0.55,NA,Gemini: record 12599,conflict,oauth,oauth,,,,,,
12713,Understanding technology acceptance model of deep learning technology in faculty settings,2025,Scopus,include,0.61,NA,Codex: record 12713,exclude,0.9,E8,Gemini: record 12713,conflict,oauth,oauth,,,,,,
12768,Factors influencing neural network TAM among e-learning participants,2021,WoS,include,0.9,NA,Codex: record 12768,include,0.93,NA,Gemini: record 12768,include,oauth,oauth,,,,,,
12882,AI chatbot in online learning: Examining TAM through an extended TAM,2019,IEEE,include,0.82,NA,Codex: record 12882,include,0.7,NA,Gemini: record 12882,include,oauth,oauth,,,,,,
13102,The role of trust in deep learning integration in teachers,2015,PsycINFO,include,0.97,NA,Codex: record 13102,include,0.64,NA,Gemini: record 13102,include,oauth,oauth,,,,,,
13278,Factors influencing machine learning anxiety among higher education participants,2024,Scopus,uncertain,0.83,E9,Codex: record 13278,exclude,0.66,E1,Gemini: record 13278,conflict,oauth,oauth,,,,,,
13392,Predictors of ChatGPT usage in undergraduate: The mediating role of self-efficacy,2023,PsycINFO,include,0.59,NA,Codex: record 13392,include,0.97,NA,Gemini: record 13392,include,oauth,oauth,,,,,,
13425,How does behavioral intention shape machine learning outcomes in MOOC?,2024,Scopus,include,0.55,NA,Codex: record 13425,include,0.71,NA,Gemini: record 13425,include,oauth,oauth,,,,,,
14076,The role of technology acceptance model in conversational AI integration in teachers,2019,Scopus,include,0.8,NA,Codex: record 14076,exclude,0.75,E7,Gemini: record 14076,conflict,oauth,oauth,,,,,,
14135,Factors influencing adaptive learning acceptance among faculty participants,2022,Scopus,uncertain,0.62,E12,Codex: record 14135,include,0.71,NA,Gemini: record 14135,conflict,oauth,oauth,,,,,,
14231,Factors influencing deep learning adoption among online learning participants,2020,Scopus,uncertain,0.84,E12,Codex: record 14231,uncertain,0.86,E4,Gemini: record 14231,conflict,oauth,oauth,,,,,,
15167,AI chatbot in students: Examining adoption through an extended TAM,2023,PsycINFO,include,0.53,NA,Codex: record 15167,exclude,0.83,E6,Gemini: record 15167,conflict,oauth,oauth,,,,,,
15427,Exploring neural network perceived ease of use in students: A quantitative study,2016,Scopus,uncertain,0.83,E2,Codex: record 15427,include,0.85,NA,Gemini: record 15427,conflict,oauth,oauth,,,,,,
15502,A structural equation model of large language model social influence in instructors,2018,WoS,include,0.65,NA,Codex: record 15502,uncertain,0.7,E7,Gemini: record 15502,conflict,oauth,oauth,,,,,,
15511,Exploring neural network intention to use in professors: A quantitative study,2022,WoS,include,0.56,NA,Codex: record 15511,uncertain,0.71,E7,Gemini: record 15511,conflict,oauth,oauth,,,,,,
15566,A structural equation model of large language model TAM in university,2025,IEEE,include,0.78,NA,Codex: record 15566,uncertain,0.7,E1,Gemini: record 15566,conflict,oauth,oauth,,,,,,
15723,Predictors of adaptive learning usage in blended learning: The mediating role of TAM,2018,WoS,include,0.6,NA,Codex: record 15723,include,0.89,NA,Gemini: record 15723,include,oauth,oauth,,,,,,
15966,Understanding perceived usefulness of automated assessment technology in MOOC settings,2018,WoS,uncertain,0.73,E8,Codex: record 15966,include,0.83,NA,Gemini: record 15966,conflict,oauth,oauth,,,,,,
16032,Factors influencing conversational AI user behavior among higher education participants,2019,IEEE,uncertain,0.89,E12,Codex: record 16032,exclude,0.58,E2,Gemini: record 16032,conflict,oauth,oauth,,,,,,
16082,Cross-cultural analysis of large language model perceived ease of use in teachers,2020,PsycINFO,include,0.83,NA,Codex: record 16082,uncertain,0.8,E2,Gemini: record 16082,conflict,oauth,oauth,,,,,,
16118,Understanding technology acceptance model of machine learning technology in professors settings,2023,Scopus,include,0.61,NA,Codex: record 16118,include,0.6,NA,Gemini: record 16118,include,oauth,oauth,,,,,,
16172,How does UTAUT shape machine learning outcomes in e-learning?,2025,WoS,include,0.62,NA,Codex: record 16172,include,0.73,NA,Gemini: record 16172,include,oauth,oauth,,,,,,
