review_priority,study_id,pair,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location_present,source_packet_exists,value_found_in_source_packet_text,pdf_exists,pdf_text_status,value_found_in_pdf_text,pdf_path_local_only
p2_source_or_pdf_presence_gap,S194,BI-UB,BI,UB,0.64,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-FC,EE,FC,0.55,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-PE,EE,PE,-0.1,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-SI,EE,SI,0.52,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,EE-UB,EE,UB,0.49,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-PE,FC,PE,-0.12,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-SI,FC,SI,0.59,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,FC-UB,FC,UB,0.52,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,PE-SI,PE,SI,-0.12,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,PE-UB,PE,UB,-0.05,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S194,SI-UB,SI,UB,0.56,469.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
p2_source_or_pdf_presence_gap,S208,BI-EE,BI,EE,0.43,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p1_review_value_not_found_in_any_text,S208,BI-PE,BI,PE,0.24,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p2_source_or_pdf_presence_gap,S208,BI-SI,BI,SI,0.46,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p2_source_or_pdf_presence_gap,S208,BI-TRU,BI,TRU,0.52,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p2_source_or_pdf_presence_gap,S208,EE-PE,EE,PE,0.4,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p2_source_or_pdf_presence_gap,S208,EE-SI,EE,SI,0.36,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p2_source_or_pdf_presence_gap,S208,EE-TRU,EE,TRU,0.4,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p1_review_value_not_found_in_any_text,S208,PE-SI,PE,SI,0.3,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p1_review_value_not_found_in_any_text,S208,PE-TRU,PE,TRU,0.3,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p1_review_value_not_found_in_any_text,S208,SI-TRU,SI,TRU,0.24,526.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
p1_review_value_not_found_in_any_text,S028,ATT-BI,ATT,BI,0.88,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p2_source_or_pdf_presence_gap,S028,ATT-EE,ATT,EE,0.63,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p2_source_or_pdf_presence_gap,S028,ATT-PE,ATT,PE,0.81,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p1_review_value_not_found_in_any_text,S028,ATT-SE,ATT,SE,0.72,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p2_source_or_pdf_presence_gap,S028,BI-EE,BI,EE,0.63,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p2_source_or_pdf_presence_gap,S028,BI-PE,BI,PE,0.82,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p1_review_value_not_found_in_any_text,S028,BI-SE,BI,SE,0.69,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p1_review_value_not_found_in_any_text,S028,EE-PE,EE,PE,0.67,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p1_review_value_not_found_in_any_text,S028,EE-SE,EE,SE,0.79,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p1_review_value_not_found_in_any_text,S028,PE-SE,PE,SE,0.69,508.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
p2_source_or_pdf_presence_gap,S059,ATT-BI,ATT,BI,0.9,645.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
p1_review_value_not_found_in_any_text,S059,ATT-EE,ATT,EE,0.26,645.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
p1_review_value_not_found_in_any_text,S059,ATT-PE,ATT,PE,0.29,645.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
p1_review_value_not_found_in_any_text,S059,EE-PE,EE,PE,0.18,645.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
p2_source_or_pdf_presence_gap,S145,BI-EE,BI,EE,0.2,374.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
p2_source_or_pdf_presence_gap,S145,BI-UB,BI,UB,0.34,374.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
p2_source_or_pdf_presence_gap,S145,EE-UB,EE,UB,0.2,374.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
p1_review_value_not_found_in_any_text,S110,BI-EE,BI,EE,0.62,353.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
p1_review_value_not_found_in_any_text,S110,BI-PE,BI,PE,0.68,353.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
p2_source_or_pdf_presence_gap,S110,BI-SI,BI,SI,0.52,353.0,latest_human_R1_CORRELATIONS,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
p1_review_value_not_found_in_any_text,S015,BI-PE,BI,PE,0.816,528.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
p1_review_value_not_found_in_any_text,S015,BI-SI,BI,SI,0.59,528.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
p1_review_value_not_found_in_any_text,S046,ANX-BI,ANX,BI,-0.377,361.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S046.pdf
p1_review_value_not_found_in_any_text,S046,ANX-EE,ANX,EE,-0.423,361.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S046.pdf
p1_review_value_not_found_in_any_text,S046,ANX-PE,ANX,PE,-0.462,361.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S046.pdf
p1_review_value_not_found_in_any_text,S046,ANX-SE,ANX,SE,-0.069,361.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S046.pdf
p1_review_value_not_found_in_any_text,S046,ANX-SI,ANX,SI,-0.032,361.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S046.pdf
p1_review_value_not_found_in_any_text,S053,EE-UB,EE,UB,-0.032,445.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/R1/PDFs/S053.pdf
p1_review_value_not_found_in_any_text,S164,ATT-SI,ATT,SI,-0.031,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,BI-SI,BI,SI,-0.03,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,EE-SI,EE,SI,-0.024,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,FC-SI,FC,SI,-0.011,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,PE-SI,PE,SI,-0.021,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,PE-UB,PE,UB,-0.031,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S164,SI-UB,SI,UB,-0.005,2078.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S164.pdf
p1_review_value_not_found_in_any_text,S168,BI-EE,BI,EE,0.14,534.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S168.pdf
p1_review_value_not_found_in_any_text,S168,BI-FC,BI,FC,-0.05,534.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S168.pdf
p1_review_value_not_found_in_any_text,S168,BI-UB,BI,UB,0.47,534.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S168.pdf
p1_review_value_not_found_in_any_text,S011,ATT-PE,ATT,PE,0.28,304.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S011.pdf
p1_review_value_not_found_in_any_text,S044,ATT-EE,ATT,EE,0.64,441.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S044.pdf
p1_review_value_not_found_in_any_text,S044,ATT-SI,ATT,SI,0.64,441.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S044.pdf
p1_review_value_not_found_in_any_text,S044,EE-PE,EE,PE,0.66,441.0,latest_human_R1_CORRELATIONS,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S044.pdf
