study_id,present_full10_pairs,missing_full10_pairs,has_complete_full10_matrix,sample_size_values_seen,missing_pairs
S019,1,44,false,572.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S020,10,35,false,249.0,ANX-ATT;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S022,3,42,false,729.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S025,21,24,false,361.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
S026,15,30,false,510.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;BI-FC;BI-SE;BI-TRU;EE-FC;EE-SE;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S027,10,35,false,415.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S028,10,35,false,508.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S029,10,35,false,411.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-UB;EE-FC;EE-SE;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S030,21,24,false,226.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-UB;BI-SE;BI-UB;EE-SE;EE-UB;FC-SE;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S031,8,37,false,353.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;SE-SI;SI-TRU;SI-UB
S032,15,30,false,804.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-TRU;BI-FC;BI-SE;BI-TRU;EE-FC;EE-SE;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S033,6,39,false,437.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU
S034,3,42,false,148.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S035,21,24,false,622.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S036,21,24,false,480.0,ANX-ATT;ANX-FC;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-UB;EE-FC;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-UB;SE-UB;SI-UB;TRU-UB
S037,10,35,false,635.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-UB;EE-FC;EE-SE;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S040,6,39,false,290.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-UB;EE-FC;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S043,6,39,false,210.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S044,10,35,false,441.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-SE;ATT-TRU;ATT-UB;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S045,10,35,false,184.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S046,15,30,false,361.0,ANX-ATT;ANX-FC;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-TRU;BI-UB;EE-FC;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S047,10,35,false,359.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S048,21,24,false,355.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;BI-FC;BI-PE;BI-SE;BI-SI;EE-SE;EE-UB;FC-SE;FC-UB;PE-SE;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S049,15,30,false,419.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S050,15,30,false,500.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S051,21,24,false,524.0,ANX-ATT;ANX-SE;ANX-TRU;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S052,10,35,false,524.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S053,10,35,false,445.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SI;BI-TRU;EE-FC;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;SE-SI;SE-TRU;SI-TRU;SI-UB;TRU-UB
S054,10,35,false,646.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S055,21,24,false,486.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S057,28,17,false,582.0,ANX-TRU;ANX-UB;ATT-TRU;ATT-UB;BI-TRU;BI-UB;EE-TRU;EE-UB;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S058,6,39,false,485.0;541.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S059,6,39,false,645.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-EE;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-SE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S060,15,30,false,415.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S061,7,38,false,473.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S062,6,39,false,729.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S063,10,35,false,388.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S065,10,35,false,517.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-SI;ATT-TRU;BI-FC;BI-SE;BI-SI;BI-TRU;EE-FC;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S066,13,32,false,175.0;300.0,ANX-ATT;ANX-SE;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-FC;EE-PE;EE-SE;EE-SI;EE-TRU;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S067,15,30,false,598.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;ATT-SE;ATT-UB;BI-FC;BI-SE;BI-UB;EE-FC;EE-SE;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S069,6,39,false,597.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-SE;BI-TRU;BI-UB;EE-FC;EE-SE;EE-TRU;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S070,15,30,false,245.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S072,26,19,false,500.0,ANX-ATT;ANX-SE;ANX-TRU;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
