S088,21,24,false,353.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S121-1,21,24,false,,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S121-2,21,24,false,,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S157,21,24,false,633.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
S164,21,24,false,2078.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S173,21,24,false,306.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S185,21,24,false,298.0,ANX-SE;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S190,21,24,false,330.0,ANX-SE;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;BI-UB;EE-SE;EE-TRU;EE-UB;FC-SE;FC-TRU;FC-UB;PE-SE;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S191,21,24,false,331.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
S214,21,24,false,1117.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S223,21,24,false,300.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
