metric,value,notes
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0000_0249_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '49', 'correct_n': '18', 'accuracy': '0.367347', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0000_0249_s013_repair_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '10', 'correct_n': '9', 'accuracy': '0.900000', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0250_0499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '121', 'correct_n': '102', 'accuracy': '0.842975', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0250_0499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '111', 'correct_n': '87', 'accuracy': '0.783784', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0250_0499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '18', 'correct_n': '15', 'accuracy': '0.833333', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0500_0749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '34', 'correct_n': '33', 'accuracy': '0.970588', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0500_0749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '140', 'correct_n': '99', 'accuracy': '0.707143', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0500_0749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '76', 'correct_n': '29', 'accuracy': '0.381579', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0750_0999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '70', 'correct_n': '38', 'accuracy': '0.542857', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0750_0999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '96', 'correct_n': '71', 'accuracy': '0.739583', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_0750_0999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '84', 'correct_n': '34', 'accuracy': '0.404762', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1000_1249_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '132', 'correct_n': '75', 'accuracy': '0.568182', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1000_1249_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '66', 'correct_n': '56', 'accuracy': '0.848485', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1000_1249_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '52', 'correct_n': '8', 'accuracy': '0.153846', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1250_1499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '111', 'correct_n': '81', 'accuracy': '0.729730', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1250_1499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '115', 'correct_n': '85', 'accuracy': '0.739130', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1250_1499_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '24', 'correct_n': '9', 'accuracy': '0.375000', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1500_1749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '41', 'correct_n': '34', 'accuracy': '0.829268', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1500_1749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '163', 'correct_n': '109', 'accuracy': '0.668712', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1500_1749_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '46', 'correct_n': '17', 'accuracy': '0.369565', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1750_1999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '98', 'correct_n': '95', 'accuracy': '0.969388', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1750_1999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '92', 'correct_n': '67', 'accuracy': '0.728261', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_1750_1999_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '60', 'correct_n': '23', 'accuracy': '0.383333', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_direct_r_or_source_reported_correlation,"{'run_id': 'paper_b_full_corpus_m1_raw_full_2000_2042_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_direct_r_or_source_reported_correlation', 'scored_n': '1', 'correct_n': '1', 'accuracy': '1.000000', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::primary_latent_or_construct_correlation_with_source_type_flag,"{'run_id': 'paper_b_full_corpus_m1_raw_full_2000_2042_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'primary_latent_or_construct_correlation_with_source_type_flag', 'scored_n': '36', 'correct_n': '35', 'accuracy': '0.972222', 'not_scored_n': '0'}",raw row serialized from score summary
score_summary::secondary_beta_or_path_converted_effect_size,"{'run_id': 'paper_b_full_corpus_m1_raw_full_2000_2042_20260612', 'model_provider': 'openai', 'model_id': 'codex:gpt-5.5', 'denominator_family': 'secondary_beta_or_path_converted_effect_size', 'scored_n': '6', 'correct_n': '0', 'accuracy': '0.000000', 'not_scored_n': '0'}",raw row serialized from score summary
exception_summary::exception_summary_row,"{'metric': 'rows_input', 'value': '2043'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'rows_in_exception_layer', 'value': '15'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'rows_not_in_exception_layer', 'value': '2028'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'generic_full_accuracy_included', 'value': '0'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'contract_aware_beta_path_included', 'value': '0'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'contract_aware_scored', 'value': '0'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'contract_aware_correct', 'value': '0'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'status:not_scored_manual_source_reference_adjudication_required', 'value': '1'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'status:not_scored_no_exception_layer_record', 'value': '2028'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'status:not_scored_no_explicit_structural_path_evidence', 'value': '4'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'status:not_scored_no_locked_answer', 'value': '2'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'status:not_scored_reference_contract_caveat', 'value': '8'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'policy:contract_aware_converted_effect_scoring_allowed_after_layer_consumed', 'value': '2'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'policy:exclude_until_explicit_structural_path_evidence_or_reference_correction', 'value': '4'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'policy:manual_source_reference_adjudication_required_no_in_place_freeze_change', 'value': '1'}",raw row serialized from exception summary
exception_summary::exception_summary_row,"{'metric': 'policy:reference_contract_caveat_no_in_place_freeze_change', 'value': '8'}",raw row serialized from exception summary
