study_id,pair,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location_present,flag_present,notes_present,source_packet_exists,value_found_in_source_packet_text,pdf_exists,pdf_text_status,value_found_in_pdf_text,pdf_path_local_only
S185,ANX-EE,ANX,EE,0.47,298.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,ANX-PE,ANX,PE,0.44,298.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,ATT-BI,ATT,BI,0.45,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,ATT-EE,ATT,EE,0.47,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,ATT-PE,ATT,PE,0.5,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,BI-EE,BI,EE,0.52,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,BI-PE,BI,PE,0.46,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,EE-PE,EE,PE,0.48,298.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S194,BI-EE,BI,EE,0.44,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,BI-FC,BI,FC,0.49,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,BI-PE,BI,PE,-0.08,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,BI-SI,BI,SI,0.62,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,BI-UB,BI,UB,0.64,469.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,EE-FC,EE,FC,0.55,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,EE-PE,EE,PE,-0.1,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,EE-SI,EE,SI,0.52,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,EE-UB,EE,UB,0.49,469.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,FC-PE,FC,PE,-0.12,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,FC-SI,FC,SI,0.59,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,FC-UB,FC,UB,0.52,469.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,PE-SI,PE,SI,-0.12,469.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,PE-UB,PE,UB,-0.05,469.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S194,SI-UB,SI,UB,0.56,469.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf
S208,BI-EE,BI,EE,0.43,526.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,BI-PE,BI,PE,0.24,526.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,BI-SI,BI,SI,0.46,526.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,BI-TRU,BI,TRU,0.52,526.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,EE-PE,EE,PE,0.4,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,EE-SI,EE,SI,0.36,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,EE-TRU,EE,TRU,0.4,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,PE-SI,PE,SI,0.3,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,PE-TRU,PE,TRU,0.3,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S208,SI-TRU,SI,TRU,0.24,526.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S208.pdf
S028,ATT-BI,ATT,BI,0.88,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,ATT-EE,ATT,EE,0.63,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,ATT-PE,ATT,PE,0.81,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,ATT-SE,ATT,SE,0.72,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,BI-EE,BI,EE,0.63,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,BI-PE,BI,PE,0.82,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,BI-SE,BI,SE,0.69,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,EE-PE,EE,PE,0.67,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,EE-SE,EE,SE,0.79,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S028,PE-SE,PE,SE,0.69,508.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S028.pdf
S059,ATT-BI,ATT,BI,0.9,645.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
S059,ATT-EE,ATT,EE,0.26,645.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
S059,ATT-PE,ATT,PE,0.29,645.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
S059,EE-PE,EE,PE,0.18,645.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S059.pdf
S145,BI-EE,BI,EE,0.2,374.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
S145,BI-UB,BI,UB,0.34,374.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
S145,EE-UB,EE,UB,0.2,374.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S145.pdf
S110,BI-EE,BI,EE,0.62,353.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
S110,BI-PE,BI,PE,0.68,353.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
S110,BI-SI,BI,SI,0.52,353.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S110.pdf
S177,BI-EE,BI,EE,0.718,283.0,latest_human_R1_CORRELATIONS,true,false,true,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S177.pdf
S177,BI-PE,BI,PE,0.712,283.0,latest_human_R1_CORRELATIONS,true,false,true,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S177.pdf
S177,EE-PE,EE,PE,0.571,283.0,latest_human_R1_CORRELATIONS,true,false,true,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S177.pdf
S169,ATT-BI,ATT,BI,0.792,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,ATT-EE,ATT,EE,0.628,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,ATT-FC,ATT,FC,0.464,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,ATT-PE,ATT,PE,0.808,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,BI-EE,BI,EE,0.533,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,BI-FC,BI,FC,0.292,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,BI-PE,BI,PE,0.703,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,EE-FC,EE,FC,0.27,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,EE-PE,EE,PE,0.609,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S169,FC-PE,FC,PE,0.369,250.0,latest_human_R1_CORRELATIONS,true,false,false,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S169.pdf
S015,BI-EE,BI,EE,0.686,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,BI-FC,BI,FC,0.579,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,BI-PE,BI,PE,0.816,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,BI-SI,BI,SI,0.59,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,BI-UB,BI,UB,0.79,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,EE-FC,EE,FC,0.76,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,EE-PE,EE,PE,0.627,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,EE-SI,EE,SI,0.451,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,EE-UB,EE,UB,0.617,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,FC-PE,FC,PE,0.527,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,FC-SI,FC,SI,0.449,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,FC-UB,FC,UB,0.512,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,PE-SI,PE,SI,0.577,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,PE-UB,PE,UB,0.604,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S015,SI-UB,SI,UB,0.454,528.0,latest_human_R1_CORRELATIONS,true,false,true,true,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S015.pdf
S156,BI-FC,BI,FC,0.65,305.0,latest_human_R1_CORRELATIONS,true,false,true,true,true,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S156.pdf
