pair,study_id,construct_1,construct_2,coder_a,coder_a_value,coder_a_source,coder_a_notes,coder_b,coder_b_value,coder_b_source,coder_b_notes,abs_difference,mismatch_type
Pair C,S066,ANX,EE,R1,0.14,beta_converted,HTMT not coded; standardized PLS path converted. Path table p/t values appear inconsistent.,R4,0.123,Table 7,,0.017000000000000015,numeric_or_source_diff
Pair C,S066,ANX,FC,R1,0.18,beta_converted,HTMT not coded; standardized PLS path converted. Path table p/t values appear inconsistent.,R4,0.206,Table 7,,0.025999999999999995,numeric_or_source_diff
Pair C,S066,ANX,PE,R1,0.27,beta_converted,HTMT not coded; standardized PLS path converted. Path table p/t values appear inconsistent.,R4,0.037,Table 7,,0.233,numeric_or_source_diff
Pair C,S066,ANX,SI,R1,0.38,beta_converted,HTMT not coded; standardized PLS path converted. Path table p/t values appear inconsistent.,R4,0.332,Table 7,,0.04799999999999999,numeric_or_source_diff
Pair C,S066,ANX,TRU,R1,0.19,beta_converted,HTMT not coded; standardized PLS path converted. Path table p/t values appear inconsistent.,R4,0.14,Table 7,,0.04999999999999999,numeric_or_source_diff
Pair C,S066,BI,EE,R1,0.23,beta_converted,HTMT not coded; standardized PLS path converted.,R4,0.087,Table 7,,0.14300000000000002,numeric_or_source_diff
Pair C,S066,BI,FC,R1,0.17,beta_converted,HTMT not coded; standardized PLS path converted.,R4,0.132,Table 7,,0.038000000000000006,numeric_or_source_diff
Pair C,S066,BI,PE,R1,0.09,beta_converted,HTMT not coded; standardized PLS path converted.,R4,0.215,Table 7,,0.125,numeric_or_source_diff
Pair C,S066,BI,SI,R1,0.39,beta_converted,HTMT not coded; standardized PLS path converted.,R4,0.339,Table 7,,0.05099999999999999,numeric_or_source_diff
Pair C,S066,BI,TRU,R1,0.26,beta_converted,HTMT not coded; standardized PLS path converted.,R4,,,,,one_coder_only
Pair C,S066,BI,UB,R1,0.55,beta_converted,HTMT not coded; standardized PLS path converted.,R4,0.497,Table 7,,0.05300000000000005,numeric_or_source_diff
Pair C,S066,EE,UB,R1,,,,R4,0.177,Table 7,,,one_coder_only
Pair C,S067,ATT,BI,R1,0.672,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.53,Table 4 or Path coefficients,,0.14200000000000002,numeric_or_source_diff
Pair C,S067,ATT,EE,R1,0.264,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.265,Table 4 or Path coefficients,,0.0010000000000000009,numeric_or_source_diff
Pair C,S067,ATT,PE,R1,0.457,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.415,Table 4 or Path coefficients,,0.04200000000000004,numeric_or_source_diff
Pair C,S067,ATT,SI,R1,0.236,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.468,Table 4 or Path coefficients,,0.23200000000000004,numeric_or_source_diff
Pair C,S067,ATT,TRU,R1,0.334,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,,,,,one_coder_only
Pair C,S067,BI,EE,R1,0.338,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.354,Table 4 or Path coefficients,,0.01599999999999996,numeric_or_source_diff
Pair C,S067,BI,PE,R1,0.507,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.507,Table 4 or Path coefficients,,0.0,numeric_or_source_diff
Pair C,S067,BI,SI,R1,0.204,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.204,Table 4 or Path coefficients,,0.0,numeric_or_source_diff
Pair C,S067,BI,TRU,R1,0.347,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,,,,,one_coder_only
Pair C,S067,EE,PE,R1,0.354,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.609,Table 4 or Path coefficients,,0.255,numeric_or_source_diff
Pair C,S067,EE,SI,R1,0.228,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.228,Table 4 or Path coefficients,,0.0,numeric_or_source_diff
Pair C,S067,EE,TRU,R1,0.276,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,,,,,one_coder_only
Pair C,S067,PE,SI,R1,0.214,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,0.505,Table 4 or Path coefficients,,0.29100000000000004,numeric_or_source_diff
Pair C,S067,PE,TRU,R1,0.291,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,,,,,one_coder_only
Pair C,S067,SI,TRU,R1,0.714,direct,Fornell-Larcker off-diagonal correlation; PC mapped to TRU.,R4,,,,,one_coder_only
Pair C,S069,BI,EE,R1,0.345,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.345,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S069,BI,PE,R1,0.421,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.421,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S069,BI,SI,R1,0.635,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.635,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S069,EE,PE,R1,0.69,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.69,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S069,EE,SI,R1,0.551,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.551,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S069,PE,SI,R1,0.493,direct,Fornell-Larcker off-diagonal correlation; perceived ethics excluded.,R4,0.493,Table 2 (discriminant validity),,0.0,numeric_or_source_diff
Pair C,S070,BI,EE,R1,0.581,direct,,R4,-0.058,beta,"Table 3 standardized path coefficient (EE->BI, ns).",0.639,numeric_or_source_diff
Pair C,S070,BI,FC,R1,0.469,direct,,R4,,,,,one_coder_only
Pair C,S070,BI,PE,R1,0.502,direct,,R4,0.228,beta,Table 3 standardized path coefficient (PE->BI).,0.274,numeric_or_source_diff
Pair C,S070,BI,SI,R1,0.712,direct,,R4,0.566,beta,Table 3 standardized path coefficient (SI->BI).,0.14600000000000002,numeric_or_source_diff
Pair C,S070,BI,UB,R1,0.832,direct,,R4,0.777,beta,Table 3 standardized path coefficient (BI->UB).,0.05499999999999994,numeric_or_source_diff
Pair C,S070,EE,UB,R1,0.563,direct,,R4,,,,,one_coder_only
Pair C,S070,FC,UB,R1,0.488,direct,,R4,0.11,beta,Table 3 standardized path coefficient (FC->UB).,0.378,numeric_or_source_diff
Pair C,S070,PE,UB,R1,0.524,direct,,R4,,,,,one_coder_only
Pair C,S070,SI,UB,R1,0.675,direct,,R4,,,,,one_coder_only
Pair C,S075,BI,EE,R1,0.591,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.271,Table 5: Path coefficient,,0.31999999999999995,numeric_or_source_diff
Pair C,S075,BI,FC,R1,0.561,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.342,Table 5: Path coefficient,,0.21900000000000003,numeric_or_source_diff
Pair C,S075,BI,PE,R1,0.525,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.331,Table 5: Path coefficient,,0.194,numeric_or_source_diff
Pair C,S075,BI,SI,R1,0.473,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.115,Table 5: Path coefficient,,0.358,numeric_or_source_diff
Pair C,S075,BI,UB,R1,0.584,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.515,Table 5: Path coefficient,,0.06899999999999995,numeric_or_source_diff
Pair C,S075,EE,FC,R1,0.404,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.404,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,EE,PE,R1,0.4,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.4,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,EE,SI,R1,0.514,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.514,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,EE,UB,R1,0.322,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.322,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,FC,PE,R1,0.287,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.287,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,FC,SI,R1,0.322,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.322,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,FC,UB,R1,0.319,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.319,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,PE,SI,R1,0.306,direct,Fornell-Larcker off-diagonal latent correlation.,R4,,,,,one_coder_only
Pair C,S075,PE,UB,R1,0.217,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.217,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S075,SI,UB,R1,0.28,direct,Fornell-Larcker off-diagonal latent correlation.,R4,0.28,Table 4: Correlation matrix,,0.0,numeric_or_source_diff
Pair C,S080,BI,EE,R1,0.49,beta_converted,,R4,0.436,beta,"Table III path coefficient (EE->BI). Raw beta retained, no beta-to-r conversion.",0.05399999999999999,numeric_or_source_diff
Pair C,S080,BI,FC,R1,-0.11,beta_converted,,R4,-0.058,beta,"Table III path coefficient (FC->BI). Raw beta retained, no beta-to-r conversion.",0.052,numeric_or_source_diff
Pair C,S080,BI,PE,R1,0.26,beta_converted,,R4,0.207,beta,Table III path coefficient (PE->BI). Raw beta retained. Marginally sig. at 10% (p=.085) in paper; ns at .05.,0.05300000000000002,numeric_or_source_diff
Pair C,S080,BI,SI,R1,0.12,beta_converted,,R4,0.066,beta,"Table III path coefficient (SI->BI). Raw beta retained, no beta-to-r conversion.",0.05399999999999999,numeric_or_source_diff
Pair C,S089,BI,EE,R1,0.46,beta_converted,No usable correlation matrix; standardized PLS path converted.,R4,0.412,beta,"Table 8 path coefficient (PEOU->AI using intention (H2)). Raw beta retained, no beta-to-r conversion. HTMT not used per project rule.",0.04800000000000004,numeric_or_source_diff
Pair C,S089,BI,PE,R1,0.36,beta_converted,No usable correlation matrix; standardized PLS path converted.,R4,0.308,beta,"Table 8 path coefficient (PU->AI using intention (H1)). Raw beta retained, no beta-to-r conversion. HTMT not used per project rule.",0.05199999999999999,numeric_or_source_diff
Pair C,S089,BI,UB,R1,0.72,beta_converted,No usable correlation matrix; standardized PLS path converted.,R4,0.667,beta,"Table 8 path coefficient (AI using intention->AI adoption (H3)). Raw beta retained, no beta-to-r conversion. HTMT not used per project rule.",0.052999999999999936,numeric_or_source_diff
Pair C,S089,EE,UB,R1,0.33,beta_converted,No usable correlation matrix; standardized PLS path converted.,R4,0.275,beta,"Table 8 path coefficient (PEOU->AI adoption). Raw beta retained, no beta-to-r conversion. HTMT not used per project rule.",0.05499999999999999,numeric_or_source_diff
Pair C,S089,PE,UB,R1,0.26,beta_converted,No usable correlation matrix; standardized PLS path converted.,R4,0.205,beta,"Table 8 path coefficient (PU->AI adoption (H5)). Raw beta retained, no beta-to-r conversion. HTMT not used per project rule.",0.05500000000000002,numeric_or_source_diff
Pair C,S093,ATT,BI,R1,0.89,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.84,Table 3 Path coefficients,,0.050000000000000044,numeric_or_source_diff
Pair C,S093,ATT,EE,R1,0.48,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.428,Table 3 Path coefficients,,0.05199999999999999,numeric_or_source_diff
Pair C,S093,ATT,PE,R1,0.39,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.344,Table 3 Path coefficients,,0.04600000000000004,numeric_or_source_diff
Pair C,S093,BI,FC,R1,-0.08,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,-0.032,Table 3 Path coefficients,,0.048,numeric_or_source_diff
Pair C,S093,BI,UB,R1,0.62,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.575,Table 3 Path coefficients,,0.04500000000000004,numeric_or_source_diff
Pair C,S093,EE,FC,R1,0.15,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.098,Table 3 Path coefficients,,0.05199999999999999,numeric_or_source_diff
Pair C,S103,ATT,BI,R1,0.701,direct,Pearson r matrix.,R4,0.701,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,ATT,FC,R1,0.57,direct,Pearson r matrix.,R4,0.57,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,ATT,PE,R1,0.727,direct,Pearson r matrix.,R4,0.727,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,ATT,SI,R1,0.265,direct,Pearson r matrix.,R4,0.265,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,BI,FC,R1,0.567,direct,Pearson r matrix.,R4,0.567,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,BI,PE,R1,0.639,direct,Pearson r matrix.,R4,0.639,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,BI,SI,R1,0.288,direct,Pearson r matrix.,R4,0.288,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,FC,PE,R1,0.638,direct,Pearson r matrix.,R4,0.638,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,FC,SI,R1,0.497,direct,Pearson r matrix.,R4,0.497,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S103,PE,SI,R1,0.363,direct,Pearson r matrix.,R4,0.363,Table 2 (correlation matrix),,0.0,numeric_or_source_diff
Pair C,S108,EE,PE,R1,,,,R4,0.61,Table 2: Effect size (d AI vs Non-AI),,,one_coder_only
Pair C,S112,BI,EE,R1,0.16,beta_converted,,R4,0.108,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (EE->BI (H2), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.052000000000000005,numeric_or_source_diff
Pair C,S112,BI,FC,R1,0.16,beta_converted,,R4,0.111,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (FC->BI (H4), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.049,numeric_or_source_diff
Pair C,S112,BI,PE,R1,0.23,beta_converted,,R4,0.177,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (PE->BI (H1), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.05300000000000002,numeric_or_source_diff
Pair C,S112,BI,SI,R1,0.29,beta_converted,,R4,0.238,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (SI->BI (H3), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.05199999999999999,numeric_or_source_diff
Pair C,S112,EE,FC,R1,0.43,beta_converted,,R4,0.377,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (FC->EE (H7), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.05299999999999999,numeric_or_source_diff
Pair C,S112,EE,PE,R1,0.3,beta_converted,,R4,0.247,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (EE->PE (H10), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.05299999999999999,numeric_or_source_diff
Pair C,S112,PE,SI,R1,0.27,beta_converted,,R4,0.22,beta,"Table 9 CB-SEM (AMOS) standardized path coefficient (SI->PE (H9), beta). Raw beta retained. No correlation matrix reported (CB-SEM).",0.05000000000000002,numeric_or_source_diff
Pair C,S113,BI,EE,R1,0.45,beta_converted,Structural path PEU -> IU; direct HTMT association also reported in Table 5.,R4,0.398,beta,"Table 7 PLS-SEM path coefficient (PEU->IU (H6), beta). Raw beta retained. No correlation matrix (HTMT only, Table 5, excluded).",0.05199999999999999,numeric_or_source_diff
Pair C,S113,BI,PE,R1,0.53,beta_converted,Structural path PU -> IU; direct HTMT association also reported in Table 5.,R4,0.484,beta,"Table 7 PLS-SEM path coefficient (PU->IU (H5), beta). Raw beta retained. No correlation matrix (HTMT only, Table 5, excluded).",0.04600000000000004,numeric_or_source_diff
Pair C,S113,BI,SE,R1,0.7,direct,HTMT value used as the only reported interconstruct association.,R4,,,,,one_coder_only
Pair C,S113,EE,PE,R1,0.78,direct,HTMT value used as the only reported interconstruct association.,R4,,,,,one_coder_only
Pair C,S113,EE,SE,R1,0.76,direct,HTMT value used as the only reported interconstruct association.,R4,0.497,beta,"Table 7 PLS-SEM path coefficient (SE->PEU (H4), beta). Raw beta retained. No correlation matrix (HTMT only, Table 5, excluded).",0.263,numeric_or_source_diff
Pair C,S113,PE,SE,R1,0.7,direct,HTMT value used as the only reported interconstruct association.,R4,,,,,one_coder_only
Pair C,S115,ATT,EE,R1,,,,R4,0.79,direct,Figure 2 category-wise correlation matrix (Pearson correlation between constructs).,,one_coder_only
Pair C,S115,ATT,PE,R1,,,,R4,0.74,direct,Figure 2 category-wise correlation matrix (Pearson correlation between constructs).,,one_coder_only
Pair C,S115,EE,PE,R1,,,,R4,0.62,direct,Figure 2 category-wise correlation matrix (Pearson correlation between constructs).,,one_coder_only
Pair C,S119,BI,EE,R1,0.72,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.72,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,BI,FC,R1,0.699,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.699,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,BI,PE,R1,0.737,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.737,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,BI,SI,R1,0.632,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.632,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,EE,FC,R1,0.677,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.677,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,EE,PE,R1,0.854,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.854,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,EE,SI,R1,0.66,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.66,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,FC,PE,R1,0.604,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.604,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,FC,SI,R1,0.873,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.873,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S119,PE,SI,R1,0.596,direct,Fornell-Larcker off-diagonal correlation; PU selected as primary PE.,R4,0.596,Table 5 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S129,BI,EE,R1,0.29,beta_converted,,R4,0.243,beta,"Table 5 SEM path coefficient (PEOU->IU (H12)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.046999999999999986,numeric_or_source_diff
Pair C,S129,BI,PE,R1,0.5,beta_converted,,R4,0.446,beta,"Table 5 SEM path coefficient (PU->IU (H10)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05399999999999999,numeric_or_source_diff
Pair C,S129,BI,SI,R1,-0.14,beta_converted,,R4,-0.087,beta,"Table 5 SEM path coefficient (SI->IU (H11)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05300000000000002,numeric_or_source_diff
Pair C,S129,BI,UB,R1,0.46,beta_converted,,R4,0.406,beta,"Table 5 SEM path coefficient (IU->AUB (H13)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05399999999999999,numeric_or_source_diff
Pair C,S129,EE,FC,R1,0.28,beta_converted,,R4,0.225,beta,"Table 5 SEM path coefficient (FC->PEOU (H4)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05500000000000002,numeric_or_source_diff
Pair C,S129,EE,PE,R1,0.52,beta_converted,,R4,0.467,beta,"Table 5 SEM path coefficient (PEOU->PU (H7)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05299999999999999,numeric_or_source_diff
Pair C,S129,EE,SI,R1,-0.11,beta_converted,,R4,-0.064,beta,"Table 5 SEM path coefficient (SI->PEOU (H1)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.046,numeric_or_source_diff
Pair C,S129,EE,TRU,R1,0.4,beta_converted,,R4,0.354,beta,"Table 5 SEM path coefficient (TR->PEOU (H6)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.04600000000000004,numeric_or_source_diff
Pair C,S129,PE,SI,R1,0.42,beta_converted,,R4,0.369,beta,"Table 5 SEM path coefficient (SI->PU (H8)). Table labels 'Unstandardised' but text reports as beta; value in [-1,1]. Raw value retained. HTMT (Table 4) not used; no Fornell-Larcker matrix tabulated.",0.05099999999999999,numeric_or_source_diff
Pair C,S134,BI,EE,R1,0.1,beta_converted,,R4,0.045,beta,"Standardized linear regression coefficient (EE->BI (Table 8), beta). Raw beta retained. No correlation matrix reported (regression study).",0.05500000000000001,numeric_or_source_diff
Pair C,S134,BI,FC,R1,0.07,beta_converted,,R4,0.024,beta,"Standardized linear regression coefficient (FC->BI (Table 8), beta). Raw beta retained. No correlation matrix reported (regression study).",0.046000000000000006,numeric_or_source_diff
Pair C,S134,BI,PE,R1,0.44,beta_converted,,R4,0.388,beta,"Standardized linear regression coefficient (PE->BI (Table 8), beta). Raw beta retained. No correlation matrix reported (regression study).",0.05199999999999999,numeric_or_source_diff
Pair C,S134,BI,SI,R1,0.08,beta_converted,,R4,0.029,beta,"Standardized linear regression coefficient (SI->BI (Table 8), beta). Raw beta retained. No correlation matrix reported (regression study).",0.051000000000000004,numeric_or_source_diff
Pair C,S134,BI,UB,R1,0.44,beta_converted,,R4,0.39,beta,"Standardized linear regression coefficient (BI->UB (Table 9), beta). Raw beta retained. No correlation matrix reported (regression study).",0.04999999999999999,numeric_or_source_diff
Pair C,S134,FC,UB,R1,0.17,beta_converted,,R4,0.118,beta,"Standardized linear regression coefficient (FC->UB (Table 9), beta). Raw beta retained. No correlation matrix reported (regression study).",0.05200000000000002,numeric_or_source_diff
Pair C,S136,BI,EE,R1,0.418,direct,Fornell-Larcker off-diagonal correlation; HM and habit excluded.,R4,0.418,Table 3 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S136,BI,PE,R1,0.25,direct,Fornell-Larcker off-diagonal correlation; HM and habit excluded.,R4,0.25,Table 3 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S136,BI,SI,R1,0.358,direct,Fornell-Larcker off-diagonal correlation; HM and habit excluded.,R4,0.358,Table 3 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S136,BI,UB,R1,0.55,direct,Fornell-Larcker off-diagonal correlation; HM and habit excluded.,R4,0.55,Table 3 Discriminant validity,,0.0,numeric_or_source_diff
Pair C,S136,EE,PE,R1,0.283,direct,Fornell-Larcker off-diagonal correlation; HM and habit excluded.,R4,0.283,Table 3 Discriminant validity,,0.0,numeric_or_source_diff
